contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,50PLUS,Partij voor de Dieren,Forum voor Democratie,DENK
,Hellendoorn,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Huis voor Cultuur & Bestuur,0163::SB1,7442 MA,1213,1116,7,1,0,0,2,1051,71,0,0,0,0,0,1124,339,130,73,87,44,48,71,6,113,48,20,136,1
,Hellendoorn,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Gebouw OZO,0163::SB2,7441 DW,1612,889,4,2,0,0,0,842,53,0,0,0,0,0,895,301,90,51,59,43,50,55,7,69,31,19,113,1
,Hellendoorn,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Prinses Marijkeschool,0163::SB3,7441 BH,1501,1056,2,2,0,1,0,951,110,0,0,1,0,0,1061,275,198,49,55,51,40,84,7,107,23,27,140,0
,Hellendoorn,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Wijkgebouw de Brake,0163::SB4,7442 AX,1349,727,3,0,0,0,0,691,39,0,0,0,0,0,730,179,48,64,46,26,57,66,4,59,31,22,123,2
,Hellendoorn,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Wijkgebouw Blokkendoos,0163::SB5,7442 TH,1228,669,3,0,0,0,0,632,40,0,0,0,0,0,672,151,63,44,49,25,74,31,8,57,34,17,115,1
,Hellendoorn,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Wijkgebouw 't Diekhuus,0163::SB6,7442 ZL,1304,676,0,0,0,0,0,630,46,0,0,0,0,0,676,156,58,51,65,22,57,39,4,57,25,11,129,2
,Hellendoorn,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Wijkcentrum Groot Lochter,0163::SB7,7442 JH,1611,1009,2,4,0,0,0,944,71,0,0,0,0,0,1015,199,100,80,82,38,80,76,9,110,49,20,159,7
,Hellendoorn,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Basisschool de Meander,0163::SB8,7442 BM,1166,639,3,8,0,0,0,600,50,0,0,0,0,0,650,151,92,38,39,31,53,37,3,38,28,12,115,2
,Hellendoorn,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Scholengemeenschap Reggesteyn,0163::SB9,7443 XG,1550,933,5,0,0,0,2,842,94,0,0,0,0,0,938,225,174,56,48,57,45,56,10,76,30,24,129,3
,Hellendoorn,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Woonzorgcentrum De Blenke,0163::SB10,7447 AP,1141,640,2,2,0,0,0,600,44,0,0,0,0,0,644,204,71,33,50,25,38,32,7,60,21,10,84,5
