contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,50PLUS,Partij voor de Dieren,LOKAAL-LIMBURG,Forum voor Democratie,ChristenUnie,DENK
Venlo,Echt-Susteren,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Stembureau Stadhuis,1711::SB1,6101 CV,1661,1437,3,5,0,0,2,1267,176,0,0,0,0,0,1445,355,161,78,136,67,90,127,51,47,96,220,9,0
Venlo,Echt-Susteren,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Stembureau Talenthouse Echt,1711::SB2,6101 AT,1739,757,5,0,0,0,0,660,102,0,0,0,0,0,762,182,118,40,64,24,50,52,39,14,43,126,5,0
Venlo,Echt-Susteren,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Stembureau Zorgcentrum De Egthe,1711::SB3,6101 EX,1429,621,4,5,0,0,0,553,77,0,0,0,0,0,630,142,150,29,36,15,55,40,18,21,44,63,7,1
Venlo,Echt-Susteren,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Stembureau Buurthuis St. Joris,1711::SB4,6101 JX,1417,797,7,3,0,0,1,722,84,0,0,0,0,0,807,139,179,66,36,26,59,72,32,22,42,113,10,1
Venlo,Echt-Susteren,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Stembureau Zwembad In de Bandert,1711::SB5,6101 LZ,1724,468,5,0,0,0,0,423,50,0,0,0,0,0,473,104,77,42,22,22,32,24,14,14,25,90,2,0
Venlo,Echt-Susteren,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Stembureau Fanfarezaal 'Lei van Naer',1711::SB6,6102 CW,1662,932,2,2,0,0,0,817,119,0,0,0,0,0,936,204,151,65,68,32,88,70,28,24,75,115,9,3
Venlo,Echt-Susteren,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Stembureau Basisschool Patricius,1711::SB7,6102 AS,1352,636,0,0,0,0,0,554,82,0,0,0,0,0,636,155,125,45,40,26,47,43,14,17,47,66,6,5
Venlo,Echt-Susteren,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Stembureau Clubgebouw Slekker Boys,1711::SB8,6102 XR,795,480,6,1,0,0,0,431,57,1,0,1,0,0,488,102,85,38,30,22,39,44,11,8,31,65,5,0
Venlo,Echt-Susteren,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Stembureau Gemeenschapshuis 't Patronaat,1711::SB9,6112 AL ,1214,700,4,3,0,0,0,633,74,0,0,0,0,0,707,189,105,34,52,36,42,39,26,11,52,109,5,0
Venlo,Echt-Susteren,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Stembureau Gemeenschapshuis Oos Heem,1711::SB10,6104 BL,1339,656,4,2,0,0,0,581,82,1,0,1,0,0,663,153,139,29,46,21,24,36,16,23,42,117,9,1
Venlo,Echt-Susteren,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Stembureau Gemeenschapshuis De Annendaal,1711::SB11,6105 AT,1043,635,1,0,0,0,0,569,67,0,0,0,0,0,636,137,115,34,51,9,21,53,13,37,53,110,2,0
Venlo,Echt-Susteren,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Stembureau O.B.S. De Springdonk,1711::SB12,6114 MC,1073,614,2,0,0,0,0,543,73,0,0,0,0,0,616,90,78,38,28,20,34,39,12,19,161,89,6,0
Venlo,Echt-Susteren,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Stembureau Zorgcentrum Vastrada,1711::SB13,6114 HG,1581,954,5,2,0,0,0,859,102,0,0,0,0,0,961,194,90,30,86,43,67,49,28,45,211,102,5,4
Venlo,Echt-Susteren,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Stembureau Sporthal Reinoudhal,1711::SB14,6114 EA,2143,1080,5,4,0,0,1,974,114,0,0,0,0,0,1089,203,157,60,55,28,61,51,28,31,240,152,13,1
Venlo,Echt-Susteren,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Stembureau 't Gemood,1711::SB16,6114 AS,1029,527,1,0,0,0,0,458,70,0,0,0,0,0,528,98,117,39,17,17,30,18,26,15,65,84,1,0
Venlo,Echt-Susteren,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Stembureau Gemeenschapshuis De Koppel,1711::SB17,6114 KN,750,449,4,2,0,0,0,410,45,0,0,0,0,0,455,144,68,19,21,13,20,21,5,13,86,36,1,2
