contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,GROENLINKS,Partij voor de Dieren,50PLUS/PARTIJ VAN DE OUDEREN,Ouderenpartij Noord-Holland,NIDA,Code Oranje,Forum voor Democratie,DENK,ChristenUnie
Den Helder,Schagen,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Gemeentehuis Schagen, Laan 19 Schagen",0441::SB1,1741 EA,1758,1112,6,0,0,0,2,1052,64,0,0,0,0,0,1118,183,79,132,53,82,149,96,57,27,53,0,20,159,1,21
Den Helder,Schagen,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Basisschool De Ark, Jozef Israëlstraat 4 Schagen",0441::SB2,1741 JP,1856,993,1,4,0,0,0,939,58,0,1,0,0,0,997,164,48,133,73,65,125,90,29,31,45,0,16,156,0,18
Den Helder,Schagen,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Magnushof, Jacob Ruijsdaellaan 30",0441::SB3,1741 KW,1748,905,3,5,0,0,1,851,61,0,0,0,0,0,913,137,51,124,69,59,108,67,35,44,48,1,6,128,2,26
Den Helder,Schagen,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Basisschool De Rank Iepenlaan 54, Schagen",0441::SB4,1741 TG,1720,1015,0,3,0,0,0,938,80,0,0,0,0,0,1018,124,59,142,62,64,114,106,52,34,45,1,19,170,0,23
Den Helder,Schagen,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Basisschool De Wielewaal (voorheen Niko Tinbergen), Kievitlaan 63 Schagen",0441::SB5,1742 AC,1785,1030,1,1,0,0,1,965,66,0,0,0,0,0,1032,171,86,107,65,76,105,104,43,29,41,2,15,154,5,27
Den Helder,Schagen,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Basisschool De Wielewaal (voorheen De Wegwijzer), Merelstraat 46 Schagen",0441::SB6,1742 JM,1803,970,3,1,0,0,0,891,83,0,0,0,0,0,974,142,60,106,51,79,79,136,51,29,31,1,12,165,1,27
Den Helder,Schagen,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Spartahal, Zuiderweg 2A Schagen",0441::SB7,1741 NA,1670,953,3,0,0,0,0,886,70,0,0,0,0,0,956,188,71,84,47,63,94,82,34,40,38,0,20,167,2,23
Den Helder,Schagen,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Zorgcentrum De Bron, Kogerlaan 36A Schagen",0441::SB8,1741 DA,1882,1052,4,4,0,0,0,959,102,0,0,1,0,0,1061,236,102,117,51,50,123,80,25,38,39,1,11,147,0,32
Den Helder,Schagen,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Clusius College, De Boomgaard 9 Schagen",0441::SB9,1741 MD,943,489,0,0,0,0,0,455,34,0,0,0,0,0,489,106,38,64,20,36,61,57,13,12,14,0,5,55,0,8
Den Helder,Schagen,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Sporthal Molentocht, P. Ottstraat 1 Schagerbrug",0441::SB12,1751 CW,1622,948,2,3,0,1,0,873,79,0,1,0,0,0,952,211,69,82,51,54,186,67,26,18,28,1,11,127,0,17
