contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Sterk Lokaal,Forum voor Democratie,Partij voor de Dieren,Onafhankelijke Partij Drenthe,DENK,Staatkundig Gereformeerde Partij (SGP),Senioren Belang
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Gemeentehuis Beilen,1731::SB1,9411 NB,1315,929,0,2,0,0,0,859,73,1,0,1,0,0,932,174,121,108,60,44,69,59,69,33,35,92,43,14,1,4,3
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Wooncentrum 't Stroomdal,1731::SB2,9411 KD,1340,784,0,1,0,0,0,727,58,0,0,0,0,0,785,122,121,121,36,25,29,61,58,47,14,89,27,22,1,9,2
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Buurtgebouw De Raat,1731::SB3,9411 GV,1483,1014,3,2,0,0,0,939,80,0,0,0,0,0,1019,95,201,98,86,87,48,65,44,49,20,144,22,51,0,0,4
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Woonzorgcentrum Spectrum,1731::SB4,9411 AG,1721,789,0,1,0,0,0,717,72,0,1,0,0,0,789,111,145,127,39,38,52,48,45,41,14,73,12,31,0,9,4
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Zalencentrum De Valkenhof,1731::SB5,9411 LG,1884,1127,1,0,0,0,0,1020,108,0,0,0,0,0,1128,193,157,155,49,49,71,105,59,51,19,151,18,38,1,7,4
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis De Dorpshoeve,1731::SB6,9415 PJ,833,504,1,0,0,0,45,460,0,0,0,0,0,0,505,87,44,80,10,28,20,20,35,20,21,88,31,13,0,4,3
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis 't Haolerhoes,1731::SB7,9414 AV,1146,757,0,0,0,0,0,705,52,0,0,0,0,0,757,156,109,78,45,25,27,116,36,21,20,82,22,7,0,11,2
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis De Weidehoek,1731::SB8,9418 PB,1514,887,2,1,0,0,1,798,91,0,0,0,0,0,890,186,96,112,29,44,37,41,47,37,30,141,37,36,0,7,7
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau 't aole gemientehoes,1731::SB9,9431 AD,1318,1029,0,0,0,0,0,912,117,0,0,0,0,0,1029,245,126,139,36,35,58,54,87,28,34,91,72,18,0,5,1
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Buurthuis Annie Londo,1731::SB10,9431 CW,1022,601,1,2,0,0,0,557,46,0,1,0,1,0,603,119,126,66,36,42,31,20,41,32,16,42,11,9,1,4,5
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau MFA Groene Borg,1731::SB11,9431 MK,1330,919,2,2,0,0,0,854,69,0,0,0,0,0,923,178,146,95,36,26,65,45,107,23,31,96,40,24,0,2,5
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Woonzorgcen. 't Derkshoes,1731::SB12,9431 LE,1042,633,0,0,0,0,0,570,63,0,0,0,0,0,633,159,105,123,16,15,32,28,25,13,8,68,25,5,0,4,7
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis De Heugte,1731::SB13,7938 PK,830,532,0,3,0,0,0,468,67,0,0,0,0,0,535,47,70,55,26,54,18,34,36,21,17,106,17,4,0,22,5
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis De Tille,1731::SB14,9439 PE,1061,650,0,2,0,0,0,566,86,0,0,0,0,0,652,141,71,71,37,40,34,18,60,15,15,89,44,9,0,4,2
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dienstencen.'t Beurtschip,1731::SB15,9422 HT,1470,838,2,0,0,0,0,780,60,0,0,0,0,0,840,61,109,152,54,56,22,76,41,37,14,112,15,69,2,13,5
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Zalencentrum Het Kompas,1731::SB16,9422 AA,1901,1148,0,5,0,0,0,1043,110,0,0,0,0,0,1153,99,139,182,49,70,43,114,67,56,20,162,37,91,0,14,5
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau MFA De Spil,1731::SB17,9421 NN,1591,826,1,4,0,0,0,776,55,0,0,0,0,0,831,64,112,86,52,41,49,59,72,31,20,128,23,77,0,9,3
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Appartementencomplex De Meestershof,1731::SB18,9421 PJ,1279,685,3,2,0,0,0,628,62,0,0,0,0,0,690,81,77,95,43,22,32,58,80,31,18,79,12,41,0,12,4
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis De Olde Bieb,1731::SB19,9423 PV,1362,721,2,4,0,2,0,649,80,0,0,2,0,0,729,74,61,117,41,74,22,32,41,20,26,137,28,42,1,3,2
,Midden-Drenthe,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Openbare Basisschool G.A. de Ridder,1731::SB20,9411 KV,1165,805,1,0,0,0,0,710,96,0,0,0,0,0,806,159,80,71,27,19,104,53,59,26,23,112,28,34,0,9,1
