contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),ChristenUnie,50PLUS,GROENLINKS,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),JEZUS LEEFT,DENK,Respect!,Forum voor Democratie,OPA
,Almere,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau .,0034::SB0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Almere,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Stadhuis,0034::SB1,,1442,1331,9,14,0,0,0,1263,91,0,0,0,0,0,1354,159,117,42,88,113,161,33,61,185,94,0,6,54,17,197,4
,Almere,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Zorgcentrum De Overloop,0034::SB2,,1726,576,2,6,0,0,0,547,37,0,0,0,0,0,584,47,110,12,74,26,51,8,58,27,33,1,0,15,1,101,12
,Almere,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau School De Polderhof,0034::SB3,,1824,713,9,1,0,0,0,658,65,0,0,0,0,0,723,56,87,29,70,32,68,19,79,58,44,0,4,23,5,136,3
,Almere,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau School De Klaverweide,0034::SB7,,1561,784,1,0,0,0,0,717,68,0,0,0,0,0,785,82,96,36,51,43,50,15,68,81,59,0,5,7,2,177,12
,Almere,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau School Het Drieluik,0034::SB8,,1640,538,3,1,0,0,0,505,37,0,0,0,0,0,542,91,46,38,26,43,42,21,19,57,29,0,2,16,8,96,4
,Almere,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Buurtcentrum Amerika,0034::SB9,,2361,1064,4,5,0,2,0,942,129,0,2,0,0,0,1071,187,58,46,38,68,103,41,55,139,78,0,1,40,8,192,10
,Almere,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau School De Ontdekking,0034::SB11,,2500,889,2,2,0,0,2,765,133,0,0,0,0,0,900,244,65,41,30,64,72,26,32,92,43,3,1,18,8,146,4
,Almere,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Buurtcentrum Meenten en Grienden,0034::SB12,,1497,890,1,5,0,3,0,807,86,0,3,0,0,0,893,70,119,35,74,42,76,21,83,95,53,1,2,10,4,187,18
,Almere,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau IKC De Regenboog,0034::SB13,,1381,825,4,3,0,0,0,756,76,0,0,0,0,0,832,80,96,26,65,54,97,22,58,110,67,3,2,3,5,129,8
,Almere,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau IKC Aquamarijn I,0034::SB14,,1759,784,1,2,0,0,0,710,77,0,0,0,0,0,787,121,62,31,57,51,64,15,82,77,49,1,2,18,2,145,7
,Almere,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau School De Flierefluiter,0034::SB15,,1827,1214,4,1,0,0,0,1106,114,0,0,1,0,0,1220,144,116,32,105,78,107,33,100,153,81,2,5,7,6,231,14
,Almere,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau School Het Samenspel Midden,0034::SB16,,1837,594,5,7,0,0,0,540,62,0,4,0,0,0,602,45,68,18,56,27,65,23,41,39,30,1,1,58,3,117,2
,Almere,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau School De Achtbaan,0034::SB17,,1758,814,1,2,0,0,0,748,69,0,0,0,0,0,817,62,119,27,76,30,77,20,60,77,66,6,4,22,3,156,9
