contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,GROENLINKS,Partij voor de Dieren,50PLUS/PARTIJ VAN DE OUDEREN,Ouderenpartij Noord-Holland,NIDA,Code Oranje,Forum voor Democratie,DENK,ChristenUnie
Haarlem,Wijdemeren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Hervormde Kerk,1696::SB1,1243JG,1725,879,2,0,0,1,2,789,91,0,0,1,0,0,882,200,93,55,40,26,83,106,56,21,9,0,8,131,3,48
Haarlem,Wijdemeren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau De Dobber,1696::SB2,1241CZ,1454,1492,5,4,0,0,0,1371,130,0,0,0,0,0,1501,241,119,117,108,61,205,170,60,47,8,0,26,241,5,84
Haarlem,Wijdemeren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Veenstaete,1696::SB4,1241AX,1789,818,1,0,0,0,0,757,62,0,0,0,0,0,819,123,55,70,61,35,136,89,25,28,12,3,14,127,0,40
Haarlem,Wijdemeren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Wapen van Ankeveen,1696::SB5,1244PK,1477,867,5,2,0,0,0,800,72,0,2,0,0,0,872,174,59,64,54,26,152,95,33,23,2,0,8,153,0,24
Haarlem,Wijdemeren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Dirk's Sportcafé,1696::SB6,1241HD,1667,1145,1,0,0,0,0,1032,114,0,0,0,0,0,1146,215,110,72,41,48,161,119,61,37,1,1,21,182,0,76
Haarlem,Wijdemeren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Gemeentehuis,1696::SB7,1231KB,2069,1251,1,5,0,1,2,1105,151,0,0,1,0,0,1258,291,124,78,61,34,112,120,49,33,9,3,31,232,0,74
Haarlem,Wijdemeren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau De Emtinckhof,1696::SB8,1231BG,1815,1371,2,8,0,1,0,1247,133,0,1,0,0,0,1380,251,129,92,74,44,180,142,70,43,11,0,14,223,1,97
Haarlem,Wijdemeren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Oude Pastorie,1696::SB10,1231KS,1699,930,3,0,0,0,0,819,114,0,0,0,0,0,933,277,68,33,29,25,82,48,35,45,4,2,6,218,0,58
Haarlem,Wijdemeren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Catamaran,1696::SB11,1231PR,1606,846,1,1,0,0,2,745,100,0,0,0,0,0,847,255,60,29,52,22,65,58,47,23,4,2,10,181,0,38
Haarlem,Wijdemeren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau De Kuijer,1696::SB13,1394EK,1647,1219,2,4,0,1,0,1110,116,0,0,1,0,0,1226,236,136,100,69,36,196,125,49,36,8,0,18,163,1,46
Haarlem,Wijdemeren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Kantine VV Nederhorst,1696::SB14,1394JR,1945,1065,4,2,0,2,0,965,104,0,2,0,0,0,1069,211,95,84,79,52,106,100,41,40,7,0,14,216,0,20
