contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,50PLUS,Partij voor de Dieren,Forum voor Democratie,DENK
,Hengelo,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Bibliotheek Hengelo Stad,0164::SB1,7551 HV,1824,1289,3,0,0,0,1,1195,96,0,0,0,0,0,1292,111,212,118,137,111,69,23,10,189,45,83,173,8
,Hengelo,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau TMZ Zorgcomplex Het Borsthuis,0164::SB2,7555 SH,1585,779,1,3,0,0,0,702,81,0,0,0,0,0,783,85,129,82,86,72,49,19,3,92,24,34,101,3
,Hengelo,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Carintreggeland Huis Het Woolde,0164::SB3,7555 DR,1946,1281,2,3,0,0,0,1154,132,0,0,0,0,0,1286,164,213,129,144,103,95,38,4,147,59,31,143,11
,Hengelo,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Buurthuis Weidedorp - Woolderes,0164::SB4,7556 TM,1864,1020,5,5,0,1,0,932,97,0,1,0,0,0,1029,81,161,131,103,78,60,24,5,128,30,34,149,36
,Hengelo,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Basisschool Kuyperschool,0164::SB5,7556 ET,1937,1078,3,1,0,1,0,996,90,3,0,4,0,0,1086,102,135,147,124,62,92,43,6,158,35,42,128,4
,Hengelo,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Wijkcentrum De Hengelose Es,0164::SB6,7556 LN,1908,1419,4,3,0,0,0,1295,131,0,0,0,0,0,1426,139,172,182,153,102,131,32,7,128,35,47,213,78
,Hengelo,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Ontmoetingsruimte Thiemsbrug,0164::SB8,7556 CH,1880,1119,8,2,0,0,0,1052,77,0,0,0,0,0,1129,157,175,120,132,92,61,48,2,93,56,33,146,4
,Hengelo,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Basisschool Annie M.G. Schmidt,0164::SB9,7556 NK,1897,722,0,2,0,2,0,677,49,0,0,2,0,0,726,80,78,102,57,45,59,25,0,75,26,34,116,25
,Hengelo,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Carintreggeland Huis Backenhagen,0164::SB10,7557 KE,1897,931,2,1,0,0,1,865,68,0,0,0,0,0,934,168,121,105,93,42,82,26,4,73,32,25,143,17
,Hengelo,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Wijkcentrum De Sterrentuin,0164::SB11,7557 XX,1765,779,0,1,0,0,1,709,70,0,0,0,0,0,780,81,68,81,64,36,91,21,7,61,30,23,114,102
