contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),GROENLINKS,ChristenUnie,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),50PLUS,DENK,U26 GEMEENTEN,Forum voor Democratie
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Gemeentehuis,0736::SB1,3641 AL,1754,1311,9,6,0,0,1,1200,125,0,0,0,0,0,1326,254,75,253,70,100,35,89,52,49,18,69,6,8,233
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Bibliotheek AVV,0736::SB2,3641 JW,2071,1235,6,6,0,10,0,1129,108,0,10,0,0,0,1237,196,86,202,59,92,31,96,50,39,17,81,23,13,250
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Zaal Driehuis,0736::SB3,3648 BN,2055,993,6,2,0,3,0,916,88,0,0,3,0,0,1004,148,58,189,61,71,26,64,43,42,11,69,0,6,205
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Verenigingsgebouw Ons Streven,0736::SB4,1427 AK,1127,651,2,2,0,0,1,588,66,0,0,0,0,0,655,145,28,114,32,38,19,49,22,29,16,24,0,7,128
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Springbok,0736::SB5,1426 AG,708,471,1,1,0,1,0,416,56,0,1,0,0,0,472,101,17,107,20,30,5,39,18,13,10,16,0,4,91
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau voormalig PCBS de Hoeksteen,0736::SB6,3641 ML,1425,856,0,1,0,0,0,768,89,0,0,0,0,0,857,155,70,120,55,32,21,82,36,27,16,54,21,8,159
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Veenlanden College,0736::SB7,3641 XR,1494,1001,3,2,0,1,0,918,87,0,1,0,0,0,1005,245,87,136,57,26,26,74,45,30,4,59,5,16,191
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau voormalig OBS De Trekvogel,0736::SB8,3641 ZE,1905,1122,3,1,0,1,0,1030,97,0,0,1,0,0,1127,220,67,149,83,75,29,77,45,43,12,66,9,5,242
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau OBS Twister,0736::SB9,3642 BS,2261,1340,4,1,0,3,0,1235,113,0,0,3,0,0,1348,236,105,222,88,82,25,125,51,38,9,82,10,16,251
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Zorgcentrum Maria-Oord (Hoofdingang),0736::SB10,3645 DH,1772,1050,4,4,0,0,0,958,100,0,0,0,0,0,1058,198,67,180,55,54,30,72,60,44,38,53,1,5,193
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Kids College,0736::SB12,3648 HC,2129,1072,2,0,0,0,0,961,113,0,0,0,0,0,1074,191,47,210,54,54,20,70,62,47,12,69,9,6,221
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau NH Verenigingsgebouw,0736::SB13,3645 DL,2010,1071,1,2,0,0,0,939,135,0,0,0,0,0,1074,279,70,143,37,68,14,43,59,18,43,32,0,2,263
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau EHBO Gebouw Lucas,0736::SB14,3645 GR,1933,1164,1,6,0,2,0,1062,111,0,0,2,0,0,1173,256,90,154,63,80,32,80,45,32,13,63,1,7,248
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Zorgcentrum Zuiderhof,0736::SB15,3645 GE,1701,1022,4,3,0,0,0,925,104,0,0,0,0,0,1029,182,62,127,57,72,25,74,51,50,24,49,2,9,238
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau NH Gebouw De Roeping,0736::SB16,3648 AK,1582,983,6,0,0,1,0,878,112,0,0,1,0,0,990,128,32,295,48,59,12,58,101,21,48,45,1,5,130
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau OBS Willespoort,0736::SB17,3648 HP,1289,1013,4,0,0,0,0,911,106,0,0,0,0,0,1017,188,61,217,57,58,28,72,70,27,18,54,7,11,145
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Kees Bonzaal,0736::SB18,1391 VT,1547,1105,4,0,0,6,0,1000,115,0,0,6,0,0,1115,265,149,125,97,28,19,160,30,46,3,32,3,4,144
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau CNS Abcoude,0736::SB19,1391 VC,1478,1162,4,1,0,2,1,1041,127,0,0,2,0,0,1169,290,186,122,68,36,21,177,42,40,5,37,4,11,123
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Angstelborgh,0736::SB20,1391 LX,1811,1381,1,3,0,0,2,1213,171,0,0,1,0,0,1386,244,197,117,136,56,58,233,40,63,7,55,6,5,164
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Dorpshuis de Vijf Bogen,0736::SB21,1396 JX,1077,805,5,4,0,2,0,740,76,0,0,2,0,0,816,137,59,132,48,40,13,98,74,31,17,34,0,4,118
,De Ronde Venen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Paulusschool,0736::SB22,1391 CZ,946,536,0,4,0,0,0,484,56,0,0,0,0,0,540,155,96,50,35,12,9,55,21,21,0,9,1,5,67
