contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,GROENLINKS,Partij voor de Dieren,50PLUS,DENK,NIDA,Code Oranje,Forum voor Democratie,Lokale Partijen Zuid Holland (LPZH),JEZUS LEEFT
Dordrecht,Albrandswaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau OBS Valckesteyn Noord,0613::SB1,3176 VA,1973,1141,3,3,0,0,1,1033,113,0,0,0,0,0,1147,243,63,68,72,84,41,10,30,72,50,69,10,0,5,321,3,0
Dordrecht,Albrandswaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Cultureel centrum De Brinkhoeve,0613::SB2,3171 GG,1507,810,1,3,0,0,1,738,75,0,0,0,0,0,814,117,77,41,83,63,51,28,45,42,31,43,3,4,1,172,8,1
Dordrecht,Albrandswaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Delta Psychiatrisch Centrum,0613::SB3,3172 AA,1009,406,1,3,0,0,0,367,43,0,0,0,0,0,410,56,30,28,33,25,17,6,14,32,27,27,3,1,1,103,2,1
Dordrecht,Albrandswaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau FPC De Kijvelanden,0613::SB4,3172 AB,178,25,0,0,0,0,0,25,0,0,0,0,0,0,25,2,4,1,1,4,2,0,2,4,3,1,0,0,0,1,0,0
Dordrecht,Albrandswaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Hooge Werf Zorgcentrum,0613::SB5,3171 BJ,1630,1124,1,3,6,0,0,1039,95,0,0,6,0,0,1134,188,89,57,101,80,68,19,35,76,46,77,1,1,2,269,15,0
Dordrecht,Albrandswaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Korfbalvereniging RWA,0613::SB6,3171 AL,1132,656,0,2,0,2,0,587,69,0,2,0,0,0,656,111,34,60,49,45,19,10,26,40,32,43,3,0,6,173,5,0
Dordrecht,Albrandswaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau OBS De Overkant,0613::SB7,3161 LG,1404,854,3,2,0,5,0,774,80,0,5,0,0,0,854,113,79,62,64,47,44,7,36,51,54,80,1,0,3,207,6,0
Dordrecht,Albrandswaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Hervormd Centrum,0613::SB8,3161 AC,1358,731,1,1,0,1,1,661,70,0,1,0,0,0,732,133,56,45,74,43,31,3,47,41,42,43,3,1,2,162,5,0
Dordrecht,Albrandswaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Maranathakerk Rhoon,0613::SB9,3161 HG,1452,1006,6,2,0,2,0,931,85,0,0,2,0,0,1016,250,59,74,126,70,18,18,71,55,32,41,3,1,2,179,5,2
Dordrecht,Albrandswaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau De Klepperwei,0613::SB10,3161 TW,1114,763,1,3,0,2,0,703,66,0,0,2,0,0,769,101,70,42,105,48,31,16,34,46,27,57,1,1,2,176,5,1
Dordrecht,Albrandswaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Lawn Tennis Club Rhoon,0613::SB11,3161 GM,1160,630,6,0,0,0,0,552,84,0,0,0,0,0,636,167,42,45,45,34,13,19,34,36,22,25,4,0,4,134,3,3
Dordrecht,Albrandswaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wijkgebouw Portland A,0613::SB12,3162 WK,1984,777,0,3,0,0,0,681,99,0,0,0,0,0,780,185,69,43,36,42,31,6,26,42,28,38,30,0,0,191,10,0
Dordrecht,Albrandswaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wijkgebouw Portland B,0613::SB13,3162 WK,1909,1069,1,3,6,0,0,949,130,0,0,6,0,0,1079,235,66,66,59,61,37,15,44,48,19,50,40,6,7,309,6,1
Dordrecht,Albrandswaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Portocabin Parels,0613::SB14,3162 VK,1266,792,5,1,0,1,1,713,85,0,0,1,0,0,799,193,41,39,45,59,24,19,46,34,24,42,4,0,4,208,9,1
