contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),GROENLINKS,ChristenUnie,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),50PLUS,DENK,U26 GEMEENTEN,Forum voor Democratie
,Bunschoten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Basisschool De Ark,0313::SB1,3751 VK,1703,960,1,2,0,0,0,828,135,0,0,0,0,0,963,98,10,189,16,55,12,18,240,13,70,11,10,2,216
,Bunschoten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Immanuel kerk,0313::SB2,3752 PE,1292,988,1,0,0,0,0,885,104,0,0,0,0,0,989,56,6,187,19,67,9,9,305,10,80,25,7,1,207
,Bunschoten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Het Talent,0313::SB3,3752 XK,1535,838,0,1,0,0,0,731,108,0,0,0,0,0,839,87,11,150,11,45,8,19,226,3,81,15,3,0,179
,Bunschoten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Gemeentehuis,0313::SB4,3752 CL,1470,1072,2,6,0,0,0,955,125,0,0,0,0,0,1080,129,9,190,24,76,14,22,288,9,91,21,2,0,197
,Bunschoten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau 't  Kruisrak,0313::SB5,3752 KV,1337,810,3,2,0,0,1,730,84,0,0,0,0,0,815,80,7,117,21,66,9,20,188,10,77,24,11,5,175
,Bunschoten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Mr Gr. van Prinstererschool,0313::SB6,3752 GW,1273,960,0,4,0,0,0,863,101,0,0,0,0,0,964,71,7,161,25,45,13,30,288,3,100,27,0,4,186
,Bunschoten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Noorderkerk,0313::SB7,3751 AR,1703,1126,4,4,0,0,0,964,170,0,0,0,0,0,1134,120,17,178,14,51,17,19,323,6,108,16,0,6,251
,Bunschoten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Zorg en wooncentrum De Haven,0313::SB8,3752 GM,1601,1051,2,5,0,2,0,931,129,0,0,2,0,0,1060,65,8,197,13,47,9,16,331,4,117,16,0,2,226
,Bunschoten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Westerkerk,0313::SB9,3752 GP,1508,929,4,2,0,0,0,826,109,0,0,0,0,0,935,68,13,147,13,36,13,15,258,6,122,18,2,1,217
,Bunschoten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau School met de Bijbel,0313::SB10,3754 NA,628,488,1,1,0,0,0,433,57,0,0,0,0,0,490,40,11,120,8,13,3,7,121,7,66,6,0,3,83
,Bunschoten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Maranathakerk,0313::SB11,3751 CP,1692,966,0,4,0,0,0,871,99,0,0,0,0,0,970,72,9,196,10,59,5,8,320,3,77,21,0,3,183
