contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),ChristenUnie,Partij voor Zeeland (PVZ),GROENLINKS,50PLUS,DENK,Partij voor de Dieren,Forum voor Democratie
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Verpleeghuis Cornelia,1676::SB1,4301 NW,1109,694,0,6,0,1,0,619,80,0,1,0,0,0,699,127,120,56,20,30,33,36,46,70,41,28,0,20,67
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau het Tonnenmagazijn,1676::SB2,4318 AC,1079,646,1,3,0,0,0,588,62,0,0,0,0,0,650,59,75,17,42,38,79,23,49,75,47,26,0,37,79
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis Dreischor,1676::SB3,4315 AA,769,480,0,0,0,1,0,427,52,0,1,0,0,0,479,44,59,32,28,19,31,25,15,55,49,24,0,45,54
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis Noordgouwe,1676::SB4,4317 BA,656,454,0,1,0,0,0,396,59,0,0,0,0,0,455,63,88,25,18,10,36,22,13,30,34,22,0,38,55
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis Zonnemaire,1676::SB5,4316 AB,628,409,0,0,0,0,0,366,43,0,0,0,0,0,409,53,71,18,25,24,27,17,18,27,39,11,0,27,52
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau 't Durps'uus Bruinisse,1676::SB6,4311 ED,1450,962,2,1,0,0,0,848,117,0,0,0,0,0,965,142,151,182,18,48,52,21,36,114,26,40,2,16,114
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Hervormde Kerk,1676::SB7,4311 AS,1473,926,1,3,0,2,0,802,130,0,0,2,0,0,932,125,85,233,15,48,45,12,59,95,12,41,0,11,145
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Verenigingsgebouw Ons Dorpshuis,1676::SB8,4306 CA,954,709,1,1,0,0,0,627,84,0,0,0,0,0,711,73,45,322,13,33,20,11,34,54,24,19,0,9,52
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Woonservicecentrum Steenzwaenshof,1676::SB9,4306 CW,1048,705,1,1,0,0,0,632,75,0,0,0,0,0,707,98,66,174,29,24,31,10,45,61,39,36,0,16,76
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis Oosterland,1676::SB10,4307 AR,820,585,0,0,0,0,0,515,70,0,0,0,0,0,585,41,40,278,12,23,13,10,42,64,9,14,0,5,34
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau De Saele,1676::SB11,4307 LL,906,558,2,3,0,0,0,495,69,0,0,1,0,1,564,52,37,257,10,44,19,5,23,33,6,22,0,10,40
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis Ouwerkerk,1676::SB12,4305 AH,495,352,0,0,0,0,0,331,22,0,0,1,0,1,353,36,42,12,20,22,37,15,21,48,32,12,0,12,43
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Verenigingsgebouw Sirjansland,1676::SB13,4308 AE,284,231,0,1,0,0,0,206,26,0,0,0,0,0,232,27,26,55,11,8,7,7,7,17,8,12,0,6,40
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis de Putmeet,1676::SB14,4322 BS,1049,621,2,1,0,3,0,564,63,0,0,3,0,0,627,81,93,24,28,44,37,24,33,71,38,36,2,29,81
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpsuus Ellemeet,1676::SB15,4323 LE,290,163,0,1,0,0,0,146,18,0,0,0,0,0,164,19,33,2,8,11,21,4,8,17,8,6,0,4,22
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis 't Zuudende,1676::SB16,4321 AP,767,498,0,0,0,0,0,454,44,0,0,0,0,0,498,78,56,99,31,24,18,8,52,41,29,15,0,11,36
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Gereformeerde Kerk Haamstede,1676::SB18,4328 EA,1749,979,2,1,0,0,0,882,100,0,0,0,0,0,982,131,217,40,20,50,50,32,36,89,80,47,0,50,137
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau De Schutse,1676::SB19,4328 AS,901,674,0,3,0,0,0,616,61,0,0,0,0,0,677,75,87,39,52,35,64,29,17,90,47,27,0,27,85
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Revasa,1676::SB20,4328 LJ,995,649,4,2,0,0,0,584,71,0,0,0,0,0,655,82,138,24,23,32,39,26,32,48,67,30,0,23,85
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis Noordwelle,1676::SB21,4326 AE,268,193,0,0,0,0,1,173,19,0,0,0,0,0,193,24,33,7,13,16,7,8,12,30,18,4,0,2,19
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis Renesse,1676::SB22,4325 BX,1283,818,0,1,0,0,2,700,117,0,0,0,0,0,819,102,177,7,34,37,48,33,13,115,56,52,1,27,116
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis Serooskerke,1676::SB23,4327 AG,239,184,0,1,0,0,2,162,21,0,0,0,0,0,185,19,27,6,6,20,10,7,1,24,13,6,0,13,32
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Verenigingsgebouw Chr.Ger.Kerk,1676::SB24,4301 EZ,1118,606,0,1,0,1,0,556,52,0,1,0,0,0,608,76,74,38,33,37,36,27,53,75,53,20,1,24,59
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau De Veste,1676::SB25,4301 BK,1090,593,1,1,0,1,0,536,58,0,1,0,0,0,594,70,70,13,53,32,58,31,33,42,65,29,0,27,70
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Zorgcentrum De Wieken,1676::SB26,4301 KB,944,615,0,2,0,0,0,554,63,0,0,0,0,0,617,106,82,36,19,19,44,29,33,55,69,22,0,39,62
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Appartementengebouw Valletta,1676::SB27,4301 LM,1224,627,2,3,0,0,0,582,50,0,0,0,0,0,632,96,60,52,51,35,64,24,30,71,43,27,1,22,51
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Zorgcentrum Borrendamme,1676::SB28,4301 VD,1713,1261,2,2,0,1,0,1130,136,0,0,1,0,0,1266,174,162,32,87,74,103,45,77,124,97,75,2,45,164
,Schouwen-Duiveland,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Campus Cultura,1676::SB29,4301 XC,1856,875,2,2,0,1,0,788,92,0,0,1,0,0,880,125,70,18,87,37,88,33,63,94,66,40,1,30,123
