contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,Partij voor de Dieren,50PLUS,Lokale Partijen Gelderland-Code Oranje,Forum voor Democratie,DENK
Nijmegen,Maasdriel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Gemeentehuis Kerkdriel,0263::SB1,5331 CB,2381,1360,6,4,0,0,0,1155,215,0,0,0,0,0,1370,257,171,52,108,162,67,17,6,69,33,46,11,355,6
Nijmegen,Maasdriel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau De Leijenstein,0263::SB3,5331 TA,764,710,13,1,0,0,0,623,101,0,0,0,0,0,724,83,105,31,65,103,26,4,3,37,18,32,11,190,2
Nijmegen,Maasdriel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau MFC De Kreek,0263::SB4,5331 KC,2569,951,1,3,0,0,0,788,167,0,0,0,0,0,955,170,90,51,58,139,37,14,2,29,21,26,3,306,5
Nijmegen,Maasdriel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Dorpshuis Gelre's End,0263::SB7,5321 GG,1765,1012,5,4,0,0,0,904,118,1,0,1,0,0,1022,121,220,46,55,90,49,28,71,63,25,50,12,180,2
Nijmegen,Maasdriel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Rehoboth,0263::SB8,5321 TM,1917,1202,2,5,0,0,0,1067,142,0,0,0,0,0,1209,165,219,60,79,63,59,61,108,67,30,74,15,201,1
Nijmegen,Maasdriel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau De Lindeboom,0263::SB10,5324 EP,668,503,3,0,0,0,0,459,47,0,0,0,0,0,506,49,118,30,39,56,22,5,1,32,23,25,8,93,2
Nijmegen,Maasdriel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau De Weesboom,0263::SB12,5324 AT,2050,1022,2,4,1,1,0,892,138,0,0,2,0,0,1030,201,230,55,49,89,34,13,6,58,27,47,2,211,0
Nijmegen,Maasdriel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Dorpshuis Ons Huis,0263::SB13,5325 XE,782,521,1,1,0,0,0,470,53,0,0,0,0,0,523,80,124,16,24,37,27,33,41,26,19,20,2,71,1
Nijmegen,Maasdriel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau De Steen,0263::SB14,6624 AN,938,539,0,1,1,0,0,495,44,0,1,0,0,0,539,80,42,29,44,73,54,8,6,46,27,33,12,84,1
Nijmegen,Maasdriel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau De Vaste Burcht,0263::SB16,5328 ES,2013,1160,17,1,0,0,0,1048,130,0,0,0,0,0,1178,226,164,67,67,78,72,26,12,143,59,56,4,186,0
Nijmegen,Maasdriel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Dorpshuis De Kil,0263::SB17,5327 AR,641,485,3,2,0,0,0,420,70,0,0,0,0,0,490,99,68,36,23,29,21,9,0,58,28,20,6,82,6
Nijmegen,Maasdriel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau De Drie Linden,0263::SB18,5335 LK,527,361,0,0,0,0,0,325,36,0,0,0,0,0,361,39,91,12,38,25,16,2,1,24,17,12,6,78,0
Nijmegen,Maasdriel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Deken Wehmeijer School,0263::SB20,5334 JW,1545,792,6,2,0,0,0,664,136,0,0,0,0,0,800,155,123,20,41,102,17,8,3,27,15,29,8,243,1
