contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),ChristenUnie,Partij voor Zeeland (PVZ),GROENLINKS,50PLUS,DENK,Partij voor de Dieren,Forum voor Democratie
,Hulst,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Hal Stadhuis,0677::SB1,4561 EA,2339,1517,3,5,0,0,0,1328,197,0,0,0,0,0,1525,284,263,10,111,125,115,74,9,62,61,143,1,42,217
,Hulst,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau St. Curamus, loc. De Blaauwe Hoeve",0677::SB2,4561 NT,1314,774,10,4,0,0,2,711,75,0,0,0,0,0,788,200,75,5,41,45,73,35,5,46,51,77,0,25,96
,Hulst,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Gemeenschapscentrum Den Dullaert,0677::SB3,4561 NW,2125,1206,2,0,0,0,0,1074,141,0,0,7,0,0,1215,249,159,5,96,76,95,78,13,50,61,90,2,42,190
,Hulst,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Reynaertcollege, loc. Gildenstraat",0677::SB4,4561 WZ,2402,860,1,2,0,0,0,745,118,0,0,0,0,0,863,141,107,3,55,83,80,71,11,44,38,74,3,28,122
,Hulst,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Gemeenschapscentrum Malpertuus,0677::SB5,4567 BM,1583,716,2,2,0,0,0,635,85,0,0,0,0,0,720,86,67,4,58,86,83,25,4,62,33,54,2,20,132
,Hulst,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Gemeenschapscentrum de Kauter,0677::SB6,4568 AB,463,207,0,1,0,0,0,181,27,0,0,0,0,0,208,59,20,0,15,28,11,7,4,3,6,15,0,4,35
,Hulst,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Gemeenschapshuis Graauw,0677::SB7,4569 AG,611,441,5,1,0,0,0,380,67,0,0,0,0,0,447,120,25,3,62,28,30,20,0,33,25,23,0,12,60
,Hulst,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Gemeenschapscentrum De Warande,0677::SB8,4564 AD,2507,1205,3,6,0,0,0,1036,178,0,0,0,0,0,1214,206,134,4,94,110,92,50,12,53,55,148,0,32,215
,Hulst,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Gemeenschapscentrum 't Heike,0677::SB9,4566 AC,889,427,2,1,0,0,0,370,60,0,0,0,0,0,430,99,50,0,25,29,44,17,7,17,20,38,0,7,74
,Hulst,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpscentrum Binnendéur,0677::SB10,4587 AG,2449,1307,3,9,0,0,0,1137,182,0,0,0,0,0,1319,380,165,4,112,86,84,31,6,63,60,109,3,32,172
,Hulst,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpscentrum De Luifel,0677::SB11,4586 AN,671,369,0,0,0,1,0,317,51,0,1,0,0,0,368,102,49,0,44,19,29,8,5,11,16,27,0,20,39
,Hulst,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis Brandershole,0677::SB12,4583 ST,432,259,1,1,0,0,0,235,26,0,0,0,0,0,261,45,28,0,27,12,19,7,2,9,25,26,0,10,49
,Hulst,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpscentrum Vogelwaarde,0677::SB13,4581 BR,1366,823,3,2,0,0,0,736,92,0,0,0,0,0,828,194,77,9,76,56,87,20,12,33,36,76,1,25,121
,Hulst,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Gemeenschapshuis Hof ter Nesse,0677::SB14,4589 KR,370,220,0,1,0,0,0,189,32,0,0,0,0,0,221,80,18,4,23,14,10,4,2,9,15,8,0,12,21
,Hulst,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpscentrum De Schuur,0677::SB15,4585 AJ,477,296,2,0,0,0,0,255,43,0,0,0,0,0,298,66,37,6,23,24,23,11,7,9,11,10,0,26,43
