contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,50PLUS,Partij voor de Dieren,Forum voor Democratie,DENK
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Rosengaerde,0148::SB1,7721 CT,1437,1014,4,3,0,1,0,957,65,0,0,1,0,0,1022,271,92,69,81,60,49,137,24,92,40,25,73,1
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Woonzorgcentrum 't Anker,0148::SB2,8152 BP,1447,890,3,1,0,0,2,813,79,0,0,0,0,0,894,335,121,38,48,39,48,22,7,64,29,20,116,3
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau De Wiekelaar,0148::SB3,7722 ST,1200,749,1,0,0,1,0,681,70,0,0,1,0,0,751,240,63,33,32,23,47,87,19,35,33,29,106,2
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Parochiehuis Hoonhorst,0148::SB4,7722 LR,1351,915,0,0,0,0,0,824,91,0,0,0,0,0,915,320,87,27,39,47,37,79,22,117,27,40,73,0
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Rest. Het Roode Hert,0148::SB5,7722 PJ,711,478,0,3,0,0,0,431,50,0,0,0,0,0,481,142,65,14,10,22,32,56,27,39,10,10,51,0
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Geref. Kerk(Vrijgem.),0148::SB6,7721 XM,883,874,1,3,0,0,0,809,69,0,0,0,0,0,878,166,111,43,63,43,51,177,36,64,30,14,76,0
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Gemeentehuis,0148::SB7,7721 AX,1065,806,0,4,0,0,0,745,66,1,0,1,0,0,811,147,110,55,71,50,29,89,19,95,31,29,81,0
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Ned. Gereformeerde Kerk,0148::SB8,7721 DX,1296,1099,0,0,0,11,1,1032,77,0,0,11,0,0,1110,214,115,54,101,85,40,227,27,110,20,19,87,0
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Kulturhus De Mozaiek,0148::SB9,8151 AZ,977,600,1,2,0,0,1,549,51,0,2,0,0,0,601,226,72,17,31,26,49,23,4,38,25,11,76,2
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Verenigingsgebouw  Ankum,0148::SB10,7722 RK,1568,828,0,2,0,0,0,762,68,0,0,0,0,0,830,180,115,44,57,66,24,110,6,84,35,15,91,1
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau NH Jeugdgebouw,0148::SB11,7711 CD,1735,1218,4,3,0,0,1,1110,114,0,0,0,0,0,1225,319,191,52,73,39,75,155,29,58,51,15,159,2
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau CBS Het Kompas,0148::SB12,7711 GC,1094,637,0,0,0,1,0,561,77,0,0,1,0,0,638,132,66,21,29,29,30,103,80,30,14,16,86,1
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Maranathakerk,0148::SB13,7711 HS,1408,886,4,5,0,0,0,809,86,0,0,0,0,0,895,197,113,32,48,28,63,133,56,27,41,11,136,1
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Restaurant Madrid,0148::SB14,7722 HS,482,264,1,0,0,0,0,240,25,0,0,0,0,0,265,105,33,3,18,16,7,17,10,13,4,7,31,0
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau De Hulstkampen,0148::SB15,7711 JE,1392,813,3,1,0,0,0,749,68,0,0,0,0,0,817,205,81,45,70,21,46,129,24,23,51,13,104,1
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Kulturhus De Spil,0148::SB16,7711 KK,1621,958,3,3,0,0,0,877,87,0,0,0,0,0,964,189,139,50,66,38,55,127,24,50,43,19,158,0
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Station Dalfsen,0148::SB17,7722 HA,0,64,1,0,0,0,0,62,3,0,0,0,0,0,65,7,9,4,7,9,2,2,2,12,0,3,7,0
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Restaurant De Barones,0148::SB18,7722 RX,1119,548,0,1,0,0,0,496,53,0,0,0,0,0,549,96,109,18,26,39,19,115,21,48,7,12,38,0
,Dalfsen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau OBS Heidepark,0148::SB19,8151 AN,1198,634,1,2,0,0,0,592,45,0,0,0,0,0,637,191,111,32,29,38,44,19,9,31,41,11,77,1
