contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,Partij voor de Dieren,50PLUS,Lokale Partijen Gelderland-Code Oranje,Forum voor Democratie,DENK
Nijmegen,West Maas en Waal,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Alphen,0668::SB1,6626 AC,1336,723,3,1,0,0,0,637,90,0,0,0,0,0,727,148,97,30,82,63,35,12,1,64,31,30,9,121,0
Nijmegen,West Maas en Waal,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Altforst,0668::SB2,6628 AC,420,276,0,0,0,0,0,236,39,0,1,0,1,0,275,66,52,14,31,16,9,0,0,16,9,11,2,50,0
Nijmegen,West Maas en Waal,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Appeltern,0668::SB3,6629 AR,669,375,0,2,0,0,0,344,33,0,0,0,0,0,377,75,54,34,59,16,14,6,0,15,20,11,1,70,0
Nijmegen,West Maas en Waal,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Beneden-Leeuwen,0668::SB4,6658 WX,2008,978,8,0,0,0,0,872,114,0,0,0,0,0,986,205,154,54,76,81,49,9,4,56,21,52,1,216,0
Nijmegen,West Maas en Waal,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Beneden-Leeuwen,0668::SB5,6658 AG,1538,1077,2,2,0,0,0,937,144,0,0,0,0,0,1081,221,139,63,108,102,61,13,5,53,40,62,6,203,1
Nijmegen,West Maas en Waal,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Beneden-Leeuwen,0668::SB6,6658 XN,1808,852,8,6,0,0,0,772,94,0,0,0,0,0,866,147,115,35,111,72,42,6,1,43,22,63,14,180,1
Nijmegen,West Maas en Waal,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Boven-Leeuwen,0668::SB7,6657 CB,1748,948,2,2,0,0,0,829,123,0,0,0,0,0,952,152,136,47,140,73,68,9,2,50,27,45,17,181,1
Nijmegen,West Maas en Waal,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Dreumel,0668::SB8,6621 KV,1223,700,4,3,0,0,0,622,85,0,0,0,0,0,707,125,86,32,74,80,39,11,1,43,17,45,14,133,0
Nijmegen,West Maas en Waal,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Dreumel,0668::SB9,6621 AN,1524,865,5,1,0,1,0,744,128,0,0,1,0,0,872,187,141,41,64,89,53,11,2,44,17,51,17,148,0
Nijmegen,West Maas en Waal,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Maasbommel,0668::SB10,6627 AG,1075,575,4,0,0,0,0,512,67,0,0,0,0,0,579,99,92,37,47,71,29,11,1,34,26,29,6,93,0
Nijmegen,West Maas en Waal,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Wamel,0668::SB11,6659 BN,1942,1106,3,2,0,0,0,974,137,0,0,0,0,0,1111,189,151,63,120,100,78,21,3,80,40,61,7,193,0
