contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,50PLUS,Partij voor de Dieren,LOKAAL-LIMBURG,Forum voor Democratie,ChristenUnie,DENK
Maastricht,Brunssum,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau D'r Brikkeoave,0899::SB1,,1493,1029,5,4,0,0,1,906,131,0,0,0,0,0,1038,119,168,61,180,29,132,38,46,41,72,129,12,2
Maastricht,Brunssum,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Zwembad De Bronspot,0899::SB2,,1357,715,1,5,0,0,0,633,88,0,0,0,0,0,721,88,95,63,100,15,78,31,23,29,76,107,10,0
Maastricht,Brunssum,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau zaal cafe De Kroeg,0899::SB3,,899,480,1,1,0,0,0,412,70,0,0,0,0,0,482,19,124,39,37,10,76,10,9,15,42,94,2,3
Maastricht,Brunssum,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Verpleeghuis Schuttershof,0899::SB4,,1119,566,1,0,0,0,0,512,55,0,0,0,0,0,567,39,107,51,61,10,90,31,10,31,30,95,9,2
Maastricht,Brunssum,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau BMV Bronsheim,0899::SB5,,1571,523,1,4,0,0,0,471,57,0,0,0,0,0,528,13,157,68,27,13,66,15,12,19,44,85,2,2
Maastricht,Brunssum,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,"Stembureau Mijn, centrum voor medische zorg",0899::SB6,,1564,758,0,4,0,0,0,688,74,0,0,0,0,0,762,66,118,97,80,16,110,32,35,29,56,106,8,5
Maastricht,Brunssum,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Café Rumpener Beemden,0899::SB7,,1169,511,4,4,0,0,0,456,63,0,0,0,0,0,519,49,92,41,69,10,74,20,24,19,20,82,10,1
Maastricht,Brunssum,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Brede School Langeberg,0899::SB8,,1102,603,2,2,0,0,0,526,79,0,2,0,0,0,605,75,123,58,63,15,48,28,16,26,50,98,1,2
Maastricht,Brunssum,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Verenigingsgebouw De Burcht,0899::SB9,,1209,702,1,1,0,0,2,608,94,0,0,0,0,0,704,59,167,88,48,20,82,21,18,27,32,124,16,0
Maastricht,Brunssum,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Sporthal Brede School Treebeek,0899::SB10,,1885,1135,3,0,0,0,0,1003,135,0,0,0,0,0,1138,91,175,134,116,27,117,60,45,41,68,217,41,3
Maastricht,Brunssum,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Trefcentrum,0899::SB11,,1673,700,2,0,0,0,0,615,87,0,0,0,0,0,702,44,102,86,89,24,79,44,26,33,46,102,24,1
Maastricht,Brunssum,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Zorgcentrum Emmastaete,0899::SB12,,2021,900,6,2,0,0,1,814,93,0,0,0,0,0,908,90,142,59,107,37,110,45,29,25,32,159,64,1
Maastricht,Brunssum,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau BS De Caleidoscoop,0899::SB13,,2033,1057,2,0,0,0,0,932,127,0,0,0,0,0,1059,101,153,97,167,36,132,51,28,42,62,183,5,0
Maastricht,Brunssum,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Microhal Brunssum-Noord,0899::SB14,,2678,1288,6,2,0,5,2,1131,158,0,5,0,0,0,1291,100,276,157,84,24,127,68,86,30,112,183,24,17
Maastricht,Brunssum,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Basisschool Titus Brandsma,0899::SB15,,997,561,2,0,0,0,0,490,73,0,0,0,0,0,563,82,55,38,71,15,107,30,13,30,26,69,10,15
