contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),VVD,ChristenUnie,PVV (Partij voor de Vrijheid),Groninger Belang,GROENLINKS,Partij voor de Dieren,Partij voor het Noorden,Forum voor Democratie,50PLUS,DENK
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gemeentehuis Uithuizen,1966::SB1,9981 AA,914,714,1,1,0,0,0,714,2,0,0,0,0,0,716,80,106,78,8,51,83,48,90,55,17,30,58,8,2
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Vincentiusgebouw Uithuizen,1966::SB2,9981 AX,1058,459,0,2,0,0,0,417,44,0,0,0,0,0,461,54,50,67,5,27,55,26,64,28,21,19,38,4,1
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Ability Uithuizen,1966::SB3,9981 GJ,1078,553,2,0,0,0,0,498,58,0,0,1,0,1,556,59,96,70,4,37,51,33,67,28,18,30,48,12,0
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Hunsingoheerd Uithuizen,1966::SB4,9981 CJ,1264,744,2,3,0,0,0,668,81,0,0,0,0,0,749,45,131,106,14,72,80,38,108,37,11,26,62,14,0
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Bommelhoes Uithuizermeeden,1966::SB5,9982 HE,852,558,4,1,0,0,0,530,33,0,0,0,0,0,563,27,21,132,1,44,138,29,60,21,8,21,50,6,0
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Scherphorn Uithuizermeeden,1966::SB6,9982 BZ,945,468,1,0,0,0,0,436,33,0,0,0,0,0,469,41,24,96,2,19,101,24,83,16,6,15,33,8,0
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Mieden Uithuizermeeden,1966::SB7,9982 AB,808,471,1,0,0,0,2,423,47,0,0,0,0,0,472,30,31,108,15,38,67,23,54,34,10,15,37,8,1
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Nieuw Calvaria Roodeschool,1966::SB8,9983 PE,889,482,0,0,0,0,0,446,36,0,0,0,0,0,482,34,31,62,12,15,148,25,50,20,10,14,51,9,1
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Diggelschip Oudeschip,1966::SB9,9984 XD,260,143,0,0,0,0,2,135,6,0,0,0,0,0,143,8,7,15,5,20,10,19,18,6,12,3,15,5,0
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau 't Klokhoes Zandeweer,1966::SB10,9997 PB,567,344,1,0,0,0,0,306,39,0,0,0,0,0,345,34,46,43,8,23,25,25,40,23,13,27,31,6,0
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau 't Schienvat Kantens,1966::SB11,9995 PH,748,497,3,0,0,0,0,451,49,0,0,0,0,0,500,52,43,38,34,30,92,23,47,46,20,23,38,11,0
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis Usquert,1966::SB12,9988 RV,1095,625,4,1,0,0,0,554,76,0,0,0,0,0,630,65,113,16,28,67,43,29,65,60,37,18,71,13,0
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Pro Rege Warffum,1966::SB13,9989 AH,862,646,2,2,0,0,0,590,60,0,0,0,0,0,650,72,91,67,36,41,40,30,77,78,36,21,41,15,1
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Roakeldais Warffum,1966::SB14,9989 EL,896,413,0,0,0,0,0,369,44,0,0,0,0,0,413,69,48,34,19,33,19,15,49,39,22,20,41,5,0
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Alegunda Ilberi Bedum,1966::SB15,9981 JS,1571,864,3,1,0,0,0,798,70,0,0,0,0,0,868,70,120,135,18,51,120,50,61,56,13,59,92,19,0
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gebouw Thedema Bedum,1966::SB16,9981 BH,1378,820,1,4,0,0,0,759,66,0,0,0,0,0,825,61,93,112,24,31,197,31,68,63,21,42,63,14,0
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Ver. gebouw De Kern Bedum,1966::SB17,9985 AS,1024,742,7,1,0,3,1,696,56,0,0,3,0,0,753,39,92,97,43,43,130,17,40,138,34,22,33,13,1
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gemeentehuis Bedum,1966::SB18,9781 JL,1188,867,1,1,0,0,0,869,0,0,0,0,0,0,869,55,119,142,44,61,114,52,65,74,18,47,58,17,1
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Meenschaar Bedum,1966::SB19,9781 GK,1067,716,0,0,0,0,0,643,73,0,0,0,0,0,716,34,59,137,30,60,130,14,66,75,8,45,47,9,2
,Het Hogeland,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis Zijlvesterhoek Onderdendam,1966::SB20,9959 PC,472,346,1,0,0,0,0,314,33,0,0,0,0,0,347,36,37,40,11,18,42,25,31,54,11,15,25,1,0
