contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),GROENLINKS,ChristenUnie,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),50PLUS,DENK,U26 GEMEENTEN,Forum voor Democratie
,Baarn,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Gemeentehuis Baarn ing Laanstraat 1,0308::SB1,3743 BA,1485,1291,1,3,0,0,0,1181,114,0,0,0,0,0,1295,309,131,133,104,40,28,189,50,75,16,34,2,8,172
,Baarn,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Basisschool De Uitkijck,0308::SB2,3742 RC,1666,878,1,3,0,0,0,794,88,0,0,0,0,0,882,145,92,82,76,37,39,136,60,33,10,42,12,8,106
,Baarn,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Maria Koningin Kerk,0308::SB3,3742 XM,1278,728,3,7,0,1,0,700,39,0,0,1,0,0,739,87,40,56,83,38,49,107,58,39,6,42,2,2,119
,Baarn,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Guido de Bresschool ing Maatkampweg,0308::SB4,3742 TG,1247,784,0,2,0,2,0,723,61,0,2,0,0,0,784,113,48,68,78,49,34,108,40,41,11,52,8,7,127
,Baarn,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Gebouw De Pool,0308::SB5,3742 RL,1258,596,3,3,0,0,0,543,59,0,0,0,0,0,602,57,25,41,57,66,40,67,33,24,6,46,27,5,102
,Baarn,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Gebouw Elan,0308::SB6,3742 SJ,1484,756,0,2,0,0,0,693,65,0,0,0,0,0,758,155,76,64,58,41,22,105,40,38,6,27,6,8,110
,Baarn,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau NS station,0308::SB7,3743 KM,1231,1132,3,6,0,2,0,1039,104,0,0,2,0,0,1143,372,148,137,56,25,11,125,54,43,9,33,0,10,109
,Baarn,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Gebouw Brandpunt,0308::SB8,3743 KN,1243,782,1,1,0,0,0,680,104,0,0,0,0,0,784,255,110,76,39,12,5,98,38,37,1,16,3,6,86
,Baarn,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Rest. Greenfield's ingang  Chopinln,0308::SB9,3741 GS,1874,942,2,2,0,0,1,839,106,0,0,0,0,0,946,276,119,118,51,42,20,74,52,39,18,25,1,6,101
,Baarn,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Dorpshuis de Furs,0308::SB10,3749 AA,348,243,2,1,0,0,1,227,18,0,0,0,0,0,246,55,16,18,16,11,11,26,8,24,10,7,0,2,39
,Baarn,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Verzorgingstehuis De Blinkert,0308::SB11,3741 BE,1430,790,4,1,0,0,0,733,61,0,1,0,1,0,794,112,50,79,71,43,33,107,49,44,14,40,38,6,104
,Baarn,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Brandweerkazerne,0308::SB12,3741 WE,1639,1072,1,2,0,1,0,990,86,0,0,1,0,0,1076,234,118,99,84,37,36,149,63,47,10,41,12,8,134
,Baarn,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Woon- en zorgcentrum Santvoorde,0308::SB13,3741 VJ,1549,748,5,0,0,1,0,697,57,0,0,1,0,0,754,86,67,99,66,63,25,83,44,37,10,49,12,5,102
,Baarn,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Speeldoos,0308::SB14,3741 TA,1481,1042,2,2,0,0,0,949,97,0,0,0,0,0,1046,164,75,124,75,47,47,153,68,57,7,48,12,7,158
