contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),ChristenUnie,Partij voor Zeeland (PVZ),GROENLINKS,50PLUS,DENK,Partij voor de Dieren,Forum voor Democratie
,Vlissingen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Hal Stadhuis (1),0718::SB1,4382 LG,2314,1170,3,5,0,0,0,1060,118,0,0,0,0,0,1178,98,102,21,81,92,125,73,27,69,116,103,19,69,175
,Vlissingen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Zorgcentrum Scheldehof,0718::SB2,4381 EN,2031,947,13,0,0,0,0,873,87,0,0,0,0,0,960,73,99,16,55,61,123,65,20,39,71,87,3,74,161
,Vlissingen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Lokaal  Ger. Kerk Vrijgemaakt,0718::SB4,4381 VB,1581,551,2,4,0,0,0,519,38,0,0,0,0,0,557,53,40,13,42,57,56,27,21,20,44,62,0,27,89
,Vlissingen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Lokaal De Combinatie (1),0718::SB5,4382 KB,1578,693,2,1,0,0,0,628,68,0,0,0,0,0,696,51,33,8,69,63,74,26,16,48,51,91,40,52,71
,Vlissingen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Atrium  Zorgcentrum Ter Reede,0718::SB6,4382 CJ,1956,1095,2,6,0,0,0,1022,83,2,0,2,0,0,1105,134,163,27,49,57,112,67,36,60,80,138,2,64,106
,Vlissingen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau De Vlissingse Schoolvereniging,0718::SB8,4383 WB,1345,476,2,0,0,0,0,437,41,0,0,0,0,0,478,55,55,9,19,41,30,36,14,23,27,60,10,17,80
,Vlissingen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Gymzaal basisschool Louise de Coligny,0718::SB9,4384 EV,1552,927,1,2,0,0,0,841,89,0,0,0,0,0,930,103,122,25,53,53,97,52,28,59,64,88,4,55,124
,Vlissingen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Lokaal Apostolisch Genootschap,0718::SB11,4386 GZ,1283,1011,2,1,0,3,0,900,117,0,0,3,0,0,1017,115,199,26,41,58,73,57,27,59,63,95,1,32,165
,Vlissingen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stichting ROAT,0718::SB12,4385 AM,1210,589,3,1,0,0,0,555,38,0,0,0,0,0,593,44,29,27,50,71,58,14,23,44,29,68,5,17,110
,Vlissingen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Het Bolwerk,0718::SB13,4386 EA,1171,641,1,2,0,0,0,575,69,0,0,0,0,0,644,64,52,19,59,53,55,26,42,32,45,67,0,16,111
