contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),ChristenUnie,Partij voor Zeeland (PVZ),GROENLINKS,50PLUS,DENK,Partij voor de Dieren,Forum voor Democratie
,Reimerswaal,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Ons Dorpshuis, Kruiningen",0703::SB1,4416 BK,644,560,0,0,0,0,1,499,60,0,0,0,0,0,560,74,39,184,10,46,39,3,22,38,18,20,0,16,51
,Reimerswaal,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Verenigingsgebouw Geref. Gemeente, Kruiningen",0703::SB2,4416 BJ,1063,843,2,3,0,0,0,721,127,0,0,0,0,0,848,77,64,443,21,27,48,8,33,33,15,18,0,10,46
,Reimerswaal,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Dorpshuis Kaj Munk, Hansweert",0703::SB3,4417 AA,1191,738,0,1,0,0,0,648,91,0,0,0,0,0,739,68,63,13,36,108,132,18,13,108,14,28,1,22,114
,Reimerswaal,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Dorpscentrum MeerWaarde, Waarde",0703::SB4,4414 AK,969,752,2,2,0,0,0,656,100,0,0,0,0,0,756,132,19,414,13,10,8,7,44,27,10,9,0,9,50
,Reimerswaal,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Kerkelijk centrum De Haven,0703::SB5,4401 EE,1049,694,2,0,0,0,0,600,96,0,0,0,0,0,696,113,40,217,19,47,28,15,56,41,14,23,0,10,71
,Reimerswaal,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau De Putter, Oostdijk",0703::SB6,4415 AE,412,333,0,1,0,1,0,291,44,0,0,1,0,0,335,60,4,231,0,0,1,0,17,2,1,0,0,2,15
,Reimerswaal,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Verenigingsgebouw Geref. Gemeente, Yerseke",0703::SB7,4401 CB,1331,998,1,5,0,0,0,845,159,0,0,0,0,0,1004,113,33,551,14,60,18,3,48,29,5,14,3,5,102
,Reimerswaal,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Calvijn College (ingang Westhof), Krabbendijke",0703::SB8,4413 GB,999,670,1,2,0,0,0,585,88,0,0,0,0,0,673,80,27,376,9,30,9,6,46,33,5,11,0,2,36
,Reimerswaal,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Voetbalvereniging Krabbendijke,0703::SB9,4413 CN,1022,868,0,0,0,0,0,766,102,0,0,0,0,0,868,168,19,341,15,40,44,6,68,53,24,17,6,13,54
,Reimerswaal,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Dorpshuis Luctor et Emergo, Rilland",0703::SB10,4411 AP,1148,747,7,1,0,0,1,675,79,0,0,0,0,0,755,103,58,92,45,56,63,20,53,34,25,42,8,23,125
,Reimerswaal,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Seniorencomplex Oostkilhoek, Rilland",0703::SB11,4411 AC,931,496,0,1,0,2,1,450,48,0,0,2,0,0,499,76,46,75,34,19,47,23,22,38,17,30,1,13,55
,Reimerswaal,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Brandweerkazerne, Yerseke",0703::SB12,4401 KW,1262,696,0,1,0,1,0,616,80,0,1,0,0,0,696,120,53,190,21,54,20,6,47,38,10,15,0,12,110
,Reimerswaal,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Zorgcentrum Moerzicht, Yerseke",0703::SB13,4401 HZ,1175,920,0,0,0,1,1,775,145,0,0,1,0,0,921,178,56,292,12,50,32,6,78,58,6,28,0,9,115
,Reimerswaal,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Reimerswaalhal, Kruiningen",0703::SB14,4416 RC,1409,723,4,1,0,0,0,639,89,0,0,0,0,0,728,101,60,244,19,40,48,10,39,38,13,21,0,25,65
,Reimerswaal,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Verenigingsgebouw Geref. Kerk, Krabbendijke",0703::SB15,4413 BK,974,683,0,4,0,0,0,601,86,0,0,0,0,0,687,121,12,351,14,23,13,2,37,35,6,9,0,7,53
