contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,GROENLINKS,Partij voor de Dieren,50PLUS,DENK,NIDA,Code Oranje,Forum voor Democratie,Lokale Partijen Zuid Holland (LPZH)
Leiden,Leidschendam-Voorburg,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Voormalig Servicecentrum Voorburg,1916::SB1,2271 DG,1245,1419,2,5,0,0,0,1268,158,0,0,0,0,0,1426,404,43,231,96,102,42,4,43,139,56,38,3,2,7,195,14
Leiden,Leidschendam-Voorburg,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Professor Casimirschool,1916::SB2,2271 TX,1878,1126,3,7,2,0,0,1016,118,0,2,0,2,0,1134,332,26,211,93,92,19,7,40,111,43,29,0,1,0,112,10
Leiden,Leidschendam-Voorburg,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau WZH Het Anker,1916::SB3,2273 AG,1095,1131,3,1,0,0,1,1036,98,0,0,0,0,0,1135,279,48,130,136,102,33,9,41,104,44,51,5,0,0,140,9
Leiden,Leidschendam-Voorburg,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Basisschool Sint Maarten,1916::SB4,2271 EP,1782,1279,1,2,0,0,0,1159,123,0,0,0,0,0,1282,376,43,209,117,65,26,6,30,114,46,40,0,3,3,184,17
Leiden,Leidschendam-Voorburg,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Wijkgebouw De Boot,1916::SB5,2272 AN,1877,1288,2,1,0,0,0,1154,137,0,0,0,0,0,1291,364,33,204,110,117,24,7,41,130,45,40,0,0,1,153,19
Leiden,Leidschendam-Voorburg,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Wijkcentrum Agora,1916::SB6,2275 CZ,1732,1082,1,3,0,0,1,973,113,1,0,1,0,0,1087,289,40,203,75,94,27,4,41,106,29,31,1,0,5,132,5
Leiden,Leidschendam-Voorburg,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Wijkcentrum Agora (2),1916::SB7,2275 CZ,1732,1231,1,0,0,7,0,1092,133,0,7,0,7,0,1225,342,29,216,101,108,27,1,39,163,54,23,2,2,0,117,7
Leiden,Leidschendam-Voorburg,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Basisschool De Parachute,1916::SB8,2274 TZ,1614,634,1,0,0,0,0,578,57,0,0,0,0,0,635,97,45,96,19,62,21,3,17,84,36,22,6,1,4,119,2
Leiden,Leidschendam-Voorburg,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Basisschool De Parachute (2),1916::SB9,2274 TZ,1615,734,7,4,0,1,0,668,74,0,3,0,2,0,742,107,45,98,41,66,29,5,22,108,60,21,7,2,2,109,12
Leiden,Leidschendam-Voorburg,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Wijkcentrum De Driesprong,1916::SB10,2274 RX,1614,990,5,3,2,0,0,914,86,0,0,2,0,0,1000,201,49,171,56,64,28,3,30,134,59,22,11,3,4,149,6
Leiden,Leidschendam-Voorburg,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Veurs Voorburg,1916::SB11,2274 JW,1567,589,1,1,0,0,0,531,60,0,0,0,0,0,591,135,18,103,44,59,14,5,15,68,30,21,4,0,3,69,1
Leiden,Leidschendam-Voorburg,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Corbulocollege,1916::SB12,2273 CB,2066,1365,4,2,0,0,0,1250,121,0,0,0,0,0,1371,302,85,126,117,109,44,6,41,142,76,64,6,4,1,227,15
Leiden,Leidschendam-Voorburg,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Koningkerk,1916::SB13,2273 KR,1780,1581,0,2,0,2,0,1428,153,0,2,0,0,0,1581,248,119,208,97,127,72,4,42,199,111,86,16,3,9,220,20
Leiden,Leidschendam-Voorburg,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Wijkcentrum de Groene Loper,1916::SB14,2273 VD,2365,980,2,4,0,2,0,904,80,0,2,0,0,0,984,151,87,82,67,74,54,12,33,117,65,53,25,1,2,145,12
