contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,GROENLINKS,Partij voor de Dieren,50PLUS,DENK,NIDA,Code Oranje,Forum voor Democratie,Lokale Partijen Zuid Holland (LPZH)
Leiden,Wassenaar,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Bloemcampschool,0629::SB2,2244 EE,934,905,1,4,0,8,0,747,155,0,8,0,0,0,902,500,14,84,81,20,9,4,18,36,20,8,1,0,0,107,3
Leiden,Wassenaar,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Buurtcentrum Het Kerkehout,0629::SB3,2245 VW,1380,738,1,2,0,1,0,654,88,0,0,1,0,0,742,197,60,49,59,27,21,1,9,51,34,31,6,2,2,164,25
Leiden,Wassenaar,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Woonzorgcentrum Van Ommerenpark,0629::SB4,2243 EX,1177,737,9,3,0,0,1,648,100,0,0,0,0,0,749,372,17,52,96,14,4,5,17,14,17,7,0,1,1,112,8
Leiden,Wassenaar,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,"Stembureau Stembureau SWZ ""Willibrord""",0629::SB5,2242 GN,1513,990,2,6,0,0,0,870,130,2,0,2,0,0,1000,398,26,114,152,37,5,2,20,61,22,19,0,0,1,123,10
Leiden,Wassenaar,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Sophiekehuis,0629::SB6,2242 LJ,1294,735,1,3,0,1,0,663,77,0,0,1,0,0,740,178,42,49,95,33,21,3,13,41,28,29,4,0,1,191,7
Leiden,Wassenaar,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Bibliotheek,0629::SB7,2242 KM,1335,1052,1,7,0,0,2,884,174,0,0,0,0,0,1060,355,34,92,140,43,16,2,24,63,52,28,2,1,1,181,18
Leiden,Wassenaar,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Middelwegschool,0629::SB8,2241 AN,1496,1093,1,5,0,4,1,970,132,0,0,4,0,0,1103,378,34,84,143,52,9,1,27,67,45,30,2,1,1,201,18
Leiden,Wassenaar,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,"Stembureau Stembureau Verpleegtehuis ""Duinstede""",0629::SB9,2241 AL,1286,778,2,4,0,0,0,680,104,0,0,0,0,0,784,209,29,66,106,36,19,4,22,72,31,27,1,0,3,146,7
Leiden,Wassenaar,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau gebouw 'Sion',0629::SB10,2241 XN,983,646,1,2,0,0,0,589,60,0,0,0,0,0,649,106,53,46,89,44,14,5,16,44,32,30,1,0,3,147,16
Leiden,Wassenaar,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Gemeentekantoor,0629::SB11,2242 LV,1356,983,3,4,0,0,1,862,127,0,0,0,0,0,990,169,90,80,97,62,22,3,20,61,40,47,1,1,3,270,17
Leiden,Wassenaar,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,"Stembureau Stembureau Sporthal ""De Schulpwei""",0629::SB12,2242 TZ,1234,563,5,3,0,2,0,511,62,0,0,2,0,0,573,102,67,18,73,29,18,2,4,30,31,16,1,0,0,160,12
Leiden,Wassenaar,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Buurtcentrum Van Polanenpark,0629::SB13,2241 SH,1237,807,0,1,0,0,0,723,85,0,0,0,0,0,808,159,68,49,103,44,26,0,18,50,31,48,1,1,2,187,20
Leiden,Wassenaar,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stembureau Buurtcentrum Van Polanenpark,0629::SB14,2241 SH,1770,842,1,3,0,0,0,760,86,0,0,0,0,0,846,162,55,45,100,46,34,6,24,72,45,47,2,4,3,182,15
Leiden,Wassenaar,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,"Stembureau Stembureau Kievietschool, ingang Oranjelaan",0629::SB15,2242 AD,837,561,0,3,0,0,0,479,85,0,0,0,0,0,564,315,9,61,52,3,4,0,11,8,14,6,0,0,0,77,1
