contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Sterk Lokaal,Forum voor Democratie,Partij voor de Dieren,Onafhankelijke Partij Drenthe,DENK,Staatkundig Gereformeerde Partij (SGP),Senioren Belang
,De Wolden,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Gemeentehuis,1690::SB1,7921 GD,1434,1053,0,1,0,3,0,952,105,0,0,3,0,0,1057,204,99,135,34,64,60,71,62,18,96,154,35,9,2,9,1
,De Wolden,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Ontmoetingscentrum de Boerhoorn,1690::SB2,7921 GB,891,621,0,2,0,1,0,578,46,0,0,1,0,0,624,101,52,102,27,41,27,34,36,17,75,78,17,5,1,6,2
,De Wolden,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Zorgcentrum Tonckenshuys,1690::SB3,7921 VR,1517,829,0,3,0,0,0,756,76,0,0,0,0,0,832,111,96,141,27,31,47,85,50,25,81,107,13,5,1,7,2
,De Wolden,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis 't Markehuus,1690::SB4,7924 PP,493,319,1,2,0,0,0,292,30,0,0,0,0,0,322,57,29,29,17,35,17,14,18,7,27,45,8,12,0,2,2
,De Wolden,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis Buddingehof,1690::SB5,7961 AM,1046,705,0,0,0,0,0,632,73,0,0,0,0,0,705,151,94,127,27,35,34,32,50,11,33,87,12,5,1,5,1
,De Wolden,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis De Kolonie,1690::SB6,7961 NH,726,591,1,1,0,0,0,534,59,0,0,0,0,0,593,153,37,127,17,10,26,38,57,13,20,50,28,6,0,9,0
,De Wolden,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Streekcentrum de Snikke,1690::SB7,7924 RD,574,378,0,1,0,0,0,342,37,0,0,0,0,0,379,70,27,63,15,8,14,15,37,12,33,51,23,6,0,4,0
,De Wolden,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis Linde,1690::SB8,7925 PB,466,309,2,1,0,2,0,279,31,0,2,0,0,0,310,59,17,67,4,16,15,11,17,7,23,42,11,4,0,16,0
,De Wolden,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis 't Drogterhuus,1690::SB9,7705 PH,411,246,0,0,0,0,0,209,37,0,0,0,0,0,246,30,10,46,6,20,11,12,14,11,24,43,12,3,1,2,1
,De Wolden,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis 't Neie Punt,1690::SB10,7963 CM,1480,987,2,5,0,3,2,912,83,0,0,3,0,0,997,215,133,90,55,52,61,22,84,17,76,116,42,15,1,4,4
