contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),GROENLINKS,ChristenUnie,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),50PLUS,DENK,U26 GEMEENTEN,Forum voor Democratie
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Gemeentehuis,0321::SB1,3995 DW,2112,1792,7,6,0,1,3,1657,146,0,0,1,0,0,1806,181,129,158,161,122,81,339,167,97,43,57,14,23,220
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau RKBS Van Harte School,0321::SB2,3991 AA,1154,1083,2,1,0,3,0,970,119,0,0,3,0,0,1089,199,61,181,84,46,42,141,61,47,37,46,1,13,124
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Het Oude Station Houten,0321::SB3,3991 KX,1526,953,3,0,0,2,0,867,91,0,0,2,0,0,958,165,97,102,86,29,29,174,100,27,39,18,0,6,81
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Sociaal Cultureel Centrum De Grund,0321::SB4,3991 DX,1383,675,1,3,0,0,0,619,60,0,0,0,0,0,679,97,58,84,47,40,18,116,73,22,29,26,0,3,62
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau OBS De Bijenkorf,0321::SB5,3992 BK,1707,924,0,0,0,0,0,833,91,0,0,0,0,0,924,120,101,76,65,43,26,191,90,41,32,26,1,13,99
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau PCBS Wereldwijs,0321::SB6,3991 WE,2343,1453,1,1,0,2,1,1298,158,0,0,2,0,0,1457,202,96,167,152,58,64,226,197,55,41,35,3,18,139
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau RKBS De Zevensprong,0321::SB7,3992 RD,2172,1693,2,2,0,2,1,1524,174,0,0,2,0,0,1699,247,175,162,126,53,63,327,201,72,28,61,0,18,160
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Sociaal Cultureel Centrum De Meerkoet,0321::SB8,3993 EB,2023,1079,4,2,0,2,4,997,86,0,0,2,0,0,1087,101,80,93,89,58,53,206,96,63,34,49,9,4,144
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau OBS Klavertje Vier,0321::SB9,3993 GE,1826,1066,5,5,0,2,0,967,111,0,0,2,0,0,1078,102,75,88,107,63,67,208,103,47,31,47,0,13,115
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau PCBS Het Mozaïek Houten,0321::SB10,3994 BM,1759,1066,2,2,0,1,0,968,103,0,0,1,0,0,1071,131,72,93,99,42,46,233,119,46,29,27,4,9,116
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau OBS De Brug,0321::SB11,3994 EK,1228,1037,1,4,0,0,1,952,89,0,0,0,0,0,1042,133,98,116,108,52,18,202,88,44,12,45,2,11,108
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Sociaal Cultureel Centrum De Ploeg,0321::SB12,3997 MH,483,358,2,2,0,0,0,325,37,0,0,0,0,0,362,59,13,109,13,10,6,41,16,11,26,8,0,2,44
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Sociaal Cultureel Centrum De Wiese,0321::SB13,3998 MD,1400,959,2,0,0,1,0,864,98,0,0,1,0,0,962,195,60,287,40,36,27,80,32,24,39,25,0,12,102
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Sociaal Cultureel Centrum 't Gebouw,0321::SB14,3999 NK,716,440,1,0,0,0,0,372,69,0,0,0,0,0,441,73,22,76,13,30,7,32,29,15,37,19,0,2,85
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau RKBS De Vlinder,0321::SB15,3994 PB,2291,1578,4,2,0,1,0,1375,210,0,0,1,0,0,1585,354,169,168,93,54,30,233,138,65,30,33,5,16,190
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Woonzorgcomplex De Loericker Stee,0321::SB16,3994 VT,2361,1399,1,1,0,0,1,1230,170,0,0,0,0,0,1401,230,126,146,120,94,44,173,139,41,36,54,1,16,179
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Wijkcentrum de Vuurtoren,0321::SB18,3994 KE,2187,1296,5,3,0,1,0,1151,154,0,0,1,0,0,1305,247,133,131,94,60,46,185,114,46,25,42,6,10,157
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau KBS Aventurijn,0321::SB19,3994 MB,1081,827,0,1,0,1,0,732,95,0,1,0,0,0,827,209,67,68,50,45,26,121,55,24,14,10,3,10,125
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau PCBS De Zonnewijzer,0321::SB20,3991 MV,2356,1338,1,3,0,1,0,1182,161,0,0,1,0,0,1343,239,110,150,101,71,40,182,150,44,36,34,8,17,156
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Wijkcentrum Schoneveld,0321::SB21,3991 MX,2603,1520,3,1,0,1,0,1332,191,0,1,0,0,0,1523,288,145,141,120,84,53,244,125,65,29,46,4,16,160
,Houten,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau OBS De Plantage,0321::SB22,3991 ZE,2233,1319,2,2,0,2,2,1142,181,0,0,2,0,0,1325,318,152,120,84,52,32,164,88,47,32,28,4,7,191
