contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),FNP,PVV (Partij voor de Vrijheid),ChristenUnie,Democraten 66 (D66),GROENLINKS,Partij voor de Dieren,50PLUS,Provinciaal Belang Fryslân,Natuurlijk Fryslân,DENK,Staatkundig Gereformeerde Partij (SGP),Forum voor Democratie
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Gemeentehuis,0074::SB1,8441 ES,1084,965,7,6,0,1,1,905,71,0,1,0,0,0,977,82,164,103,63,77,41,36,60,106,48,28,20,6,1,5,125
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Zorgcentrum Mariënbosch,0074::SB2,8441 BN,1350,664,1,1,0,0,0,624,42,0,0,0,0,0,666,110,128,60,36,42,37,30,34,47,23,19,12,5,1,3,77
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Obs van Maasdijkschool,0074::SB3,8441 CP,1297,775,3,1,0,1,0,724,56,0,0,1,0,0,780,78,136,105,53,51,38,31,35,71,24,23,14,9,4,6,97
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Gymnastieklokaal OBS De Optimist,0074::SB4,8447 BS,1245,705,6,5,0,8,1,655,52,0,8,0,0,0,708,69,129,78,43,51,26,37,36,74,25,23,17,6,3,7,81
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Gymnastieklokaal OBS De Optimist,0074::SB5,8447 BS,1281,711,5,4,0,0,0,673,47,0,0,0,0,0,720,72,134,83,41,35,44,47,35,75,24,18,13,8,1,5,76
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wijkcentrum de As,0074::SB6,8446 SC,973,606,2,1,0,0,0,571,38,0,0,0,0,0,609,53,109,50,41,29,47,38,32,56,29,13,13,3,13,3,77
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wijkcentrum de As,0074::SB7,8446 SC,1230,592,4,2,0,0,0,551,47,0,0,0,0,0,598,55,112,36,53,35,31,40,34,49,25,19,11,7,9,4,72
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau De Rinkelbom,0074::SB8,8446 KS,1081,492,2,3,0,2,0,460,35,0,2,0,0,0,495,63,105,23,23,28,18,45,28,51,13,15,18,4,8,0,50
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau De Rinkelbom,0074::SB9,8446 KS,1002,526,4,0,0,0,0,493,37,0,0,0,0,0,530,69,88,37,30,27,27,37,29,62,22,8,18,7,2,4,59
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Coornhertstate,0074::SB10,8446 KE,1175,764,3,4,1,0,0,716,56,0,0,1,0,0,772,84,151,50,53,39,51,45,49,70,36,24,8,6,6,4,88
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Kantine HHC Quick Stick,0074::SB11,8445 PZ,1337,978,2,1,0,2,1,886,96,0,0,2,0,0,983,124,154,280,18,33,16,59,67,67,29,25,9,3,0,2,92
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau MFA De Akkers,0074::SB12,8443 AJ,1215,735,0,2,0,0,0,682,55,0,0,0,0,0,737,87,149,78,33,50,38,50,44,53,20,21,12,4,7,6,83
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Zorgcentrum Heremastate,0074::SB13,8444 AN,1272,640,4,2,0,1,0,591,56,0,0,1,0,0,647,81,83,58,42,49,57,27,21,54,25,13,20,10,0,1,99
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Serviceflat Oranjewoud,0074::SB14,8443 EL,1074,581,3,4,0,0,0,554,34,0,0,0,0,0,588,79,110,73,34,39,27,36,20,50,23,23,11,6,1,3,46
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wijkcentrum De Kempenaer,0074::SB15,8442 EM,1098,622,3,3,0,1,0,585,43,0,1,0,0,0,628,49,96,65,63,30,45,37,28,72,14,12,11,4,9,1,86
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Tellepark,0074::SB16,8442 EZ,1135,565,2,3,0,1,0,524,45,0,1,0,0,0,569,64,108,44,49,36,30,24,24,43,13,19,15,5,17,1,73
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Sint Jozefschool,0074::SB17,8442 AT,1059,469,4,4,0,0,0,449,28,0,0,0,0,0,477,48,99,30,41,14,36,13,15,43,25,13,18,8,5,1,60
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau de Heerenveense school,0074::SB18,8442 CE,1215,569,3,6,0,0,0,557,36,0,0,15,0,0,593,55,110,58,38,32,39,20,29,60,20,19,11,6,4,2,66
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Kantine VV Heerenveen,0074::SB19,8448 MT,1355,1027,1,2,0,0,0,953,77,0,0,0,0,0,1030,103,145,258,33,62,15,60,83,77,32,20,11,8,4,3,113
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau De Spil,0074::SB20,8448 RP,782,592,2,1,0,0,0,536,59,0,0,0,0,0,595,55,97,92,25,25,21,34,64,59,17,6,9,5,11,2,70
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau it Trefpunt,0074::SB21,8454 KG,1034,677,4,3,0,0,0,630,54,0,0,0,0,0,684,113,81,109,18,40,27,32,53,59,21,24,7,5,1,2,85
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis de Kiekenhof,0074::SB22,8414 LJ,1203,723,1,0,0,0,0,693,31,0,0,0,0,0,724,91,165,56,28,53,41,41,35,55,32,18,9,6,0,1,92
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis de Kiekenhof,0074::SB23,8414 LJ,847,560,0,3,0,0,0,525,38,0,0,0,0,0,563,90,117,43,27,41,19,30,39,42,16,15,7,8,0,3,63
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Pannenkoekboerderij De Koppenjan,0074::SB24,8411 ZD,861,459,0,2,0,0,1,410,51,1,0,1,0,0,462,67,70,30,47,30,27,12,18,24,19,8,24,4,0,4,75
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis it Pipegaeltsje,0074::SB25,8411 ZE,643,370,0,1,1,0,0,320,52,0,0,1,0,0,372,76,45,44,33,17,24,12,12,25,21,4,6,2,0,0,49
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau De Kompenije,0074::SB26,8411 VK,952,461,0,1,0,0,0,418,44,0,0,0,0,0,462,31,81,31,65,39,43,6,16,36,13,13,17,6,0,2,62
,Heerenveen,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau De Kompenije,0074::SB27,8411 VK,832,384,0,0,0,0,0,350,33,0,1,0,1,0,383,21,47,24,70,24,51,9,9,20,19,8,16,5,0,2,59
