contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),ChristenUnie,50PLUS,GROENLINKS,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),JEZUS LEEFT,DENK,Respect!,Forum voor Democratie,OPA
,Lelystad,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Woonzorgcentrum De Hoven,0995::SB1,8233 BK,1103,479,3,3,0,0,0,423,62,0,0,0,0,0,485,53,54,67,27,12,39,46,30,22,23,15,1,0,3,66,21
,Lelystad,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Woonzorgcentrum De Uiterton,0995::SB2,8224 MA,1848,888,5,5,0,0,0,806,92,0,0,0,0,0,898,111,114,80,60,33,74,42,66,50,30,10,0,33,3,168,14
,Lelystad,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau School Laetare,0995::SB3,8223 ZR,1509,626,0,5,0,0,0,549,82,0,0,0,0,0,631,68,82,28,49,38,58,23,17,63,21,5,0,64,7,91,12
,Lelystad,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Wijkcentrum Zuiderzee,0995::SB4,8223 CL,1304,562,3,0,0,0,0,517,47,0,0,0,0,0,564,39,91,24,52,24,62,34,38,32,22,6,1,27,3,94,13
,Lelystad,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Atolplaza,0995::SB5,8224 CM,1571,728,3,4,0,1,0,639,97,0,0,1,0,0,736,38,65,29,41,31,62,20,30,66,18,9,4,233,4,64,14
,Lelystad,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Kerkcentrum Ontmoetingskerk,0995::SB6,8224 CM,1415,631,7,4,0,0,0,573,68,0,0,0,0,0,641,37,71,53,51,22,71,34,41,50,23,15,0,42,5,104,12
,Lelystad,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau School De Wingerd,0995::SB7,8212 CA,1634,1046,1,2,0,1,0,944,107,1,0,2,0,0,1051,184,71,99,41,63,110,118,39,101,42,10,0,1,7,153,7
,Lelystad,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau School Arcus,0995::SB8,8224 KR,1199,500,0,1,0,2,0,445,56,0,0,2,0,0,501,62,29,27,30,24,74,45,23,50,23,0,2,6,2,98,5
,Lelystad,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Buurtvereniging Het Palet,0995::SB9,8212 CA,1692,1118,0,8,0,0,0,1037,89,0,0,0,0,0,1126,154,123,43,75,56,139,85,56,108,43,8,2,1,6,198,21
,Lelystad,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Verpleeg- en behandelcentrum Laarstaete,0995::SB10,8225 CB,1463,486,1,0,0,0,0,437,50,0,0,0,0,0,487,30,72,24,60,14,45,37,31,31,29,8,2,13,5,74,11
,Lelystad,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau School De Driemaster,0995::SB11,8225 AG,1642,756,1,8,0,0,0,689,76,0,0,0,0,0,765,68,102,35,67,23,104,48,50,74,34,6,1,16,4,117,7
,Lelystad,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Sporthal de Horst,0995::SB12,8225 MV,1449,646,0,1,0,0,0,593,54,0,0,0,0,0,647,76,66,34,38,26,64,45,36,63,40,3,1,5,2,132,15
,Lelystad,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Buurtcentrum De Brink,0995::SB13,8225 SX,1358,897,4,3,0,2,1,823,80,0,0,2,0,0,904,78,134,23,89,38,92,44,56,56,32,3,0,21,11,201,19
,Lelystad,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau School De Poolster,0995::SB14,8226 BA,1631,405,0,2,0,1,0,381,26,0,0,1,0,0,407,21,90,15,30,12,36,18,17,32,19,1,1,27,5,77,4
