contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),VVD,ChristenUnie,PVV (Partij voor de Vrijheid),Groninger Belang,GROENLINKS,Partij voor de Dieren,Partij voor het Noorden,Forum voor Democratie,50PLUS,DENK
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gemeentehuis Hoogezand,1952::SB1,9603 AE,2819,1638,12,2,0,2,0,1502,152,0,0,2,0,0,1654,122,199,116,97,201,117,76,195,120,40,72,198,58,27
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Reensche Compagnie,1952::SB2,9602 PJ,2651,1046,6,1,0,1,1,967,86,0,0,1,0,0,1054,113,179,31,24,53,72,117,107,72,23,37,108,40,70
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Woonzorgcentrum Voor Anker,1952::SB3,9601 EM,2302,1155,3,9,0,3,1,1070,99,0,0,3,0,0,1170,125,151,59,62,106,81,95,149,65,33,35,152,33,9
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Wijkcentrum Spokie,1952::SB4,9602 AE,2505,1025,1,6,0,2,0,928,102,0,2,0,0,0,1030,111,133,37,23,44,46,123,112,72,21,48,149,38,68
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis Westerbroek,1952::SB5,9608 PK,724,450,0,0,0,0,0,413,37,0,0,0,0,0,450,38,66,23,23,39,27,24,41,51,23,28,58,8,1
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Multi Functioneel Centrum Foxhol,1952::SB6,9607 RJ,888,408,0,0,0,0,0,363,45,0,0,0,0,0,408,50,42,13,10,13,34,45,48,20,7,25,72,25,4
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis Kropswolde,1952::SB7,9606 PH,1362,918,1,2,0,0,0,832,89,0,0,0,0,0,921,32,69,52,66,213,53,48,78,89,27,34,132,24,1
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Voormalige J. Albrondaschool,1952::SB8,9605 PL,720,420,2,1,0,0,0,383,40,0,0,0,0,0,423,43,35,22,30,39,16,23,47,60,18,35,34,18,0
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Wijkcentrum De Kern,1952::SB9,9601 XD,2020,750,6,3,0,0,1,718,40,0,0,0,0,0,759,109,102,31,32,45,48,87,75,52,25,21,80,41,2
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Wijkcentrum 't Spinneweb,1952::SB10,9611 EE,1650,749,1,5,0,0,0,693,62,0,0,0,0,0,755,132,81,33,27,36,59,102,66,39,25,28,81,36,4
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Woonzorgcentrum Sint Jozef,1952::SB11,9611 AN,1885,1271,2,1,0,1,0,1182,93,0,0,1,0,0,1275,139,185,81,66,85,103,90,126,95,41,66,156,30,8
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Woonzorgcentrum De Burcht,1952::SB12,9602 VT,1717,764,1,6,0,0,0,673,98,0,0,0,0,0,771,101,107,35,23,50,63,70,83,53,22,29,77,19,32
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Wijkcentrum Woldwijck,1952::SB13,9602 KD,2690,1229,2,4,0,1,0,1124,110,0,1,0,0,0,1234,188,139,46,35,74,84,116,119,72,36,51,162,65,42
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Theo Thijssenschool,1952::SB14,9611 HZ,1154,469,0,0,0,0,0,436,33,0,0,0,0,0,469,84,47,26,14,17,38,36,56,47,13,22,57,8,4
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau BWRI,1952::SB15,9611 TH,1927,625,3,0,0,0,0,570,58,0,0,0,0,0,628,63,73,38,32,78,47,33,61,45,15,35,80,21,4
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gemeentehuis Slochteren,1952::SB16,9621 AL,1544,966,2,1,0,0,0,876,94,0,0,1,0,0,970,74,99,51,41,76,261,42,73,75,18,61,77,18,0
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Meent,1952::SB17,9626 AX,1366,771,0,2,0,0,0,702,71,0,0,0,0,0,773,42,59,71,22,71,202,44,68,45,9,32,89,17,0
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau 't Ufkenshuis,1952::SB18,9628 CW,1574,894,8,1,0,0,0,808,95,0,0,0,0,0,903,70,86,126,16,86,91,52,84,49,36,78,101,19,0
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Plaaisterploats,1952::SB19,9939 PC,394,196,2,0,0,0,0,169,29,0,0,0,0,0,198,16,22,11,6,24,16,12,17,16,16,19,16,5,0
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis De Pompel,1952::SB20,9625 PJ,477,304,2,0,0,0,0,268,38,0,0,0,0,0,306,45,20,34,15,26,25,16,29,31,15,14,30,4,0
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Borgstee,1952::SB21,9617 BN,709,755,2,2,0,1,0,675,83,0,1,0,0,0,758,51,119,46,43,90,60,28,107,93,17,38,46,17,0
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis Mainschoar,1952::SB22,9615 AB,1090,634,2,4,0,0,0,582,58,0,0,0,0,0,640,68,62,27,23,59,50,60,82,39,19,48,80,17,0
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Ruitenvelder,1952::SB23,9619 PL,875,482,1,0,0,0,0,434,49,0,0,0,0,0,483,27,66,25,26,20,42,49,73,37,8,38,57,14,0
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Tijdelijke voorziening Rehoboth,1952::SB24,9628 CG,1383,707,1,0,0,2,0,629,77,0,2,0,0,0,706,52,80,90,16,54,68,58,95,41,15,35,85,18,0
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau 't Hof van Scharmer,1952::SB25,9616 TE,1382,474,2,0,0,0,0,429,47,0,0,0,0,0,476,30,56,25,27,67,40,24,55,46,15,25,51,13,0
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Graankorrel,1952::SB26,9617 AB,808,500,3,0,0,0,0,464,39,0,0,0,0,0,503,52,53,30,25,47,59,18,56,59,14,34,44,9,0
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gemeentehuis Muntendam,1952::SB27,9649 GR,2164,1210,10,5,0,13,0,1124,114,0,0,13,0,0,1238,132,135,38,25,64,74,163,153,63,34,51,239,37,2
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Burg. Verkruisenschool,1952::SB28,9649 BL,1801,690,0,3,0,0,0,626,67,0,0,0,0,0,693,71,97,20,12,43,27,83,98,40,24,31,124,19,1
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gockingaheem,1952::SB29,9635 CL,1546,765,7,0,0,0,0,703,69,0,0,0,0,0,772,90,83,47,22,65,40,56,107,64,33,34,98,26,0
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gebouw Muziekvereniging,1952::SB30,9636 CL,1718,820,2,3,0,1,0,754,72,0,0,1,0,0,826,70,74,51,47,91,38,56,113,69,17,46,117,31,0
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Broeckhof,1952::SB31,9636 BS,1181,787,0,3,0,1,0,721,68,0,1,0,0,0,789,78,90,55,19,56,67,82,89,46,24,49,105,27,0
,Midden-Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis Meeden,1952::SB32,9651 BW,1367,785,0,2,0,2,0,720,69,0,0,2,0,0,789,67,84,47,26,52,29,59,193,31,26,50,100,18,3
