contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),ChristenUnie,50PLUS,GROENLINKS,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),JEZUS LEEFT,DENK,Respect!,Forum voor Democratie,OPA
,Zeewolde,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Gemeentehuis,0050::SB1,3891ER,1371,1238,7,4,0,0,0,1136,113,0,0,0,0,0,1249,243,71,133,37,59,57,131,86,117,43,11,2,1,5,232,10
,Zeewolde,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau 't Wold,0050::SB2,3891CB,1324,826,1,3,0,0,0,763,67,0,0,0,0,0,830,113,73,88,38,36,62,63,43,68,30,20,0,7,5,172,8
,Zeewolde,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau De Richtingwijzer,0050::SB3,3892AL,1471,1013,3,4,0,1,0,917,104,0,0,1,0,0,1021,159,36,130,43,62,62,162,31,108,24,12,1,3,4,173,3
,Zeewolde,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau In de Lichtkring,0050::SB4,3891DK,1300,769,1,2,0,0,1,692,79,0,0,0,0,0,772,78,48,77,35,37,37,162,36,53,35,17,1,0,5,143,5
,Zeewolde,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau VV Zeewolde,0050::SB5,3893 AA,1284,525,2,1,0,1,0,455,74,0,0,1,0,0,529,109,20,94,7,20,15,52,27,44,17,25,1,3,0,87,4
,Zeewolde,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau De Verbeelding,0050::SB6,3892 HZ,1588,1057,2,5,0,0,2,976,86,0,0,0,0,0,1064,190,48,104,47,63,51,92,64,117,53,14,4,0,7,200,3
,Zeewolde,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau 't Kofschip,0050::SB7,3893 BE,2051,1007,4,1,0,0,0,912,100,0,0,0,0,0,1012,198,55,95,40,54,59,134,36,95,28,18,2,5,6,175,7
,Zeewolde,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau De Toermalijn,0050::SB8,3893 EB,2110,1493,2,3,2,0,0,1336,160,0,2,0,0,0,1496,268,74,175,52,90,95,202,48,115,36,20,8,1,5,298,6
,Zeewolde,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Het Kruispunt,0050::SB9,3894 BA,1977,949,2,0,2,0,0,791,158,0,2,0,0,0,949,212,48,166,18,26,26,101,21,60,26,59,3,2,1,177,3
,Zeewolde,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Panta Rhei,0050::SB10,3894 BA,1544,860,1,1,0,1,0,765,98,0,0,1,0,0,863,180,59,92,30,49,41,84,32,79,39,7,1,5,4,155,3
