contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,50PLUS,Partij voor de Dieren,Forum voor Democratie,DENK
,Haaksbergen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Gemeentehuis,0158::SB1,7481 EB,1757,1191,2,4,0,0,0,1083,114,0,0,0,0,0,1197,224,183,82,126,69,81,10,5,99,72,28,180,32
,Haaksbergen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau 't Saalmerink,0158::SB2,7481 EN,1557,774,2,1,0,0,0,702,75,0,0,0,0,0,777,209,136,37,73,39,59,13,3,31,52,12,102,8
,Haaksbergen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,"Stembureau De Trefkoel,Buurse",0158::SB3,7481 RP,1219,802,0,4,0,0,0,714,92,0,0,0,0,0,806,199,146,37,60,36,57,17,3,34,34,23,156,0
,Haaksbergen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,"Stembureau 't Meuken,Isidorushoeve",0158::SB4,7482 ST,1242,795,4,1,0,0,0,700,100,0,0,0,0,0,800,378,109,17,22,30,32,5,6,15,16,8,157,0
,Haaksbergen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Basisschool Holthuizen bureau 5,0158::SB5,7482 ET,1238,769,6,1,0,0,0,713,63,0,0,0,0,0,776,159,137,46,63,40,51,20,3,70,49,13,118,0
,Haaksbergen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Wiedenhof,0158::SB6,7481 CB,1186,680,2,0,0,0,1,625,56,0,0,0,0,0,682,176,108,46,70,36,47,13,2,36,35,18,93,0
,Haaksbergen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Honeschschool,0158::SB7,7481 VB,1011,590,0,1,0,0,0,531,60,0,0,0,0,0,591,171,99,25,31,27,56,7,0,18,26,19,111,0
,Haaksbergen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Basisschool Holthuizen bureau 8,0158::SB8,7482 ET,1393,741,1,2,0,0,0,687,57,0,0,0,0,0,744,135,86,56,89,48,60,21,3,69,44,16,102,12
,Haaksbergen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Montessorischool,0158::SB9,7481 BC,1519,876,3,3,0,0,0,807,75,0,0,0,0,0,882,221,148,47,74,62,59,13,5,50,55,20,118,4
,Haaksbergen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Lourdeszaal,0158::SB10,7481 HB,1468,767,8,5,0,0,0,705,75,0,0,0,0,0,780,175,76,67,76,58,69,7,4,31,37,17,141,9
,Haaksbergen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Basisschool de Kameleon,0158::SB11,7482 TT,1220,754,3,0,0,0,0,698,59,0,0,0,0,0,757,168,115,38,90,57,57,21,5,32,29,23,113,6
,Haaksbergen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Basisschool Dr. Ariens,0158::SB12,7482 ZK,1443,771,12,3,0,0,0,714,72,0,0,0,0,0,786,155,88,53,83,47,89,16,5,54,41,14,90,36
,Haaksbergen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Sporthal de Els,0158::SB13,7482 VX,1258,791,3,4,0,0,0,735,63,0,0,0,0,0,798,138,113,57,78,54,65,16,4,58,31,16,133,28
,Haaksbergen,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Basisschool Los Hoes,0158::SB14,7483 CT,1687,979,1,0,0,0,3,868,109,0,0,0,0,0,980,169,250,45,114,73,38,11,2,71,31,22,142,11
