contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),GROENLINKS,ChristenUnie,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),50PLUS,DENK,U26 GEMEENTEN,Forum voor Democratie
,Stichtse Vecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Gemeentekantoor,1904::SB1,3601 GR,1141,917,4,1,0,1,6,807,108,0,1,0,0,0,921,219,113,83,85,43,18,129,38,33,5,19,5,4,123
,Stichtse Vecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Vondel,1904::SB2,3601 EX,1408,659,4,2,0,0,0,626,39,0,0,0,0,0,665,80,26,83,68,74,43,52,28,24,8,52,6,6,109
,Stichtse Vecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Basisschool De Klaroen,1904::SB3,3601 TJ,1687,911,1,2,0,0,0,819,95,0,0,0,0,0,914,120,63,90,66,83,55,109,52,39,11,64,12,9,138
,Stichtse Vecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau KBS De Pionier,1904::SB4,3601 BM,1638,998,1,0,0,0,0,870,129,0,0,0,0,0,999,233,100,127,75,48,30,127,39,36,10,34,1,4,134
,Stichtse Vecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Basisschool 't Palet (Buitenweg),1904::SB5,3602 ZK,999,788,1,3,0,0,0,710,82,0,0,0,0,0,792,173,88,74,86,39,12,154,20,28,5,21,0,4,84
,Stichtse Vecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Restaurant Belle,1904::SB6,3611 AE,1324,858,2,0,0,1,0,744,117,0,0,1,0,0,861,269,108,66,59,11,14,142,33,46,0,11,0,5,94
,Stichtse Vecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Dorpshuis De Veenkluit,1904::SB7,3612 BH,1439,857,4,1,0,0,0,753,109,0,0,0,0,0,862,144,63,116,50,49,42,134,30,57,21,19,2,2,128
,Stichtse Vecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Basisschool Het Kompas,1904::SB8,3603 AZ,1404,906,4,7,0,0,0,801,116,0,0,0,0,0,917,216,100,124,64,33,35,109,42,37,5,21,1,5,114
,Stichtse Vecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau WereldKidz Palet,1904::SB9,3603 CN,1661,1041,1,2,0,0,3,915,126,0,0,0,0,0,1044,291,138,109,75,36,18,173,40,42,2,31,0,3,83
,Stichtse Vecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau KBS De Wilde Wingerd,1904::SB10,3608 TK,1312,750,1,0,0,0,0,692,59,0,0,0,0,0,751,69,42,37,60,100,65,84,32,27,4,45,18,9,158
