contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),FNP,PVV (Partij voor de Vrijheid),ChristenUnie,Democraten 66 (D66),GROENLINKS,Partij voor de Dieren,50PLUS,Provinciaal Belang Fryslân,Natuurlijk Fryslân,DENK,Staatkundig Gereformeerde Partij (SGP),Forum voor Democratie
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Het gemeentehuis (Trouwzaal),0090::SB1,9203 RM,1186,1212,3,2,0,1,0,1119,97,0,1,0,0,0,1216,197,173,157,61,57,47,90,73,106,33,40,40,4,5,14,115
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wijkcentrum De Utwyk,0090::SB2,9201 XE,1844,1112,4,8,0,0,0,1053,71,0,0,0,0,0,1124,129,143,50,92,68,75,158,34,64,30,29,40,5,4,19,172
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau SBO school It Heechhôf,0090::SB3,9201 XZ,1649,743,1,1,0,0,0,698,47,0,0,0,0,0,745,68,79,21,79,32,101,98,21,35,30,19,13,8,9,14,116
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau PCBO Het Anker,0090::SB4,9207 CZ,992,664,0,0,0,0,0,600,65,0,0,1,0,0,665,82,82,49,36,31,40,99,26,49,28,18,16,3,0,10,95
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Kantine vv ONB,0090::SB5,9201 KK,1196,929,2,1,0,0,0,852,81,0,0,1,0,1,933,181,120,116,44,44,26,132,37,73,10,14,26,7,0,10,89
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wijkcentrum De Kouwe,0090::SB6,9201 TE,2012,796,2,5,0,2,0,744,61,0,0,2,0,0,805,65,94,25,83,61,107,73,9,48,22,29,20,6,1,8,145
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Chr.Ger. Kerk,0090::SB7,9203 AN,1836,884,7,5,0,0,1,817,79,0,0,1,0,0,897,117,102,43,75,40,75,118,22,76,22,25,26,2,2,12,127
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Basisschool Eben Haëzer,0090::SB8,9202 AN,1284,583,2,7,0,0,0,551,41,0,0,0,0,0,592,57,70,19,43,30,65,83,10,43,18,17,18,5,2,27,76
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wijk- en Zorgcentrum De Wiken,0090::SB9,9202 CA,1747,912,7,6,0,3,0,849,73,0,3,0,0,0,922,94,118,36,108,41,109,105,38,54,30,25,23,9,8,11,103
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Sportcentrum Drachten,0090::SB10,9202 LC,1753,950,1,1,0,0,0,880,72,0,0,0,0,0,952,121,113,52,63,41,64,165,30,59,28,27,36,6,0,19,126
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau OSG Singellland - ISK,0090::SB11,9202 LM,1707,897,4,4,0,0,0,853,53,0,0,0,0,0,906,102,118,41,63,46,107,93,18,66,20,25,32,5,6,18,137
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Verzorgingscentrum Rispinge,0090::SB12,9203 ZG,1910,987,6,6,0,0,0,918,81,0,0,0,0,0,999,135,165,38,78,45,96,116,22,53,21,41,23,10,0,19,125
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Verzorgingscentrum De Warrenhove,0090::SB13,9203 HT,1385,764,4,3,0,0,0,708,63,0,0,0,0,0,771,148,109,66,43,34,46,88,28,50,16,14,22,4,0,33,63
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Buurthuis De Skûle,0090::SB14,9203 ND,1613,1119,2,1,0,0,0,1039,83,0,0,0,0,0,1122,176,159,140,47,55,45,135,69,85,43,22,35,4,0,17,87
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau MOS - Brede School De Drait (A),0090::SB15,9204 JT,1173,734,3,3,0,0,0,687,55,0,0,2,0,2,742,87,141,73,35,26,33,79,40,61,29,13,26,6,0,7,78
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau MOS - Brede School De Drait (B),0090::SB16,9204 JT,914,1015,5,3,0,0,0,940,83,0,0,0,0,0,1023,122,146,90,56,29,46,138,76,105,28,31,37,9,1,2,99
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Tienersoos Place 2 B (Dr.vaart),0090::SB17,9204 LM,1734,982,3,1,0,0,0,883,99,0,4,0,0,0,982,106,119,230,31,36,33,83,78,74,20,16,40,3,0,12,101
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wijkcentrum De Skammel,0090::SB18,9205 DE,1648,911,4,3,0,0,0,853,65,0,0,0,0,0,918,62,132,62,78,36,69,103,39,84,30,20,39,9,1,15,132
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Basisschool 't Tweespan,0090::SB19,9205 BN,1952,1075,1,1,0,0,0,971,106,0,0,0,0,0,1077,102,157,113,54,37,45,140,86,127,27,40,34,7,0,9,97
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis 't Bynt Boornbergum,0090::SB20,9212 PK,1432,919,1,2,0,0,0,858,64,0,0,0,0,0,922,130,120,73,45,79,40,139,44,71,26,19,24,4,2,25,78
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Lokaliteit De Nije Kompe Dr.comp.,0090::SB21,9222 NA,928,594,0,0,0,0,0,537,57,0,0,0,0,0,594,101,76,27,35,46,54,63,14,29,15,13,7,11,1,18,84
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis De Huchte Houtigehage,0090::SB22,9223 LB,722,412,1,2,0,0,0,368,44,1,3,0,2,0,412,27,60,12,35,39,71,16,9,20,8,10,10,3,1,5,86
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis Op 'e Jister Nijega,0090::SB23,9217 RL,367,268,0,1,0,0,0,246,23,0,0,0,0,0,269,84,20,24,14,29,12,24,5,5,2,3,2,3,0,8,33
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis De Wringe Opeinde,0090::SB24,9218 PP,1337,876,1,1,0,0,1,796,82,0,0,1,0,0,879,179,92,64,40,44,55,117,20,46,18,29,21,2,0,23,126
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau MFC Oudega,0090::SB25,9216 WE,1315,868,0,0,0,0,0,761,107,0,0,0,0,0,868,245,61,71,41,112,38,78,28,34,19,28,14,7,0,8,84
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis It Werflân,0090::SB26,9221 TD,1082,706,2,0,0,0,1,656,51,0,0,0,0,0,708,132,116,60,50,89,42,60,26,31,27,6,10,5,0,4,48
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Galerie Buitengewoon De Wilgen,0090::SB27,9213 VG,596,434,1,1,0,0,0,402,34,0,0,0,0,0,436,67,50,96,7,26,6,38,30,26,18,13,15,6,0,8,28
,Smallingerland,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau De Naturij,0090::SB28,9204 WS,1339,653,0,0,0,0,0,600,53,0,0,0,0,0,653,56,101,71,34,29,18,103,42,59,29,7,21,5,0,11,67
