contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,GROENLINKS,Partij voor de Dieren,50PLUS/PARTIJ VAN DE OUDEREN,Ouderenpartij Noord-Holland,NIDA,Code Oranje,Forum voor Democratie,DENK,ChristenUnie
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stadhuis Naarden,1942::SB1,1411EA	,1297,936,1,0,0,0,0,842,95,0,0,0,0,0,937,285,125,68,23,10,102,120,52,19,5,0,5,100,1,21
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau De Tweemaster,1942::SB2,1411BN	,1481,967,10,1,0,4,0,865,117,0,0,4,0,0,982,214,83,87,46,23,120,84,33,19,1,4,12,194,11,36
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau De Schakel,1942::SB3,1411VE	,1567,877,2,5,0,0,0,813,71,0,0,0,0,0,884,81,67,86,85,52,103,86,46,56,8,2,19,144,14,28
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Naarderheem,1942::SB4,1411HB	,1493,1105,0,0,0,0,0,979,126,0,0,0,0,0,1105,400,133,50,27,11,144,110,32,18,6,4,7,116,3,44
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Godelindeschool,1942::SB5,1412HD	,1702,1278,0,0,0,0,0,1088,190,0,0,0,0,0,1278,618,210,48,17,8,132,92,29,11,3,1,4,76,0,29
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Wooncentrum Ravelijn,1942::SB6,1412AX	,972,743,2,0,0,0,0,662,83,0,0,0,0,0,745,233,131,70,18,15,51,66,38,24,4,1,3,62,0,27
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Smallsteps Ridderzaal,1942::SB7,1412CN	,1424,988,0,0,0,0,4,876,108,0,0,0,0,0,988,258,169,105,27,18,71,136,59,19,2,1,18,77,2,26
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau De Bonnet,1942::SB8,1411CN	,1508,731,1,2,0,0,0,665,69,0,0,0,0,0,734,158,72,62,25,20,97,70,36,24,9,0,9,109,6,34
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Comeniusschool,1942::SB9,1412HD	,1323,843,0,0,0,0,1,779,63,0,0,0,0,0,843,187,92,108,43,20,82,98,44,23,4,1,9,92,0,40
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Gemeentehuis GM,1942::SB10,1404EP	,1732,1448,2,6,0,0,4,1312,140,0,0,0,0,0,1456,308,177,129,38,39,73,259,114,55,6,3,13,179,3,52
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Vrije Evangelische Gemeente,1942::SB11,1401GC	,1629,1096,1,2,2,0,1,949,151,0,0,2,0,0,1101,376,199,60,16,20,78,141,54,8,5,3,10,84,0,42
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Zorgcentrum Huize Godelinde,1942::SB12,1401CM	,1504,951,7,2,0,0,0,859,103,2,0,2,0,0,962,287,140,69,37,22,83,109,35,35,12,0,4,84,3,31
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau De Hoeksteen,1942::SB13,1402EK	,1487,1321,1,0,0,0,0,1182,140,0,0,0,0,0,1322,382,260,85,18,21,84,203,51,29,2,0,15,130,1,40
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Café De Viersprong,1942::SB14,1402AG	,1542,1006,5,2,0,4,0,918,99,0,0,4,0,0,1017,165,138,64,59,42,37,184,81,34,7,1,19,135,6,34
