contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,50PLUS,Partij voor de Dieren,Forum voor Democratie,DENK
,Zwolle,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stembureau Stadhuis,0193::SB1,8011 PK,1715,1361,4,1,0,0,1,1271,94,0,0,0,0,0,1366,86,287,68,123,180,27,103,7,265,12,92,107,4
,Zwolle,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stembureau Kantine tennisvereniging ZLTB,0193::SB2,8019 AN ,1883,1176,4,1,0,2,2,1080,97,0,2,0,0,0,1179,107,256,35,84,131,31,148,13,197,26,48,95,5
,Zwolle,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stembureau Woonzorgcentrum De Nieuwe Haven,0193::SB3,8011 AS,1861,703,1,1,0,0,1,649,55,0,0,0,0,0,705,51,81,57,58,65,53,56,7,128,19,54,69,5
,Zwolle,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stembureau Stadkamer Centrum,0193::SB4,8011 CV,1589,1028,0,0,0,0,0,947,79,0,2,0,2,0,1026,49,152,38,97,130,20,115,13,226,7,94,75,12
,Zwolle,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stembureau Wijkcentrum De Enk,0193::SB5,8012 VA,1710,1319,4,1,0,1,1,1232,92,0,0,1,0,0,1325,53,128,109,127,157,32,150,7,349,12,116,76,3
,Zwolle,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stembureau Het Mozaïek locatie De Mozadance,0193::SB6,8012 DJ,1354,771,2,0,0,2,0,707,64,0,2,0,0,0,771,36,61,42,80,108,33,93,4,192,6,55,47,14
,Zwolle,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stembureau Huis Assendorp (vh Molenhof),0193::SB7,8012 EJ,1246,756,2,1,0,1,1,716,43,0,0,1,0,0,760,41,71,66,100,68,17,73,4,175,19,50,67,5
,Zwolle,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stembureau De Twijn SO,0193::SB8,8013 TV,1705,862,6,3,0,4,0,815,52,0,4,0,0,0,867,51,62,82,107,43,59,89,21,177,25,67,76,3
,Zwolle,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stembureau School De Vlieger 2,0193::SB9,8043 RL,1144,589,0,0,0,0,0,523,65,0,1,0,0,0,588,45,154,23,34,68,23,83,4,79,6,9,56,5
,Zwolle,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stembureau School Aquamarijn,0193::SB10,8021 AG,1613,873,3,3,0,0,2,824,53,0,0,0,0,0,879,70,125,34,87,84,33,123,7,164,23,51,71,1
,Zwolle,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stembureau Historisch Centrum Overijssel,0193::SB11,8021 WX,1530,852,1,1,0,1,1,799,55,0,0,1,0,0,852,53,72,62,94,62,58,83,9,167,16,56,86,34
,Zwolle,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stembureau Woonzorgcentrum De Esdoorn,0193::SB12,8021 WB,1627,728,4,2,0,0,1,672,61,0,0,0,0,0,734,43,66,57,80,48,52,82,4,101,14,37,80,64
,Zwolle,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stembureau Kerk De Fontein,0193::SB13,8043 NX,1540,1125,1,3,0,2,0,1031,100,0,0,2,0,0,1131,76,150,60,89,75,52,230,25,169,37,35,116,11
,Zwolle,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stembureau Woonzorgcentrum Fermate,0193::SB14,8031 EM,1428,769,5,2,0,0,0,717,59,0,0,0,0,0,776,45,98,60,80,57,56,88,12,100,25,42,64,42
,Zwolle,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stembureau Wijkcentrum Holtenbroek,0193::SB15,8031 HL,1469,1081,2,1,0,0,0,1020,64,0,0,0,0,0,1084,39,78,100,122,71,81,172,8,173,26,56,87,68
,Zwolle,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stembureau Scholengem. van der Capellen,0193::SB16,8031 XM,1545,557,3,5,0,0,0,523,42,0,0,0,0,0,565,19,39,47,67,32,49,67,9,78,22,21,54,53
