contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),VVD,ChristenUnie,PVV (Partij voor de Vrijheid),Groninger Belang,GROENLINKS,Partij voor de Dieren,Partij voor het Noorden,Forum voor Democratie,50PLUS,DENK
,Stadskanaal,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gemeentehuis,0037::SB1,9501 SZ,1253,1090,7,3,0,0,0,990,110,0,0,0,0,0,1100,93,191,134,43,89,100,78,65,59,27,36,126,47,2
,Stadskanaal,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Drouwenerhof,0037::SB2,9503 AV,1364,757,2,6,0,0,0,709,56,0,0,0,0,0,765,91,89,74,25,59,107,47,62,37,9,23,122,11,1
,Stadskanaal,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Rank Oosterkade 5,0037::SB3,9503 HN,1377,574,2,1,0,0,0,505,72,0,0,0,0,0,577,56,47,50,6,21,93,84,55,12,7,15,111,17,0
,Stadskanaal,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,"Stembureau ""Oude Brandweerkazerne""",0037::SB4,9502 ET,1105,532,0,1,0,0,0,488,45,0,0,0,0,0,533,66,69,35,13,32,77,43,53,29,2,19,76,18,0
,Stadskanaal,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Maarsheerd,0037::SB5,9501 AM,1232,861,6,5,0,0,0,807,65,0,0,0,0,0,872,90,115,131,26,59,144,44,59,28,11,34,95,25,0
,Stadskanaal,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Lichtbron,0037::SB6,9501 VJ,1462,651,0,0,0,0,0,610,41,0,0,0,0,0,651,50,71,65,30,46,156,42,45,32,5,18,74,17,0
,Stadskanaal,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Buurtcentrum Maarsstee,0037::SB7,9501 CA,1778,617,3,2,0,0,0,620,2,0,0,0,0,0,622,107,100,41,12,16,71,102,34,24,7,19,61,21,2
,Stadskanaal,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Meester Neuteboomschool,0037::SB8,9502 CR,1328,941,2,6,0,0,0,883,66,0,0,0,0,0,949,126,143,80,36,42,118,92,65,46,21,33,99,39,1
,Stadskanaal,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,"Stembureau Pagedal, Hoveniersweg 1",0037::SB9,9502 BW,1319,585,1,1,0,0,0,526,61,0,0,0,0,0,587,42,74,60,31,60,83,31,42,28,8,28,81,17,0
,Stadskanaal,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau OBS De Oleander,0037::SB10,9501 VX,1372,926,0,2,0,0,0,850,78,0,0,0,0,0,928,74,103,92,52,87,93,71,83,58,15,41,132,25,0
