contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),VVD,ChristenUnie,PVV (Partij voor de Vrijheid),Groninger Belang,GROENLINKS,Partij voor de Dieren,Partij voor het Noorden,Forum voor Democratie,50PLUS,DENK
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Stadhuis Ontvangstruimte,0014::SB1,9712 HN,817,1014,4,3,0,0,0,968,53,0,0,0,0,0,1021,44,100,49,174,155,48,20,27,242,70,17,63,4,1
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Werkman College,0014::SB2,9711 VG,1567,486,0,3,0,0,0,470,19,0,0,0,0,0,489,31,58,23,62,52,14,14,15,133,37,11,33,1,2
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gemeente Groningen,0014::SB3,9713 GW,1393,475,2,0,0,0,0,443,34,0,0,0,0,0,477,29,58,16,57,66,17,18,13,118,35,10,35,1,2
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gemeente Groningen,0014::SB4,9711 HL,761,805,0,2,0,0,0,771,36,0,0,0,0,0,807,41,101,25,139,97,34,13,13,198,72,12,56,2,2
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Sint Michaëlschool,0014::SB6,9712 EW,869,464,2,1,0,0,0,447,20,0,0,0,0,0,467,21,36,15,100,55,23,9,11,122,26,9,30,4,3
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Best Western Hotel Groningen Centre,0014::SB7,9711 EK,1274,627,1,1,0,0,0,589,38,0,2,0,2,0,627,42,72,22,95,109,20,13,18,125,45,12,47,6,1
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Harmoniecomplex (RUG),0014::SB8,9712 EK,974,940,3,3,0,2,0,906,38,0,2,0,0,0,944,21,100,38,217,160,38,3,7,247,53,14,40,2,0
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Remonstrantse Kerk,0014::SB9,9711 BS,1064,518,0,1,0,0,0,479,40,0,0,0,0,0,519,19,55,33,80,91,23,12,14,109,27,10,42,3,0
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Activiteitencentrum De Holm,0014::SB10,9711 JS,1429,703,0,2,0,1,0,671,35,0,0,1,0,0,706,34,76,24,123,102,18,10,13,191,51,21,35,4,1
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Het Heerenhuis,0014::SB11,9712 NR,1208,515,0,0,0,0,0,480,35,0,0,0,0,0,515,16,51,29,83,85,29,6,10,117,43,8,33,3,2
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Muntinggebouw (RUG),0014::SB12,9712 SK,1420,1007,2,2,0,1,1,948,63,0,0,1,0,0,1012,45,115,26,147,72,53,11,17,356,96,14,50,5,0
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau The Student Hotel,0014::SB13,9712 LH,1203,784,2,1,0,0,3,741,44,1,0,1,0,0,788,38,89,27,143,96,30,7,22,207,49,19,50,3,4
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Woonzorgcentrum De Ebbingepoort,0014::SB14,9712 XA,1014,652,0,0,0,0,0,626,26,0,0,0,0,0,652,50,94,24,83,77,28,16,18,154,51,14,36,6,1
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Doopsgezinde Kerk,0014::SB16,9712 GD,951,367,1,0,0,0,0,355,13,0,0,0,0,0,368,15,30,14,72,39,18,3,6,108,34,4,23,1,0
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Leger des Heils,0014::SB20,9713 GL,1383,1062,0,3,0,0,0,1010,55,0,0,0,0,0,1065,78,128,58,122,101,61,21,32,284,63,31,74,8,1
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau BSV FEO,0014::SB21,9713 CL,1456,480,1,0,0,0,0,457,24,0,0,0,0,0,481,29,56,12,75,43,30,10,5,147,24,12,30,6,1
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Oosterparkheem,0014::SB22,9713 VX,1439,685,2,0,0,1,0,646,43,1,0,2,0,0,689,68,103,24,78,39,46,30,20,153,49,20,44,8,3
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Blauwe Boerderij,0014::SB23,9713 NT,1494,401,2,2,0,0,0,390,15,0,0,0,0,0,405,54,48,13,27,18,15,33,17,79,43,9,41,2,2
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau BSV Ons Belang,0014::SB24,9713 LM,1430,421,2,3,0,1,0,398,29,0,0,1,0,0,427,78,46,8,32,24,12,49,12,62,29,10,49,3,7
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Franciscuscentrum,0014::SB25,9713 PV,1574,440,2,0,0,0,0,410,33,0,0,1,0,1,443,77,52,10,28,15,19,33,14,101,35,6,42,4,4
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Siebe Jan Boumaschool,0014::SB26,9713 VA,1311,605,2,2,0,1,0,573,35,0,1,0,0,0,608,76,62,23,58,46,24,34,21,126,57,19,49,4,6
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Rebound Groningen,0014::SB30,9714 CL,1527,676,1,0,0,0,0,644,33,0,0,0,0,0,677,51,78,30,89,50,42,5,15,190,61,19,38,7,1
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Baptistenkerk De Cirkel,0014::SB31,9714 AT,1714,878,3,2,0,1,0,849,33,0,1,0,0,0,882,54,97,40,134,61,33,16,23,276,69,16,46,12,1
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Sint Franciscusschool,0014::SB32,9714 JS,1692,694,4,0,0,0,0,660,38,0,0,0,0,0,698,30,87,21,108,56,54,14,18,197,46,15,42,5,1
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Kleine Wereld,0014::SB40,9715 JB,1341,314,1,0,0,0,0,306,9,0,0,0,0,0,315,26,27,21,32,29,27,8,7,81,19,5,26,3,3
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Het Floreshuis,0014::SB42,9715 HH,1401,1291,3,1,0,5,0,1261,39,0,0,5,0,0,1300,107,134,56,168,109,87,25,31,344,97,20,85,12,16
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gymzaal basisschool Karrepad,0014::SB43,9715 NR,2152,669,1,0,0,0,0,648,22,0,0,0,0,0,670,56,81,25,71,46,43,23,20,174,48,9,62,7,4
,Groningen,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Hamrikheem,0014::SB46,9715 SX,1319,560,2,1,0,0,0,534,29,0,0,0,0,0,563,88,77,16,39,36,26,36,14,92,36,23,56,18,3
