contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Sterk Lokaal,Forum voor Democratie,Partij voor de Dieren,Onafhankelijke Partij Drenthe,DENK,Staatkundig Gereformeerde Partij (SGP),Senioren Belang
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Gemeentehuis Gieten,1680::SB1,9461 BH,1349,1022,4,1,0,0,2,957,69,1,0,1,0,0,1028,233,166,58,48,44,85,22,94,27,91,85,39,16,2,6,6
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Openbare basisschool Gieten,1680::SB2,9461 DA,1416,782,1,1,0,0,2,712,70,0,0,0,0,0,784,150,136,46,43,34,61,21,70,23,86,76,22,11,0,2,1
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Zorgcentrum 'Dekelhem' (Gieten),1680::SB3,9461 JA,1277,814,1,6,0,1,0,762,60,0,0,1,0,0,822,130,159,48,52,38,39,17,63,37,85,95,25,17,1,0,8
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Ontmoetingscentrum Boerhoorn Rolde,1680::SB4,9451 KD,1779,1433,4,2,0,0,0,1298,141,0,0,0,0,0,1439,296,232,86,41,44,108,58,171,35,156,120,65,12,0,3,6
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Zorgcentrum 'Hendrik Kok' (Rolde),1680::SB5,9451 CT,2122,1036,3,2,0,0,0,944,97,0,0,0,0,0,1041,191,195,61,54,28,64,31,120,41,100,98,40,10,0,0,3
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis 'De Eekhof' (Ekehaar),1680::SB6,9454 PL,461,347,0,0,0,0,0,305,42,0,0,0,0,0,347,100,50,29,5,3,20,9,40,3,23,37,19,9,0,0,0
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Het Markehuis (Grolloo),1680::SB7,9444 XE,942,621,1,0,0,0,0,558,64,0,0,0,0,0,622,173,61,35,19,22,34,13,59,13,92,62,21,7,2,6,2
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis Gasselte,1680::SB8,9462 RH,1548,960,1,1,0,0,0,873,89,0,0,0,0,0,962,153,174,51,61,44,51,16,98,28,130,106,35,12,1,0,0
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau MFC De Spil Gasselternijveen,1680::SB9,9514 CA,1470,831,2,2,0,0,0,756,79,0,0,0,0,0,835,67,153,82,62,80,35,28,48,47,67,100,35,16,0,1,10
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis Gasselternijveenschemond,1680::SB10,9515 PE,538,328,1,2,0,0,0,301,30,0,0,0,0,0,331,36,30,25,21,25,10,25,16,8,24,79,15,3,5,4,2
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis Ous Hoes (Gieterveen),1680::SB11,9511 PM,791,494,2,0,0,0,1,444,51,0,0,0,0,0,496,57,61,53,29,39,30,14,34,13,37,86,26,10,0,3,2
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis De Kiep Eexterveenscheka.,1680::SB12,9659 PL,409,188,0,0,0,0,0,172,16,0,0,0,0,0,188,10,21,7,20,23,6,2,15,8,8,50,12,3,0,0,3
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Multifunctioneel centrum De Badde,1680::SB13,9654 PP,309,204,1,0,0,0,0,186,19,0,0,0,0,0,205,20,25,1,21,19,16,7,24,7,24,23,9,5,0,1,2
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Gemschapshuis De Spiker N-Annerveen,1680::SB14,9657 PD,322,220,0,0,0,0,0,199,21,0,0,0,0,0,220,46,33,15,11,8,12,7,22,12,10,20,20,3,0,0,1
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis 't Achterhoes Eexterveen,1680::SB15,9658 PH,463,306,3,0,0,0,0,283,26,0,0,0,0,0,309,76,42,15,12,13,20,14,32,6,26,25,23,1,0,1,0
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis Annen,1680::SB16,9468 BJ,1386,962,5,0,0,0,0,893,74,0,0,0,0,0,967,172,154,46,51,36,83,30,117,24,56,122,32,33,0,2,4
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Verzorgingstehuis 't Holthuys Annen,1680::SB17,9468 HG,1470,828,5,1,0,2,0,779,57,0,0,2,0,0,836,139,155,60,45,38,54,13,105,31,51,64,37,31,0,1,4
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis Schipborg,1680::SB18,9469 PE,505,373,2,1,0,0,1,344,31,0,0,0,0,0,376,71,28,23,11,7,37,35,58,5,12,22,23,37,0,2,2
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Cafe/Restaurant Eext,1680::SB19,9463 PC,1147,669,0,1,0,0,0,626,44,0,0,0,0,0,670,127,104,24,45,33,43,9,68,15,65,62,43,27,0,3,1
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis De Gasterije (Gasteren),1680::SB20,9466 PL,371,258,0,0,0,0,0,236,22,0,0,0,0,0,258,51,30,8,13,5,22,13,42,6,17,27,18,5,0,1,0
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Gemeenschapshuis Oes Stee (Anderen),1680::SB21,9465 TS,217,156,0,0,0,0,0,149,7,0,0,0,0,0,156,37,23,4,11,0,9,6,17,4,19,14,10,2,0,0,0
,Aa en Hunze,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Openbare Basisschool Anloo,1680::SB22,9467 PH,394,250,0,0,0,0,0,236,14,0,0,0,0,0,250,34,39,17,10,4,15,9,35,4,16,23,16,27,0,1,0
