contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),ChristenUnie,Partij voor Zeeland (PVZ),GROENLINKS,50PLUS,DENK,Partij voor de Dieren,Forum voor Democratie
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Rode Kruisgebouw Oostburg,1714::SB1,4501 JD,1714,762,4,0,0,2,0,684,84,0,0,2,0,0,768,131,91,15,40,46,56,28,18,172,31,25,1,18,90
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Kerkcentrum Oostburg,1714::SB2,4501 CH,1884,1080,1,1,0,0,2,944,136,0,0,0,0,0,1082,175,141,15,56,52,122,36,18,205,50,53,2,42,113
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Multifunctioneel gebouw Zuidzande,1714::SB3,4505 AR,415,236,0,0,0,0,0,214,22,0,0,0,0,0,236,50,43,2,11,9,17,7,4,35,9,14,0,9,26
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Verenigingsgebouw Cadzand,1714::SB4,4506 AG,557,321,0,2,1,0,4,294,26,0,0,1,0,0,324,49,82,5,9,13,31,14,6,42,8,7,0,17,38
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis Nieuwvliet,1714::SB5,4504 AK,308,206,0,0,0,0,0,179,27,0,0,0,0,0,206,36,52,2,8,5,10,5,5,25,12,8,2,10,26
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Mfc 't Torentje Groede,1714::SB6,4503 AT,798,463,0,1,0,0,0,413,51,0,0,0,0,0,464,56,69,5,33,26,47,12,11,69,31,9,0,22,73
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Mfc De Korre Breskens,1714::SB7,4511 JB,2034,940,2,0,0,0,0,818,124,0,0,0,0,0,942,106,115,6,41,85,92,29,8,154,37,38,1,24,204
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Hooge Platen Breskens,1714::SB8,4511 XX,1667,963,2,3,0,3,0,852,113,0,3,0,0,0,965,112,133,7,50,92,105,14,12,205,43,32,1,24,133
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis Hoofdplaat,1714::SB9,4513 AR,575,316,0,0,0,0,0,273,43,0,0,0,0,0,316,41,43,4,18,37,16,2,4,58,13,12,0,11,57
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Emmaus IJzendijke,1714::SB10,4515 CW,1858,1078,0,2,0,1,0,949,130,0,1,0,0,0,1079,213,138,22,52,67,111,32,13,145,46,58,1,49,131
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Protestantse Kerk Schoondijke,1714::SB11,4507 BH,1086,560,1,2,0,0,0,506,57,0,0,0,0,0,563,105,52,18,33,33,63,28,15,71,30,28,0,18,66
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis Waterlandkerkje,1714::SB12,4508 AC,399,276,2,0,0,1,1,242,36,0,0,1,0,0,279,52,31,18,7,21,20,9,8,46,13,11,0,11,29
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis Aardenburg,1714::SB13,4527 BJ,1595,881,11,2,0,0,2,790,102,0,0,0,0,0,894,175,111,0,52,39,84,30,13,169,35,40,0,40,93
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis Sint Kruis,1714::SB14,4528 EM,234,160,0,0,0,0,0,133,27,0,0,0,0,0,160,53,24,3,8,8,2,6,0,40,0,0,0,2,14
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis Eede,1714::SB15,4529 GJ,482,251,3,1,0,0,0,216,39,0,0,0,0,0,255,91,33,1,8,19,9,7,4,28,8,9,0,8,26
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Mfc De Keure Sluis,1714::SB16,4524 BL,1524,786,1,1,0,0,2,673,113,0,0,0,0,0,788,137,149,0,32,54,40,26,7,165,33,27,0,13,103
,Sluis,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis Retranchement,1714::SB17,4525 AD,214,147,1,2,0,0,0,135,15,0,0,0,0,0,150,30,40,0,8,6,7,5,2,24,4,2,0,7,12
