contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Sterk Lokaal,Forum voor Democratie,Partij voor de Dieren,Onafhankelijke Partij Drenthe,DENK,Staatkundig Gereformeerde Partij (SGP),Senioren Belang
,Hoogeveen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Het Raadhuis,0118::SB1,7901 BP,1651,1051,1,9,0,0,1,957,103,0,0,0,0,0,1061,126,104,198,92,78,39,81,50,32,28,172,27,2,4,10,8
,Hoogeveen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau De Westerkim,0118::SB2,7901 CN,1476,715,4,1,0,0,0,660,60,0,0,0,0,0,720,54,48,157,48,75,17,89,25,23,16,125,11,2,0,20,5
,Hoogeveen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau vh J. v.d. Sleedenhuis,0118::SB3,7901 AV,1307,526,1,1,0,0,0,487,41,0,0,0,0,0,528,57,51,82,33,35,25,41,27,30,14,91,10,10,1,17,2
,Hoogeveen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau MFC Het Knooppunt,0118::SB4,7902 JG,1281,743,6,4,0,0,0,690,63,0,0,0,0,0,753,53,80,126,56,95,19,65,28,22,12,136,13,7,0,24,7
,Hoogeveen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau NNCZ Grote Beer,0118::SB5,7904 LW,1960,839,1,2,0,0,0,768,74,0,0,0,0,0,842,58,79,81,107,70,31,86,43,27,23,168,25,8,6,24,3
,Hoogeveen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Schoolwoning Erflanden,0118::SB6,7908 XN,2305,1333,3,1,0,0,0,1257,80,0,0,0,0,0,1337,228,109,176,64,72,96,163,95,22,44,204,31,5,0,16,8
,Hoogeveen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau MFC De Magneet,0118::SB7,7904 LW,1953,1163,8,3,0,0,0,1081,93,0,0,0,0,0,1174,61,159,164,117,126,34,107,48,43,30,202,29,14,4,15,10
,Hoogeveen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Oosterkerk,0118::SB8,7905 CA,1591,1078,4,2,0,0,0,996,88,0,0,0,0,0,1084,103,99,181,79,69,52,124,66,25,21,173,26,23,1,31,5
,Hoogeveen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau WZC Wolfsbos,0118::SB9,7905 AA,1717,721,5,1,0,0,0,665,62,0,0,0,0,0,727,29,83,83,72,99,26,68,33,30,15,100,17,5,39,18,4
,Hoogeveen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Buurthuis DES-gebouw,0118::SB10,7906 BG,1560,692,3,3,0,0,0,632,65,0,1,0,0,0,697,30,53,60,84,136,17,49,28,23,14,160,12,8,4,11,3
