contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),GROENLINKS,ChristenUnie,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),50PLUS,DENK,U26 GEMEENTEN,Forum voor Democratie
,Leusden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Gemeentehuis,0327::SB1,3831 NA,2116,2108,6,10,1,0,3,1963,157,0,1,0,0,0,2123,308,191,224,198,99,207,274,155,95,19,97,7,17,217
,Leusden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Basisschool De Holm,0327::SB2,3831 LE,1859,1308,4,9,0,0,2,1180,139,0,0,0,0,0,1321,217,122,149,90,38,109,170,142,50,19,34,0,6,162
,Leusden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau MFC Atria,0327::SB3,3831 JT,2325,1695,14,0,0,0,0,1522,187,0,0,0,0,0,1709,265,164,163,151,47,110,286,129,85,28,58,0,16,193
,Leusden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Woonzorgcentrum 't Hamersveld,0327::SB4,3831 JR,1786,1461,3,0,0,0,1,1313,150,0,0,0,0,0,1464,288,138,152,136,52,81,199,120,59,22,40,2,12,160
,Leusden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Scholen in de Kunst,0327::SB5,3831 XD,2322,1280,3,1,0,0,0,1151,133,0,0,0,0,0,1284,231,96,174,98,49,76,159,105,66,19,45,9,4,149
,Leusden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Lisidunahof,0327::SB6,3833 BS,1493,895,6,0,0,0,0,807,94,0,0,0,0,0,901,149,59,151,65,31,46,104,106,41,13,41,0,4,85
,Leusden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Clubgebouw van Roda '46,0327::SB7,3833 BM,2030,727,2,2,0,0,0,673,58,0,0,0,0,0,731,124,58,70,52,30,54,96,82,26,7,15,8,5,100
,Leusden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Groene Belevenis,0327::SB8,3833 GM,1916,1246,6,1,2,0,0,1135,120,0,0,2,0,0,1255,219,92,122,90,40,103,167,132,48,33,46,1,7,146
,Leusden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau MFC Antares,0327::SB9,3832 JS,2733,1957,1,2,0,0,0,1772,188,0,0,0,0,0,1960,440,196,226,132,48,83,247,185,50,63,37,8,21,221
,Leusden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Woonzorgcentrum Sint Joseph,0327::SB10,3791 PP,2055,1395,4,4,2,0,2,1238,165,0,0,2,0,0,1405,271,70,386,73,43,48,79,58,28,41,48,0,7,243
,Leusden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Fokkerstraat 16,0327::SB11,3833 LD,1656,790,4,3,0,0,0,706,91,0,0,0,0,0,797,169,67,94,45,25,38,87,74,29,11,17,2,6,126
,Leusden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Dorpskerk,0327::SB12,3832 GJ,1010,551,1,3,0,0,0,500,55,0,0,0,0,0,555,99,44,74,39,22,18,60,71,20,41,13,0,3,47
