contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Sterk Lokaal,Forum voor Democratie,Partij voor de Dieren,Onafhankelijke Partij Drenthe,DENK,Staatkundig Gereformeerde Partij (SGP),Senioren Belang
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Stembus,0106::SB0,,0,147,0,0,0,0,0,139,8,0,0,0,0,0,147,6,29,5,13,4,14,16,24,7,8,10,7,2,1,0,1
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Stadhuis I,0106::SB1,,1164,865,4,3,10,0,1,779,82,0,10,0,0,0,862,105,144,55,51,29,82,74,94,55,22,91,36,13,0,6,8
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Anholt,0106::SB2,,1501,705,4,0,0,0,0,669,39,0,1,0,1,0,708,55,109,43,60,46,34,86,66,66,25,57,37,11,0,3,7
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau De Boshof,0106::SB3,,921,737,1,0,0,0,0,737,1,0,0,0,0,0,738,124,122,55,28,19,105,58,95,23,16,59,27,6,0,0,0
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau De Slingeborgh,0106::SB4,,1362,637,2,2,0,1,0,595,47,0,0,1,0,0,642,60,92,48,41,37,34,67,95,34,26,54,31,5,3,2,8
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau De Wijde Blik,0106::SB5,,1405,694,6,3,0,0,1,664,39,1,0,1,0,0,704,54,87,69,48,41,30,69,92,42,25,85,21,10,15,5,1
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau De Deel,0106::SB6,,1122,736,1,1,0,0,0,675,61,0,2,0,1,0,736,82,115,52,33,32,47,64,128,36,25,67,35,8,0,8,4
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Rode Kruisgebouw,0106::SB7,,1682,513,1,3,0,0,0,481,36,0,0,0,0,0,517,36,87,28,50,50,20,47,43,25,20,75,21,7,0,1,3
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau FC Assen,0106::SB8,,2062,952,6,2,0,1,1,955,5,0,0,1,0,0,961,185,113,82,50,33,109,125,48,38,34,97,20,12,0,3,3
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Maria in Campisschool,0106::SB9,,1389,689,1,0,0,0,2,644,44,0,0,0,0,0,690,46,119,36,53,36,39,92,73,33,24,79,32,9,8,3,7
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau De Componist,0106::SB10,,1376,857,2,4,0,0,2,791,70,0,0,0,0,0,863,52,121,63,79,64,52,106,73,47,23,107,31,16,11,9,3
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau SBO De Boei,0106::SB11,,1162,532,3,0,0,0,0,489,46,0,0,0,0,0,535,40,65,33,31,41,28,98,33,30,23,66,10,5,9,20,0
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Peelerhof,0106::SB12,,1707,894,2,0,0,4,1,820,79,0,0,4,0,0,900,87,117,57,62,35,54,152,92,50,22,121,24,5,1,8,7
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau De Veldkei,0106::SB13,,1625,759,0,1,0,1,0,759,0,0,0,1,0,0,759,45,96,26,106,53,44,98,77,47,20,91,34,5,7,6,4
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau 't Markehuus,0106::SB14,,1619,1229,7,2,0,0,0,1147,91,0,0,0,0,0,1238,95,162,76,113,58,83,186,130,63,40,147,38,13,2,13,10
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Korfbal- en tennisvereniging AVO,0106::SB16,,1669,794,3,0,0,0,0,749,48,0,0,0,0,0,797,77,100,72,61,29,83,116,63,46,28,84,16,13,0,3,3
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dr. Nassau College Quintus,0106::SB17,,998,364,0,2,0,0,0,364,2,0,0,0,0,0,366,20,52,19,31,10,36,54,51,17,14,30,17,9,1,1,2
,Assen,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Sportcomplex Marsdiek,0106::SB18,,1293,594,2,0,0,0,0,549,47,0,0,0,0,0,596,125,60,40,24,21,54,53,65,25,24,64,25,6,2,0,6
