contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),FNP,PVV (Partij voor de Vrijheid),ChristenUnie,Democraten 66 (D66),GROENLINKS,Partij voor de Dieren,50PLUS,Provinciaal Belang Fryslân,Natuurlijk Fryslân,DENK,Staatkundig Gereformeerde Partij (SGP),Forum voor Democratie
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Stadhuis,0080::SB1,8911 HJ,1172,990,4,2,0,0,0,944,56,4,0,4,0,0,1000,50,215,98,34,34,25,31,89,184,85,18,8,15,2,0,102
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau De Kanselarij,0080::SB2,8911 KS,1322,599,0,2,0,0,1,573,28,0,0,1,0,1,602,27,88,79,36,13,24,15,66,116,46,3,8,5,0,2,71
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dominicuskerk,0080::SB3,8913 CE,1322,958,1,3,0,0,0,884,78,0,0,0,0,0,962,91,163,104,49,44,23,48,82,148,57,24,9,9,2,5,100
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wijkgebouw De Toekomst,0080::SB4,8913 GL,1585,1034,2,6,0,0,1,961,84,0,0,0,0,0,1046,106,205,109,50,42,29,59,75,141,49,30,8,13,0,3,115
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Pelikaankerk,0080::SB5,8916 AE,1538,1000,0,3,0,0,0,933,70,0,0,0,0,0,1003,106,178,95,69,34,35,62,81,154,47,33,4,3,2,6,91
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau M.f.c. Westenkwartier,0080::SB6,8915 CD,1372,542,1,1,0,0,0,525,22,3,0,3,0,0,547,36,94,46,30,23,32,12,29,78,28,20,2,3,4,2,103
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wijkzorgcentrum de Hofwijck,0080::SB7,8917 AZ,1327,752,3,1,0,0,0,666,91,1,0,1,0,0,757,90,172,122,31,19,19,25,56,98,42,13,6,5,0,0,54
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau M.f.c. Tylkedam,0080::SB8,8918 LW,1304,446,2,4,0,0,0,420,32,0,0,0,0,0,452,43,85,26,51,20,27,28,8,43,23,17,5,6,5,1,58
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wijkgebouw Bilgaard,0080::SB9,8918 HV,1220,849,1,2,0,0,0,777,75,0,0,0,0,0,852,84,165,45,78,21,89,26,29,79,35,33,6,5,20,5,129
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Adventkerk,0080::SB10,8918 AA,1474,611,1,2,0,0,1,573,41,1,0,1,0,0,615,49,137,25,42,22,33,44,27,94,32,19,7,4,4,2,70
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau M.f.c. Westeinde,0080::SB11,8915 DZ,1694,1353,2,5,0,0,0,1239,121,0,0,0,0,0,1360,178,265,100,95,51,52,81,73,120,63,53,17,7,5,7,186
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wijkzorgcentrum Swettehiem,0080::SB12,8915 EH,1375,545,0,0,0,1,0,511,33,0,1,0,0,0,544,77,114,34,32,15,17,33,36,53,19,22,8,6,0,0,79
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wijkzorgcentrum Sint Jozef,0080::SB13,8922 JA,1388,551,2,2,0,0,0,533,24,2,0,2,0,0,557,41,83,30,58,16,44,25,31,76,38,20,7,6,4,0,72
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau De Fontein,0080::SB14,8922 CP,1393,687,1,2,0,0,0,652,38,0,0,0,0,0,690,58,106,33,51,23,67,44,24,87,48,20,9,6,2,1,108
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau M.f.c. Het Mozaiek,0080::SB15,8923 BW,1480,778,2,1,0,2,1,752,26,0,2,0,0,0,779,62,128,48,65,23,73,48,43,69,42,30,7,8,11,1,120
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau M.f.c. Het Mozaiek,0080::SB16,8923 BW,1646,501,0,1,0,0,0,455,47,0,0,0,0,0,502,26,98,34,44,14,31,64,20,52,25,16,7,3,5,1,61
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wijkcentrum Tjerk Hiddes,0080::SB17,8921 NM,1260,522,1,1,0,0,0,494,30,0,0,0,0,0,524,33,75,34,38,19,53,19,23,51,37,24,3,6,2,0,105
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wijkgebouw Cambuursterhoek,0080::SB18,8921 TL,1234,650,1,1,0,0,1,650,1,0,0,0,0,0,652,37,116,31,40,23,64,31,23,70,35,22,8,8,2,6,134
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Emmastate,0080::SB19,8921 AG,1399,598,2,3,0,0,0,575,28,0,0,0,0,0,603,28,114,37,38,13,40,27,39,101,57,12,6,13,0,1,72
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wijkgebouw Insulinde,0080::SB20,8924 AS,1238,494,1,2,0,0,0,464,33,0,0,0,0,0,497,28,58,23,63,13,51,7,23,67,31,11,6,12,8,1,92
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Wijkgebouw Schieringen,0080::SB21,8924 EJ,1456,550,4,9,0,0,0,524,39,0,0,0,0,0,563,20,78,21,47,16,70,25,20,76,48,16,9,10,5,1,88
,Leeuwarden,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau M.f.c. Camminghastins,0080::SB22,8925 CK,1298,666,2,0,0,4,0,618,46,0,4,0,0,0,664,43,129,28,47,22,48,34,15,82,39,33,10,6,4,9,117
