contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),VVD,ChristenUnie,PVV (Partij voor de Vrijheid),Groninger Belang,GROENLINKS,Partij voor de Dieren,Partij voor het Noorden,Forum voor Democratie,50PLUS,DENK
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Verzorgingshuis Vredewold,1969::SB1,9351 BP,1242,636,5,2,0,0,0,593,50,0,0,0,0,0,643,54,81,107,18,39,77,44,47,50,16,15,74,14,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gemeentehuis Leek,1969::SB2,9351 BJ,904,490,2,1,0,0,0,444,49,0,0,0,0,0,493,18,50,62,12,41,75,29,58,28,16,19,53,28,1
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dienstencentrum De Schutse,1969::SB3,9351 KP,1133,820,4,2,0,0,1,771,54,0,0,0,0,0,826,64,139,77,25,57,100,63,63,75,11,26,76,43,1
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Cazemier Boerderij,1969::SB4,9356 AT,1347,935,2,3,0,0,0,852,88,0,0,0,0,0,940,53,116,86,37,100,114,51,82,105,18,23,121,29,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Wooncentrum Tolberterheem,1969::SB5,9356 CT,1295,668,3,2,0,0,0,630,43,0,0,0,0,0,673,49,94,57,26,40,84,36,63,77,13,20,84,25,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Groene Borg,1969::SB6,9354 BC,867,518,1,1,0,0,0,467,53,0,0,0,0,0,520,35,57,82,17,58,66,37,50,32,5,8,52,19,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Vijverborg,1969::SB7,9354 BW,1313,659,2,3,0,0,0,602,62,0,0,0,0,0,664,43,48,101,25,92,61,41,55,37,25,15,100,16,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gasterij Inkies,1969::SB8,9355 TD,776,542,0,0,0,0,0,480,62,0,0,0,0,0,542,19,52,58,42,88,88,14,34,49,13,5,73,7,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau MCO De Gaveborg,1969::SB9,9828 RC,539,336,0,0,0,0,0,302,34,0,0,0,0,0,336,22,42,15,16,22,40,19,21,58,10,17,44,10,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Het Bolwerk,1969::SB10,9812 PL,261,219,0,0,0,0,0,200,19,0,0,0,0,0,219,13,13,9,8,3,113,1,8,36,5,8,1,1,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Sportcentrum Leek,1969::SB11,9351 NV,1260,827,0,2,0,0,0,740,91,2,0,2,0,0,831,33,68,101,62,102,104,25,82,78,24,33,100,12,3
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Sportpark Oostindie,1969::SB12,9351 XZ,1273,822,4,0,0,0,0,732,93,0,1,0,1,0,825,21,70,108,69,126,140,31,41,87,16,20,74,14,5
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Voormalige Van Panhuysschool,1969::SB13,9351 CG,1195,584,1,1,0,0,0,542,44,0,0,0,0,0,586,42,86,67,20,27,85,39,46,35,10,16,85,24,2
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Bibliotheek Leek,1969::SB14,9351 HC,1123,583,1,0,0,0,0,537,47,0,0,0,0,0,584,41,73,50,38,42,91,30,38,72,30,22,45,11,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Sportcentrum Leek 2,1969::SB15,9351 NK,1000,390,0,1,0,0,0,376,15,0,0,0,0,0,391,33,57,41,33,33,39,19,29,58,9,5,27,7,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gemeentehuis Zuidhorn,1969::SB16,9801 AJ,1205,1048,2,2,0,0,0,967,85,0,0,0,0,0,1052,46,113,89,66,95,224,22,75,178,36,32,61,10,1
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis Dörpsstee,1969::SB17,9804 RL,1128,709,3,1,0,0,0,657,56,0,0,0,0,0,713,39,62,66,36,37,197,18,52,109,17,25,47,4,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Zonnehuis locatie Oostergast,1969::SB18,9801 VG,990,681,1,0,0,0,0,606,76,0,0,0,0,0,682,33,61,72,53,70,150,17,39,100,12,26,36,11,1
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Eiberhof,1969::SB19,9801 HB,1337,575,2,1,0,0,1,531,46,0,0,0,0,0,578,28,65,60,27,49,145,27,27,76,7,11,47,5,1
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Wierde,1969::SB20,9843 EJ,1078,715,1,1,0,0,0,665,52,0,0,0,0,0,717,29,53,150,23,61,91,26,90,67,15,23,66,20,1
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Lauwerscollege,1969::SB21,9843 BG,1092,555,1,1,0,0,0,519,38,0,0,0,0,0,557,12,55,98,27,50,78,17,72,52,5,15,66,7,1
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau 't Bartoleshûs,1969::SB22,9845 AK,274,212,0,0,0,0,0,194,18,0,0,0,0,0,212,5,8,44,6,18,27,11,24,22,7,4,32,4,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis De Wending,1969::SB23,9844 PE,177,149,0,1,0,0,0,135,15,0,0,0,0,0,150,15,11,22,5,11,18,10,14,10,6,4,21,2,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis Soltketen,1969::SB24,9881 PA,413,278,1,1,0,0,0,261,19,0,0,0,0,0,280,23,11,40,4,17,35,17,75,22,4,6,22,2,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis 't Schanshuus,1969::SB25,9842 PE,353,232,0,3,0,0,0,215,20,0,0,0,0,0,235,9,15,40,11,26,32,16,30,18,4,5,13,12,1
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau De Meeden,1969::SB26,9831 RD,863,601,2,0,0,0,0,548,55,0,0,0,0,0,603,42,80,84,26,30,116,26,39,53,14,24,46,19,2
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau 't Hoge Hof,1969::SB27,9831 RZ,848,528,2,0,0,0,1,493,37,1,0,1,0,0,531,26,44,82,23,28,113,24,41,56,20,28,35,8,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis Den Ham,1969::SB28,9833 PB,249,138,0,0,0,0,0,129,9,0,0,0,0,0,138,12,10,32,2,16,26,2,8,9,3,4,14,0,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis Hornhuis,1969::SB29,9832 PD,339,214,0,1,0,0,0,190,25,0,0,0,0,0,215,8,21,31,9,21,26,5,10,40,14,2,25,1,1
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis Humsterland,1969::SB30,9883 PE,1040,645,2,0,0,0,0,595,52,0,0,0,0,0,647,26,46,83,11,36,227,25,65,46,12,31,30,7,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis Eisseshof,1969::SB31,9884 PC,206,144,0,0,0,0,0,125,19,0,0,0,0,0,144,6,11,26,8,7,18,1,19,23,7,2,15,1,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis Heralmahuus,1969::SB32,9886 PG,142,81,1,0,0,0,0,79,3,0,0,0,0,0,82,5,13,12,6,11,9,0,7,11,4,1,1,1,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis De Vrijwilliger,1969::SB33,9885 PC,164,115,0,0,0,0,0,110,5,0,0,0,0,0,115,2,4,33,6,16,19,1,10,7,3,4,5,4,1
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Steak- en Partyhouse André Dokter,1969::SB34,9805 TD,1244,1001,0,0,0,0,0,887,114,0,0,0,0,0,1001,36,106,114,94,102,243,15,69,113,14,21,59,15,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Cultureel Centrum Zuidhorn,1969::SB35,9801 CG,1328,1035,4,4,0,0,0,953,90,0,0,0,0,0,1043,56,132,114,66,74,226,28,68,132,21,37,63,18,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gemeentehuis Grootegast,1969::SB36,9861 AC,1739,1029,2,1,0,4,0,935,101,0,0,4,0,0,1036,37,45,201,33,64,245,55,91,65,20,24,136,13,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gebouw Irene,1969::SB37,9862 TJ,518,269,0,0,0,0,0,240,29,0,0,0,0,0,269,11,23,30,12,21,50,27,36,12,2,6,32,7,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis 't Kompas,1969::SB38,9866 AP,702,352,0,0,0,0,0,323,29,0,0,0,0,0,352,10,20,107,9,17,63,23,40,12,7,5,37,2,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Woonzorgcentrum Het Hooge Heem,1969::SB39,9861 BM,922,492,3,3,0,0,0,464,34,0,0,0,0,0,498,28,33,132,5,19,92,20,37,25,9,12,64,16,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gebouw 't Anker,1969::SB40,9863 PL,867,432,0,3,0,0,0,390,45,0,0,0,0,0,435,18,20,100,13,18,93,11,52,26,11,3,59,8,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis 't Hörnhuus,1969::SB41,9864 PL,525,324,0,1,0,0,0,299,26,0,0,0,0,0,325,19,10,60,2,17,76,16,30,12,8,9,61,4,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Vrijzinnig gebouw,1969::SB42,9865 AM,409,186,0,1,0,0,0,164,23,0,0,0,0,0,187,10,19,28,9,9,27,3,40,10,6,3,20,2,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Stichting Mfc De Veste,1969::SB43,9865 TE,1420,745,1,4,0,0,1,679,70,0,0,0,0,0,750,32,46,97,17,53,96,45,183,32,10,12,115,7,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gebouw Ons Centrum Oldekerk,1969::SB44,9821 PA,984,504,1,0,0,0,0,463,42,0,0,0,0,0,505,14,16,110,34,37,89,21,46,33,5,18,74,7,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis De Rotonde,1969::SB45,9822 AA,1261,743,4,1,0,0,0,687,61,0,0,0,0,0,748,44,64,103,29,58,97,46,92,51,13,39,93,14,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gemeentehuis Marum,1969::SB46,9363 BA,1417,1040,3,5,0,0,0,940,108,0,0,0,0,0,1048,44,115,153,43,112,125,60,96,51,19,31,151,40,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gebouw De Wieken,1969::SB47,9365 PS,895,476,4,2,0,0,0,428,54,0,0,0,0,0,482,24,43,29,18,51,28,43,48,33,22,16,115,5,1
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gebouw De Weme,1969::SB48,9824 PH,530,324,0,1,0,0,0,299,26,0,0,0,0,0,325,9,33,33,9,36,24,20,43,24,6,12,65,10,0
,Westerkwartier,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Zonnehuis De Hoorn,1969::SB49,9363 GB,1719,835,2,0,0,0,0,756,81,0,0,0,0,0,837,32,105,119,38,94,101,38,78,55,13,31,103,27,1
