contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),FNP,PVV (Partij voor de Vrijheid),ChristenUnie,Democraten 66 (D66),GROENLINKS,Partij voor de Dieren,50PLUS,Provinciaal Belang Fryslân,Natuurlijk Fryslân,DENK,Staatkundig Gereformeerde Partij (SGP),Forum voor Democratie
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Gemeentehuis Dokkum,1970::SB1,9101 LP,1415,775,1,2,0,0,0,712,64,0,2,0,2,0,776,127,69,87,29,78,36,81,34,47,25,15,17,8,0,4,118
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau CBS Eben Haëzer,1970::SB2,9101 AC,1276,810,0,2,0,0,0,737,75,0,0,0,0,0,812,237,60,43,23,92,26,105,16,41,13,18,4,4,1,12,115
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau verzorgingshuis Dongeraheem,1970::SB3,9101 GC,1290,690,6,2,0,1,0,637,60,0,1,0,0,0,697,204,69,32,33,57,20,102,8,36,13,5,8,4,2,10,87
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau CBS De Hoeksteen,1970::SB4,9101 HE,1041,506,0,5,0,0,0,474,37,0,0,0,0,0,511,96,35,19,25,52,56,72,14,27,18,5,9,6,0,2,70
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau De Fontein,1970::SB5,9101 DG,1216,637,2,2,0,1,1,590,51,0,0,1,0,0,642,163,45,24,34,59,42,90,13,29,13,15,7,2,0,7,94
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau CBS De Regenboog,1970::SB6,9101 DR,898,580,1,0,0,0,0,537,44,0,0,0,0,0,581,135,72,27,32,51,28,71,24,40,4,5,7,2,0,9,73
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau verpleeghuis De Waadwente,1970::SB7,9101 DA,1158,639,1,1,0,0,0,598,44,0,0,1,0,1,642,189,48,16,23,68,45,90,9,22,13,14,12,5,0,11,74
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau CBS De Bron,1970::SB8,9101 WB,1122,718,0,0,0,2,0,667,49,0,2,0,0,0,716,148,89,62,30,70,23,61,23,55,24,10,11,5,0,4,103
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau MFA de Dobbe,1970::SB9,9133 MA,858,543,1,1,0,1,2,484,58,0,1,0,0,0,544,139,22,26,14,68,33,30,12,12,16,5,12,5,0,12,137
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau dorpshuis De Nije Pôle,1970::SB10,9155 AM,250,188,0,1,0,0,0,168,21,0,0,0,0,0,189,59,8,10,1,50,2,24,7,5,1,0,0,0,0,1,20
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis De Terpring,1970::SB11,9153 BR,280,181,1,0,0,0,0,160,22,0,0,0,0,0,182,27,18,21,5,25,11,8,0,17,6,2,3,3,0,2,33
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau dorpshuis De Jister,1970::SB12,9131 KM,666,364,0,0,0,0,0,330,34,0,0,0,0,0,364,113,16,11,8,50,17,21,9,19,3,5,8,5,0,6,73
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau lokaal bij de PKN-kerk,1970::SB13,9132 LT,440,245,1,0,0,0,0,225,21,0,0,0,0,0,246,46,22,24,9,35,12,16,4,20,8,2,4,2,0,7,34
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Yn 'e bedelte,1970::SB14,9147 BW,565,313,1,1,0,0,0,279,36,0,0,0,0,0,315,82,28,17,12,32,8,21,1,24,13,6,7,4,0,6,52
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau 't Sintrum,1970::SB15,9151 KN,1237,647,1,1,0,0,0,588,61,0,0,0,0,0,649,109,61,43,37,114,34,30,10,33,18,6,5,7,0,4,136
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Lokaal De Gearkomst,1970::SB16,9134 NM,260,162,0,0,0,0,0,150,12,0,0,0,0,0,162,47,8,8,11,14,10,31,2,5,1,5,1,1,0,9,9
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau verzorgingshuis De Skûle,1970::SB17,9123 JZ,738,369,0,0,0,0,0,339,30,0,0,0,0,0,369,103,22,16,22,57,23,32,8,17,13,4,6,2,0,3,41
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Lokaal De Wynroas,1970::SB18,9142 VT,364,194,0,1,0,0,0,178,17,0,0,0,0,0,195,42,15,3,11,16,15,13,3,8,8,2,4,2,0,3,49
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau De Stikel,1970::SB19,9135 PN,191,121,0,1,0,0,0,108,14,0,0,0,0,0,122,19,5,14,6,11,11,22,0,3,2,4,6,0,0,6,12
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis De Nespel,1970::SB20,9143 WG,311,171,0,0,0,0,0,159,12,0,0,0,0,0,171,49,4,4,12,21,13,16,3,6,7,8,0,0,0,3,25
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Nij Sion,1970::SB21,9138 TB,332,239,0,0,0,0,0,220,19,0,0,0,0,0,239,60,4,6,9,80,8,16,4,13,5,1,7,5,0,2,19
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis De Terp,1970::SB22,9137 RW,701,354,2,0,0,0,0,326,30,0,0,0,0,0,356,99,14,30,10,62,22,17,9,7,10,4,10,1,1,0,58
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Café Fryslân,1970::SB23,9125 EG,142,124,0,0,0,1,0,114,9,0,1,0,0,0,123,30,4,10,2,11,3,10,4,10,3,5,11,0,0,0,21
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis Tunawerth,1970::SB24,9145 SE,988,494,3,1,0,0,0,441,57,0,0,0,0,0,498,125,51,20,31,49,26,39,6,23,12,5,4,0,1,15,87
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Dorpshuis De Pipenâle,1970::SB25,9141 VH,272,150,0,0,0,0,0,133,17,0,0,0,0,0,150,21,9,2,12,11,7,13,1,6,8,1,11,3,0,3,42
,Noardeast-Fryslân,PS2019_Fryslan,Provinciale Staten Fryslân 2019,,Fryslân,2019-03-20,Stembureau Gemeentehuis Kollum,1970::SB26,9291 KB,1578,855,2,2,0,0,0,780,79,0,0,0,0,0,859,205,78,77,31,65,55,64,28,37,28,23,11,5,0,25,123
