contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,50PLUS,Partij voor de Dieren,Forum voor Democratie,DENK
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Gemeentehuis,0153::SB1,,1722,1150,10,2,0,13,3,1102,70,0,0,13,0,0,1175,70,220,86,97,157,41,41,7,212,15,62,131,11
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Noordmolen,0153::SB2,,1273,855,1,4,0,0,0,808,52,0,0,0,0,0,860,58,146,53,113,116,37,28,3,134,15,55,91,6
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau De Tiggelhof,0153::SB3,,1866,733,1,4,0,0,0,674,64,0,0,0,0,0,738,34,115,55,59,72,70,51,2,106,16,33,108,12
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau OBS Freinet,0153::SB4,,1607,761,2,0,0,0,0,712,50,0,1,0,1,0,762,43,70,69,88,82,54,36,2,148,10,46,84,29
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,"Stembureau Liberein, locatie De Eschpoort",0153::SB5,,1632,891,3,3,0,0,1,848,47,0,1,0,1,0,896,108,132,65,118,43,64,80,8,63,51,26,129,4
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau De Wedemhoff,0153::SB6,,1182,539,0,1,0,0,0,513,27,0,0,0,0,0,540,48,66,40,59,46,43,29,1,63,19,30,93,2
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Speeltuin Hoogeland,0153::SB7,,1407,903,2,3,0,0,0,832,75,0,1,0,1,0,907,56,77,98,83,54,127,41,7,104,36,37,157,26
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stadsbank Oost Nederland,0153::SB8,,1634,870,6,5,0,1,2,798,82,0,0,1,0,0,882,64,122,79,99,75,47,34,1,103,27,56,136,27
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Medisch Spectrum Twente,0153::SB9,,1760,1131,7,2,0,0,2,1038,100,0,0,0,0,0,1140,77,162,92,133,119,76,51,5,157,30,44,161,24
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau International School Twente,0153::SB10,,1770,858,2,2,0,0,0,787,75,0,0,0,0,0,862,35,97,73,79,87,76,41,7,134,21,65,131,12
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Saxion Hogeschool,0153::SB11,,1735,1299,7,2,0,2,2,1212,96,0,0,2,0,0,1310,80,199,81,133,163,46,46,10,255,20,63,186,17
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Stadskantoor,0153::SB12,,1664,1159,3,6,0,0,1,1067,100,0,0,0,0,0,1168,87,180,55,115,141,76,37,2,216,19,74,146,11
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Wijkvoorziening Lumen,0153::SB101,,1730,1009,4,3,0,0,0,916,101,0,0,1,0,1,1017,51,63,94,85,59,154,35,3,98,26,61,208,72
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Servicecentrum Oost,0153::SB102,,1675,615,2,5,0,0,0,558,64,0,0,0,0,0,622,59,91,50,48,29,81,38,1,45,18,18,112,25
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau OBS Het Wooldrik,0153::SB103,,1560,759,4,1,0,0,0,704,60,0,0,0,0,0,764,75,180,45,65,65,46,39,7,72,31,16,118,0
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Prinseschool,0153::SB104,,1083,956,4,4,0,12,0,858,94,0,12,0,0,0,952,84,155,72,81,82,84,57,4,86,25,26,177,23
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau De Roef,0153::SB105,,1665,852,5,2,0,0,0,787,74,2,0,2,0,0,861,67,109,81,82,70,61,40,3,103,31,32,168,5
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau ROC van Twente,0153::SB106,,1786,531,3,3,0,2,0,483,52,0,2,0,0,0,535,43,67,37,46,36,42,27,5,52,12,24,125,15
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Zorgcentrum de Bleekhof,0153::SB201,,1688,668,6,2,0,0,0,609,67,0,0,0,0,0,676,52,70,53,76,34,55,51,7,67,27,22,105,49
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau OBS Europa,0153::SB202,,1418,742,8,4,0,0,1,681,72,0,0,0,0,0,754,31,53,67,85,46,73,69,0,66,30,28,135,59
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Geert de Leeuwhuis,0153::SB203,,1534,693,0,1,0,1,0,642,51,0,1,0,0,0,693,44,59,87,61,42,69,70,7,64,19,25,111,35
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau CBS de Koning,0153::SB204,,1555,748,2,3,0,0,0,682,71,0,0,0,0,0,753,29,29,84,80,35,134,62,7,54,22,31,168,13
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Speeltuin Stevenfenne,0153::SB205,,1284,406,1,3,0,0,0,370,40,0,0,0,0,0,410,16,39,40,42,31,65,41,0,34,13,1,82,2
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Basisschool St. Jan,0153::SB206,,1462,481,3,2,0,4,0,426,56,0,4,0,0,0,482,13,28,49,27,21,91,22,2,57,18,26,91,36
,Enschede,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Speeltuin Stadsveld,0153::SB207,,1503,538,4,0,0,0,0,499,43,0,0,0,0,0,542,29,27,64,63,28,71,28,5,42,37,13,120,11
