contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,GROENLINKS,Partij voor de Dieren,50PLUS,DENK,NIDA,Code Oranje,Forum voor Democratie,Lokale Partijen Zuid Holland (LPZH),JEZUS LEEFT
Dordrecht,Midden-Delfland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Dienstencentrum Korpershoek,1842::SB1,2636 JA,1781,765,3,1,0,1,0,689,81,0,0,1,0,0,770,149,27,62,195,42,33,0,35,56,27,21,0,0,2,114,1,1
Dordrecht,Midden-Delfland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau De Dorpshoeve,1842::SB2,2636 GM,1462,1324,2,5,0,0,0,1182,149,0,0,0,0,0,1331,254,44,120,242,118,42,4,90,98,46,46,0,6,3,204,6,1
Dordrecht,Midden-Delfland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Dienstencentrum Kickerthoek,1842::SB3,2635 JM,1484,925,4,1,0,0,0,868,62,0,0,0,0,0,930,151,20,100,162,78,25,3,71,105,28,45,0,2,4,129,2,0
Dordrecht,Midden-Delfland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau De Hoornbloem 1,1842::SB4,2635 HD,1477,1106,2,0,1,0,2,1003,102,0,1,0,0,0,1107,196,52,112,142,80,45,11,40,109,48,58,2,2,3,197,9,0
Dordrecht,Midden-Delfland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau De Hoornbloem 2,1842::SB5,2635 HD,1612,1200,1,2,1,0,1,1086,117,0,0,1,0,0,1204,237,65,150,149,75,37,4,61,115,46,57,5,1,7,186,5,0
Dordrecht,Midden-Delfland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Openbare basisschool Het Galjoen,1842::SB6,2635 MK,1712,862,2,1,0,6,1,776,94,0,0,6,0,0,871,244,25,106,96,56,12,2,30,82,27,27,2,2,0,145,6,0
Dordrecht,Midden-Delfland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Singelhof 1,1842::SB7,3155 AL,1784,1251,4,4,0,0,0,1130,129,0,0,0,0,0,1259,293,52,85,267,68,22,11,105,54,27,38,0,0,4,215,9,1
Dordrecht,Midden-Delfland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Singelhof 2,1842::SB8,3155 AL,1763,1060,4,1,0,0,0,952,113,0,0,0,0,0,1065,272,54,70,183,51,31,10,90,45,34,34,4,0,1,178,2,1
Dordrecht,Midden-Delfland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau De Oude Pastorie,1842::SB9,3155 AM,1655,1133,3,1,0,2,0,1015,124,0,0,2,0,0,1139,253,56,97,242,45,35,12,68,40,27,35,6,0,2,211,3,1
Dordrecht,Midden-Delfland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau WoonZorgCentrum Akkerleven,1842::SB10,2636 JJ,62,30,0,1,0,0,0,26,5,0,0,0,0,0,31,5,1,2,11,2,2,0,1,2,0,1,0,0,0,3,0,0
