contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,50PLUS,Partij voor de Dieren,ChristenUnie-SGP,Lokaal Brabant,Ouderen Appèl - Hart voor Brabant,Forum voor Democratie,DENK,Senioren Brabant,Code Oranje
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau De Westhoek,1709::SB1,4761 AJ,1118,592,2,1,0,0,1,534,60,0,0,0,0,0,595,118,87,28,46,41,34,28,35,22,22,22,5,95,1,6,2
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau De Zeven Schakels,1709::SB2,4761 BN,1146,572,3,2,0,0,0,528,49,0,0,0,0,0,577,89,79,43,35,29,46,36,34,22,19,48,3,74,0,12,3
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Kruisgebouw,1709::SB3,4761 KC,1369,532,0,0,0,0,0,490,42,0,0,0,0,0,532,45,43,64,70,18,38,31,18,18,17,37,3,113,8,9,0
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Pluspunt Serena,1709::SB4,4761 TW,1655,935,1,2,0,0,1,854,83,0,0,0,0,0,938,138,98,92,93,52,64,65,40,24,22,51,5,176,8,5,2
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau OBS de Boemerang,1709::SB5,4761 SB,1558,684,1,1,0,0,0,632,54,0,0,0,0,0,686,118,66,66,47,48,48,49,25,17,28,37,3,123,1,6,2
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Sportgezondheidscentrum Zevenbergen,1709::SB6,4761 KN,1516,549,3,1,0,0,0,503,50,0,0,0,0,0,553,63,47,56,77,33,44,26,25,22,14,22,3,103,9,4,1
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Sportplaza Moerdijk de Kristal,1709::SB7,4761 ZC,1587,1074,2,2,0,1,0,957,122,0,0,1,0,0,1079,236,106,56,73,89,68,70,31,41,24,37,5,225,1,9,3
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Stationsrestauratie Happy Dees,1709::SB8,4761 BG,1308,919,4,0,0,2,0,846,79,0,0,2,0,0,925,216,113,68,41,71,55,41,41,22,22,44,6,172,0,7,0
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Ons Stedeke,1709::SB9,4772 RA,704,363,0,1,0,0,0,330,34,0,0,0,0,0,364,61,78,33,28,25,16,13,15,8,0,10,1,70,0,4,1
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau De Zevensprong,1709::SB10,4765 CP,1261,609,1,1,0,0,0,545,66,0,0,0,0,0,611,88,77,66,63,16,40,38,40,16,18,25,2,109,2,7,2
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Mauritshof,1709::SB11,4791 JR,1518,793,3,3,0,0,0,726,73,0,0,0,0,0,799,88,153,42,64,27,45,31,30,18,129,23,4,131,0,8,0
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau De Niervaert,1709::SB12,4791 GB,1469,656,2,2,0,0,0,601,59,0,0,0,0,0,660,54,93,58,79,30,62,45,28,17,46,22,3,108,2,8,1
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau De Stad Klundert,1709::SB13,4791 HL,1529,825,4,2,0,0,0,747,84,0,0,0,0,0,831,118,153,50,39,40,63,27,29,30,106,26,6,131,0,7,0
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau De Ankerkuil,1709::SB14,4781 AP,867,428,1,0,0,0,3,389,37,0,0,0,0,0,429,45,35,53,82,22,17,9,18,5,8,19,1,107,0,3,4
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau GSch.huis Noordhoek,1709::SB15,4759 BD,880,463,2,1,0,0,0,409,57,0,0,0,0,0,466,90,61,35,41,28,20,18,24,14,5,24,4,87,4,8,0
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau De Standaert,1709::SB16,4758 AJ,1758,840,2,1,0,0,0,767,75,0,1,0,0,0,842,126,81,84,85,46,40,59,31,34,7,42,13,184,0,6,2
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Mauritshuis,1709::SB17,4797 AC,1817,1085,2,3,0,0,0,979,111,0,0,0,0,0,1090,268,158,48,48,81,78,60,34,53,38,30,7,176,0,6,0
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau De Blokhut,1709::SB18,4797 HT,994,408,0,1,0,0,0,363,46,0,0,0,0,0,409,49,60,33,33,20,28,19,18,28,15,23,3,69,2,6,2
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau De Parel,1709::SB19,4793 CB,1384,872,0,2,0,1,1,790,84,0,0,1,0,0,875,109,120,94,106,37,60,44,44,23,13,38,7,169,0,7,1
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Fendertshof,1709::SB20,4793 ES,1254,659,2,3,0,1,0,585,80,0,0,1,0,0,665,109,90,60,66,28,47,29,34,17,33,18,3,114,1,10,0
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau OBS De Springplank,1709::SB21,4793 BC,1461,666,5,1,0,0,0,604,68,0,0,0,0,0,672,118,79,52,68,34,45,26,39,14,21,26,5,130,4,3,2
Tilburg,Moerdijk,PS2019_NoordBrabant,Provinciale Staten Noord-Brabant 2019,,Noord-Brabant,2019-03-20,Stembureau Pestalozzihuis,1709::SB22,4794 AA,812,408,1,0,0,0,0,362,47,0,0,0,0,0,409,65,44,36,34,16,30,14,20,23,24,17,3,78,0,4,0
