contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,GROENLINKS,Partij voor de Dieren,50PLUS/PARTIJ VAN DE OUDEREN,Ouderenpartij Noord-Holland,NIDA,Code Oranje,Forum voor Democratie,DENK,ChristenUnie
Den Helder,Purmerend,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Stadhuis,0439::SB1,1441 DM,1840,1210,3,6,0,0,4,1108,107,0,0,0,0,0,1219,161,96,109,78,64,100,153,42,30,51,3,27,269,4,23
Den Helder,Purmerend,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau De Avondzon,0439::SB2,1441 CM,1806,912,1,2,0,0,1,841,72,0,1,0,0,0,914,132,77,79,76,47,41,106,50,28,36,2,18,198,11,11
Den Helder,Purmerend,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Bibliotheek Purmerend,0439::SB3,1441 MP,1928,975,4,3,0,0,0,894,86,0,2,0,2,0,980,86,58,87,103,86,59,131,42,41,36,3,19,190,11,23
Den Helder,Purmerend,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Stembureau De Zorgcirkel, locatie De Viervorst",0439::SB4,1441 HC,1339,836,0,3,0,1,0,781,59,0,0,1,0,0,840,88,59,99,74,44,52,80,41,33,39,0,15,192,5,15
Den Helder,Purmerend,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Verzorgingshuis De Tien Gemeenten,0439::SB5,1442 AA,1188,726,3,7,0,0,1,678,57,0,0,0,0,0,736,86,35,76,61,48,74,80,33,41,44,3,15,114,4,12
Den Helder,Purmerend,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Oec. Basisschool 't Prisma,0439::SB6,1442 WN,1831,720,4,4,0,0,0,671,57,0,0,0,0,0,728,43,37,78,95,62,35,71,31,21,17,9,20,147,33,21
Den Helder,Purmerend,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Bets Frijlingschool,0439::SB7,1442 EC,1277,610,2,4,0,3,0,565,48,0,3,0,0,0,613,36,42,65,56,44,34,70,23,26,21,1,8,155,9,20
Den Helder,Purmerend,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Stembureau De Zorgcirkel, locatie Novawhere",0439::SB8,1444 HT,1501,857,1,1,0,0,1,783,80,0,0,5,0,0,864,145,43,94,63,49,62,77,47,27,24,2,10,185,11,18
Den Helder,Purmerend,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Stembureau De Zorgcirkel, locatie Jaap van Praag",0439::SB9,1444 TA,1094,823,4,4,0,0,0,771,58,0,2,0,2,0,829,72,52,99,80,55,64,60,56,34,35,2,10,181,6,17
Den Helder,Purmerend,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Wijkcentrum De Inval,0439::SB10,1444 HV,1703,579,1,4,0,0,1,529,56,2,0,2,0,0,586,67,44,59,54,43,37,49,33,10,27,4,10,116,12,14
Den Helder,Purmerend,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Oec. Basisschool KlimOp,0439::SB11,1444 HV,1834,938,3,5,0,1,1,844,102,0,0,1,0,0,947,93,88,102,72,59,63,92,40,27,19,3,15,229,18,18
Den Helder,Purmerend,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Wijkplein Where,0439::SB12,1443 BM,1494,1144,4,5,0,2,0,1063,92,0,0,2,0,0,1155,95,54,104,130,91,60,76,44,64,94,3,15,261,14,39
Den Helder,Purmerend,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Stembureau Prinsenstichting, locatie Rudolf Garrel",0439::SB13,1443 LH,1201,418,1,6,1,0,0,396,29,0,1,0,0,0,425,38,17,40,57,29,32,49,15,8,16,4,7,92,6,8
