contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),GROENLINKS,ChristenUnie,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),50PLUS,DENK,U26 GEMEENTEN,Forum voor Democratie
,Nieuwegein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Stadshuis I,0356::SB1,3431 LZ,1437,710,2,3,0,0,2,653,60,0,0,0,0,0,715,102,49,51,70,62,52,102,31,30,2,36,15,11,97
,Nieuwegein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Stadshuis II,0356::SB2,3431 LZ,1332,749,1,2,0,1,2,685,66,0,0,1,0,0,753,83,50,61,71,66,45,104,39,27,2,38,14,20,129
,Nieuwegein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Obs de Schakel,0356::SB3,3431 AC,1785,703,4,3,0,0,0,637,73,0,0,0,0,0,710,50,36,72,73,87,54,75,29,34,6,52,17,1,117
,Nieuwegein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Wenck,0356::SB4,3431 TC,1623,800,7,3,0,0,0,752,58,0,0,0,0,0,810,95,48,95,78,63,58,89,26,50,0,53,18,11,116
,Nieuwegein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau K4N (Kledingbank),0356::SB5,3431 CG,1428,708,4,4,0,0,0,644,72,0,0,0,0,0,716,120,49,67,63,62,41,74,38,24,11,33,22,5,99
,Nieuwegein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Montessorischool De Vleugel,0356::SB6,3438 AG,1287,956,2,0,0,0,0,879,79,0,0,0,0,0,958,127,61,75,84,102,75,126,56,52,9,43,11,9,126
,Nieuwegein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau RK basisschool Vroonestein I,0356::SB7,3438 RA,1143,632,2,0,0,0,0,573,63,2,0,2,0,0,636,77,37,53,66,55,53,80,34,26,1,28,10,12,100
,Nieuwegein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau RK basisschool Vroonestein II,0356::SB8,3438 RA,1610,682,2,3,0,0,2,656,27,0,2,0,2,0,685,104,46,57,73,53,41,103,26,29,2,28,7,4,109
,Nieuwegein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau MeetingDistrict,0356::SB9,3438 LC,2145,964,2,2,0,0,2,856,110,0,0,0,0,0,968,190,82,95,75,49,34,130,25,35,9,48,23,15,154
,Nieuwegein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau ROC MN Veiligheid&Defensie College,0356::SB10,3437 WN,1487,671,3,1,0,0,0,610,65,0,0,0,0,0,675,122,43,50,49,58,50,66,29,25,5,36,13,4,121
