contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),GROENLINKS,ChristenUnie,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),50PLUS,DENK,U26 GEMEENTEN,Forum voor Democratie
,Utrecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Stadhuis,0344::SB1,3512 GG,1452,1302,6,0,2,0,3,1239,69,0,0,3,0,1,1311,189,250,52,82,12,42,417,51,133,1,3,7,9,54
,Utrecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau TivoliVredenburg,0344::SB3,3511 WC,1293,1263,3,3,0,1,1,1207,62,0,0,1,0,0,1270,124,213,43,77,30,29,490,39,113,3,13,8,9,72
,Utrecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Kargadoor,0344::SB4,3511 AP,1533,1483,4,1,0,6,0,1390,104,0,0,6,0,0,1494,171,271,81,127,21,47,488,46,149,1,6,3,16,56
,Utrecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Singelzicht,0344::SB5,3512 CR,1070,1033,4,1,0,3,0,974,61,0,3,0,0,0,1035,145,193,29,67,9,42,380,27,97,1,1,2,7,33
,Utrecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau ODBS Pieterskerkhof,0344::SB6,3512 JR,2209,1251,5,2,0,0,0,1154,104,0,0,0,0,0,1258,179,213,34,128,11,35,400,57,131,5,8,3,5,42
,Utrecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Gymzaal Agatha Snellen School,0344::SB7,3512 XG,1694,1218,3,3,0,1,0,1134,91,0,0,1,0,0,1225,177,250,32,117,18,33,380,35,105,2,15,2,7,45
,Utrecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Bartholomeus Gasthuis,0344::SB8,3511 PZ,506,1256,6,2,0,9,3,1187,84,1,0,10,0,0,1274,133,173,43,115,24,53,466,47,139,3,12,1,5,42
,Utrecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau ODBS Puntenburg,0344::SB9,3511 ER,228,259,0,0,0,0,0,242,17,0,0,0,0,0,259,25,52,13,21,4,5,103,7,16,0,0,0,3,10
,Utrecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Nieuwe Vaart,0344::SB10,3511 MH,882,425,1,2,1,0,0,392,37,0,0,1,0,0,429,50,77,16,41,9,8,136,14,40,4,3,5,2,20
,Utrecht,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Chr. Jenaplanschool De Brug,0344::SB13,3531 JJ,1894,1200,0,4,0,3,0,1126,81,0,0,3,0,0,1207,102,183,43,106,33,37,416,24,100,2,13,68,10,63
