contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),ChristenUnie,50PLUS,GROENLINKS,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),JEZUS LEEFT,DENK,Respect!,Forum voor Democratie,OPA
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Stembureau tbv reserveleden,0171::SB0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Gemeentehuis,0171::SB1,8302 BW,1435,796,2,5,0,0,0,0,0,0,0,0,0,0,0,79,54,131,78,24,83,63,22,71,28,40,2,19,5,94,3
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau De Ontmoeting,0171::SB2,8303 GK,1236,861,1,4,0,0,0,0,0,0,0,0,0,0,0,78,63,107,67,34,78,126,24,70,16,43,3,21,6,122,3
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau ROC Friese Poort Emmeloord,0171::SB3,8302 DC,1792,678,0,1,0,0,0,0,0,0,0,0,0,0,0,121,38,115,38,31,42,92,19,28,11,55,3,2,6,75,2
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Zwembad Het Bosbad,0171::SB4,8302 AB,969,695,1,1,0,0,0,0,0,0,0,0,0,0,0,143,41,157,49,16,42,57,15,34,14,20,2,1,1,102,1
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau MFC Nieuw Jeruzalemkerk,0171::SB5,8301 AN,1226,830,3,2,0,0,0,0,0,0,0,0,0,0,0,99,40,155,81,27,83,90,30,52,13,24,0,21,3,108,4
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Woonzorgcentrum Hof van Smeden,0171::SB6,8301 XG,1292,560,5,1,0,0,0,0,0,0,0,0,0,0,0,68,40,143,31,16,56,48,27,24,13,28,2,8,0,55,1
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Buurthuis Revelsant,0171::SB7,8303 BJ,1598,666,0,3,0,0,0,0,0,0,0,0,0,0,0,42,77,59,56,28,82,60,18,41,19,30,1,27,4,117,5
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,"Stembureau Gereformeerde Kerk ""Pro Rege""",0171::SB8,8302 ZD,1443,623,2,1,0,0,0,0,0,0,0,0,0,0,0,40,48,79,52,25,53,120,17,37,20,39,0,5,1,84,3
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Buurthuis Espelervaart,0171::SB9,8303 VW,1843,1228,2,5,0,0,0,0,0,0,0,0,0,0,0,95,93,212,106,66,116,201,33,80,22,48,0,6,7,136,7
