contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,GROENLINKS,Partij voor de Dieren,50PLUS,DENK,NIDA,Code Oranje,Forum voor Democratie,Lokale Partijen Zuid Holland (LPZH)
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gemeentekantoor Pijnacker,1926::SB1,2641 ED,1484,1238,0,3,0,0,0,1130,111,0,0,0,0,0,1241,242,68,136,131,101,36,6,60,118,55,56,0,0,4,200,25
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Sporthal 't Baken,1926::SB2,2641 JN,1492,1030,3,0,0,0,0,945,88,0,0,0,0,0,1033,186,47,123,98,83,36,16,52,98,68,28,3,0,6,166,20
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Buurt en Zo,1926::SB3,2641 HK,1828,1148,4,3,0,0,0,1055,100,0,0,0,0,0,1155,194,73,124,147,73,64,15,56,79,53,43,7,1,6,188,25
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau SWOP St. Welzijn & Ondersteuning Pijnacker-Nootdorp,1926::SB4,2641 DE,2103,1238,9,2,0,0,0,1122,127,0,0,0,0,0,1249,254,77,132,197,58,23,16,70,74,44,46,2,1,5,219,20
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool De Schatkaart,1926::SB5,2641 CA,1831,1232,6,4,0,2,0,1136,108,0,0,2,0,0,1244,176,77,98,128,97,61,13,65,120,72,69,7,1,4,212,32
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Ontmoetingskerk,1926::SB6,2642 RA,2055,1381,7,5,0,1,0,1235,159,0,0,1,0,0,1394,299,66,161,114,75,45,24,85,116,50,52,5,0,4,259,26
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Mariaschool,1926::SB7,2642 CR,1560,923,4,2,0,3,0,848,84,0,0,3,0,0,932,187,29,115,84,74,26,7,46,75,45,29,0,2,11,164,29
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wijkcentrum Tolhek,1926::SB8,2642 JK,2727,1352,1,1,0,1,0,1352,3,0,0,1,0,0,1355,279,71,156,94,100,43,11,57,108,48,47,9,4,9,287,29
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Rooms Katholieke Basisschool De Keizerskroon,1926::SB9,2643 MC,801,381,1,0,0,0,0,329,53,0,0,0,0,0,382,86,30,67,23,21,8,1,7,28,22,6,12,6,1,58,5
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Buurtcentrum Het Oude Laarsje,1926::SB10,2641 NS,456,322,3,2,0,0,0,326,1,0,0,0,0,0,327,77,20,39,60,10,2,12,17,16,10,3,0,0,2,50,4
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Meersma Holding BV,1926::SB11,2641 PE,753,399,1,1,0,0,0,362,39,0,0,0,0,0,401,121,21,17,53,10,5,11,23,19,6,8,0,3,0,88,14
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gebouw de Keet,1926::SB12,2645 AS,1064,575,3,2,0,1,0,522,57,0,1,0,0,0,579,114,34,60,79,45,25,22,24,45,31,12,0,0,0,73,11
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Sportzaal Emerald,1926::SB13,2645 HH,1744,1153,5,4,0,0,2,1035,125,0,0,0,0,0,1162,243,48,173,66,109,33,11,59,143,35,34,11,2,5,166,15
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wooncentrum Emerald,1926::SB14,2645 HV,1889,1214,4,4,0,0,0,1090,132,0,0,0,0,0,1222,215,67,166,76,93,37,8,71,133,59,44,12,1,5,204,23
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Kerkelijk Centrum Delfgauw,1926::SB15,2645 BD,1674,1114,4,0,0,0,0,1014,104,0,0,0,0,0,1118,189,35,137,111,69,35,22,114,111,62,33,3,0,4,171,18
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Hotel van der Valk,1926::SB16,2632 BD,1679,896,0,0,0,0,1,782,113,0,0,0,0,0,896,238,69,99,84,65,16,5,19,50,38,13,4,1,1,172,22
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool de Winde,1926::SB17,2631 GS,1416,787,0,5,0,0,0,717,75,0,0,0,0,0,792,115,55,78,113,48,40,2,10,60,42,48,5,0,0,155,16
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Parochiehuis,1926::SB18,2631 CL,1777,1087,2,4,0,3,0,947,149,0,0,3,0,0,1096,280,84,114,93,70,25,1,47,73,45,25,9,1,3,201,16
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool De Regenboog(hoofdlocatie),1926::SB19,2631 BK,1545,548,0,3,0,0,0,498,53,0,0,0,0,0,551,64,48,49,59,45,24,2,25,26,28,33,7,1,0,121,16
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Verzorgingshuis Veenhage,1926::SB20,2631 GC,1596,1026,3,2,2,0,0,930,103,0,0,2,0,0,1033,198,66,87,105,68,26,5,45,61,52,60,2,0,3,221,27
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Nové Kerkelijk centrum,1926::SB21,2631 CR,2203,1398,6,6,0,1,1,1238,172,0,0,1,0,0,1411,311,82,134,143,93,39,7,57,104,63,51,20,2,2,250,40
Leiden,Pijnacker-Nootdorp,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool De Regenboog,1926::SB22,2631 PM,1804,1370,0,6,0,0,0,1214,162,0,0,0,0,0,1376,351,65,166,162,95,28,5,40,94,67,45,0,2,4,208,38
