contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,Partij voor de Dieren,50PLUS,Lokale Partijen Gelderland-Code Oranje,Forum voor Democratie,DENK
Nijmegen,Nijmegen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Buurthuis Het Oude Weeshuis,0268::SB1,6511 WT,2244,1300,2,1,0,7,0,1221,89,0,0,7,0,0,1310,140,48,153,113,69,141,21,0,307,125,30,5,146,2
Nijmegen,Nijmegen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stadhuis,0268::SB2,6511 PP,2038,1386,4,4,0,0,0,1314,76,0,4,0,4,0,1390,132,50,183,125,30,168,19,1,379,155,28,8,101,7
Nijmegen,Nijmegen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stadswinkel,0268::SB3,6511 PS,2044,1497,6,9,0,0,0,1431,81,0,0,0,0,0,1512,225,57,238,96,35,122,23,3,398,142,16,10,125,7
Nijmegen,Nijmegen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Titus Brandsma kapel,0268::SB4,6511 DW,1562,663,23,6,0,36,0,625,31,0,36,0,0,0,656,98,24,101,40,17,67,13,1,174,74,4,6,40,4
Nijmegen,Nijmegen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Kolpinghuis,0268::SB5,6511 ER,1773,1080,12,3,0,1,1,1043,50,0,1,0,0,0,1094,165,48,174,64,11,104,19,3,274,97,8,12,98,3
Nijmegen,Nijmegen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Filmhuis O42,0268::SB6,6511 NW,1529,727,2,1,1,0,0,701,30,0,0,1,0,0,731,131,20,120,33,3,74,12,1,196,82,7,6,42,0
Nijmegen,Nijmegen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Wijkcentrum Burghardt,0268::SB7,6512 DR,1091,1285,2,2,0,4,0,1225,68,0,0,4,0,0,1293,135,45,220,92,11,143,21,0,393,133,10,12,61,9
Nijmegen,Nijmegen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Cordium Centrum voor groei en ontwikkeling,0268::SB8,6512 GB,1970,1014,2,0,0,2,1,941,76,0,0,2,0,0,1018,79,24,127,95,14,112,24,1,374,107,6,9,35,7
Nijmegen,Nijmegen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Parochiehuis Antonius van Paduakerk,0268::SB9,6524 JL,1564,677,7,0,0,9,0,637,38,0,9,0,0,0,675,85,32,113,27,4,80,20,1,187,80,0,10,38,0
Nijmegen,Nijmegen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau restaurant Mi Barrio,0268::SB10,6524 JE,1445,856,4,1,0,0,1,810,50,0,0,0,0,0,861,114,29,178,40,11,98,12,2,249,85,3,6,29,0
Nijmegen,Nijmegen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Oud Burgeren Gasthuis,0268::SB11,6524 PJ,1383,1257,8,2,0,3,0,1180,90,0,0,3,0,0,1270,162,112,197,85,23,131,27,1,315,91,45,5,63,0
