contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),GROENLINKS,ChristenUnie,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),50PLUS,DENK,U26 GEMEENTEN,Forum voor Democratie
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Oude Stadhuis,0307::SB1,,762,945,4,5,0,0,0,884,70,0,0,0,0,0,954,113,115,58,94,21,50,235,59,84,2,22,10,5,77
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Ichtuskerk,0307::SB2,,1377,827,2,0,0,0,0,740,88,0,1,0,1,0,828,136,99,85,64,14,28,186,66,60,2,14,4,10,59
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Gerfkamer,0307::SB3,,1074,831,1,0,0,0,0,781,51,0,0,0,0,0,832,110,98,35,65,14,38,252,55,91,4,9,2,4,54
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Armen de Poth,0307::SB4,,1445,815,3,1,0,0,1,760,58,0,0,0,0,0,819,94,88,46,62,30,52,208,52,99,6,15,0,8,55
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Het Eemhuis,0307::SB5,,1418,961,3,1,0,0,0,892,73,0,0,0,0,0,965,123,107,51,86,24,39,267,87,73,4,15,14,7,64
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Schoolgebouw de Vlindervallei,0307::SB6,,1430,929,2,4,0,0,0,851,86,0,0,2,0,0,937,62,78,41,96,49,55,183,40,60,10,30,143,1,81
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Adventkerk,0307::SB7,,1543,662,2,4,0,0,0,590,78,0,0,0,0,0,668,45,45,29,65,41,45,90,56,32,11,16,122,2,63
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Schaapskooi,0307::SB8,,1634,668,1,1,0,1,0,600,71,0,0,1,0,0,671,50,43,33,59,28,44,86,73,29,7,19,130,7,60
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Schoolgebouw de Baander,0307::SB9,,1042,518,2,3,0,0,0,465,58,0,0,0,0,0,523,28,37,33,24,25,26,86,60,18,11,12,99,7,52
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Bron 1,0307::SB10,,1247,648,4,6,0,0,0,621,38,1,0,1,0,0,659,44,30,48,62,41,42,91,72,26,11,23,93,2,63
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Bron 2,0307::SB11,,1445,718,2,2,0,0,0,668,54,0,0,0,0,0,722,43,41,51,70,37,50,102,83,34,18,21,75,4,89
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Zwembad Amarena,0307::SB12,,1534,648,4,8,0,0,0,609,51,0,0,0,0,0,660,54,54,46,53,26,54,101,40,26,6,20,93,6,69
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Sporthal Rustenburg,0307::SB13,,1134,648,1,0,0,1,0,588,60,0,1,0,0,0,648,59,33,24,43,42,63,99,56,25,9,22,79,7,87
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Burgemeester Molendijkflat,0307::SB14,,1304,866,1,4,0,0,0,815,57,1,0,1,0,0,872,119,57,85,73,38,45,96,127,31,14,51,2,8,120
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Undineflat,0307::SB15,,868,383,2,2,0,0,0,355,33,1,0,1,0,0,388,32,27,36,27,23,22,53,40,22,10,16,37,1,37
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau ABC School Het Scala,0307::SB16,,1020,507,1,3,0,0,0,453,58,0,0,0,0,0,511,20,32,24,56,22,12,56,30,23,9,11,187,0,25
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Schuilenburght,0307::SB17,,941,657,0,3,0,0,0,616,46,2,0,2,0,0,662,117,49,93,54,19,27,89,85,26,10,17,15,5,51
,Amersfoort,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Prins Willem III- flat,0307::SB18,,1390,735,1,3,0,3,0,736,0,0,3,0,0,0,736,85,58,47,69,27,56,149,79,45,11,22,21,6,60
