contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,Partij voor de Dieren,50PLUS,Lokale Partijen Gelderland-Code Oranje,Forum voor Democratie,DENK
Nijmegen,Wijchen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Huis van de gemeente,0296::SB1,6602 DB,1819,1388,6,5,0,0,1,1265,133,0,0,0,0,0,1399,262,341,90,73,75,100,21,2,119,45,91,8,160,1
Nijmegen,Wijchen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Meander,0296::SB2,6601 AR,1670,721,4,1,0,0,0,661,65,0,0,0,0,0,726,96,140,47,66,80,52,15,1,36,18,74,6,87,3
Nijmegen,Wijchen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Jeugdhuis Woezik,0296::SB3,6604 CC,1943,1333,1,3,0,0,0,1150,187,0,0,0,0,0,1337,259,176,120,102,95,94,21,1,88,34,61,15,261,6
Nijmegen,Wijchen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Paschalisschool,0296::SB4,6604 AE,1918,864,1,0,0,0,0,775,90,0,0,0,0,0,865,172,119,82,59,58,73,20,3,63,33,39,13,130,0
Nijmegen,Wijchen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau La Verna,0296::SB5,6603 AM,745,452,7,2,0,0,0,396,65,0,0,0,0,0,461,56,120,21,25,39,21,12,2,31,12,22,2,86,3
Nijmegen,Wijchen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Dorpshuis De Waaijershof,0296::SB6,6606 AB,345,265,1,0,0,0,0,232,34,0,0,0,0,0,266,50,95,10,5,17,12,6,2,15,4,11,2,36,0
Nijmegen,Wijchen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Wijkgebouw Wijchen Oost,0296::SB7,6603 AE,1914,949,1,2,0,1,0,831,122,0,0,1,0,0,953,143,134,66,77,96,67,12,2,65,35,70,11,161,10
Nijmegen,Wijchen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Brede school Noorderlicht,0296::SB8,6601 DL,1829,1035,1,2,0,3,0,947,94,0,0,3,0,0,1041,105,153,45,131,100,89,8,2,79,28,81,16,192,6
Nijmegen,Wijchen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Wijkgebouw Wijchen Zuid,0296::SB9,6605 HN,1867,1087,3,1,0,0,0,1005,86,0,0,0,0,0,1091,119,101,65,98,92,108,14,9,101,54,71,20,217,18
Nijmegen,Wijchen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Wijkcentrum Achterom,0296::SB10,6601 XW,1138,723,7,4,0,0,1,668,65,0,0,0,0,0,734,73,87,36,105,73,64,17,1,48,21,68,3,119,8
Nijmegen,Wijchen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Wijkgebouw Wijchen West,0296::SB11,6602 WT,1795,1221,4,3,0,2,1,1114,115,0,0,2,0,0,1230,217,225,141,62,33,125,38,8,150,48,55,12,106,1
Nijmegen,Wijchen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Basisschool De Bolster,0296::SB12,6601 XR,1334,704,3,0,0,1,0,631,77,0,0,1,0,0,708,64,92,73,72,73,67,4,0,46,26,60,5,117,5
Nijmegen,Wijchen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Basisschool Speelhoeve locatie Kraaijenberg,0296::SB13,6601 RM,1732,741,4,8,0,0,0,695,58,0,0,0,0,0,753,116,90,52,79,53,67,11,0,67,32,57,9,107,1
Nijmegen,Wijchen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Basisschool Zuiderpad locatie Huissteden,0296::SB14,6605 HK,1961,743,7,2,0,0,0,679,73,0,0,0,0,0,752,64,66,39,87,78,86,7,0,70,42,63,11,108,22
Nijmegen,Wijchen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Kulturhus de Zandloper,0296::SB15,6617 BG,1414,853,6,2,0,0,1,761,99,0,0,0,0,0,861,160,192,53,68,54,60,17,3,53,23,44,13,112,1
Nijmegen,Wijchen,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Dorpshuis de Mijlpaal,0296::SB16,6616 AM,850,531,4,3,0,1,1,477,61,0,0,1,0,0,539,86,139,29,40,29,37,14,1,43,31,14,3,65,0
