contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),GROENLINKS,ChristenUnie,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),50PLUS,DENK,U26 GEMEENTEN,Forum voor Democratie
,Rhenen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Koningskamer,0340::SB1,3911LB,1664,824,1,3,0,1,0,747,82,0,0,1,0,0,829,113,59,74,49,54,23,104,74,36,76,25,0,12,125
,Rhenen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Huis van de Gemeente,0340::SB2,3911MG,1631,1203,0,0,0,2,0,1075,130,0,0,2,0,0,1205,156,73,78,82,75,45,134,112,44,135,38,24,18,189
,Rhenen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Gebouw de Vlam,0340::SB3,3911XK,1003,689,1,0,0,1,0,628,63,0,0,1,0,0,691,113,58,62,41,31,13,92,53,20,74,17,1,7,107
,Rhenen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Steakhouse Cunera,0340::SB4,3911AS,1464,1132,2,5,0,1,1,1031,106,0,1,0,0,0,1138,190,104,91,56,43,43,182,101,42,75,35,4,11,155
,Rhenen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Ontmoetings-kerk,0340::SB5,3911EA,1382,796,1,4,0,0,0,717,84,0,0,0,0,0,801,67,35,69,67,62,34,76,89,19,116,19,23,4,116
,Rhenen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Rhenendael,0340::SB6,3911RM,895,591,2,2,1,1,0,509,84,0,2,0,0,0,593,131,23,90,20,23,7,25,58,8,103,18,0,5,80
,Rhenen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Het Dorpshuis,0340::SB7,3911CX,1931,1306,1,7,0,0,0,1119,186,0,9,0,0,0,1305,75,24,107,32,27,11,38,87,18,757,16,0,9,105
,Rhenen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Het Bestegoed (basisschool het Visnet),0340::SB8,3921EK,1744,660,2,3,0,1,0,592,72,0,1,0,0,0,664,87,23,53,26,69,10,37,87,20,126,9,1,3,109
,Rhenen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Het Bestegoed (boven),0340::SB9,3921CM,1717,1434,5,4,0,1,2,1257,185,0,0,1,0,0,1444,179,58,95,92,108,28,70,135,43,322,34,0,19,251
,Rhenen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Tollekamp,0340::SB10,3911NC,1344,649,5,4,0,1,0,589,70,0,0,1,0,0,659,65,44,87,49,49,21,44,70,17,74,24,17,6,82
,Rhenen,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Trisport Rhenen,0340::SB11,3911BE,468,283,1,1,0,0,0,261,24,0,0,0,0,0,285,55,22,29,22,10,2,43,29,16,10,4,1,5,35
