contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),ChristenUnie,50PLUS,GROENLINKS,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),JEZUS LEEFT,DENK,Respect!,Forum voor Democratie,OPA
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau De Meerpaal,0303::SB1,8251 EX,990,786,3,2,0,1,2,723,65,0,1,0,0,0,790,132,43,123,54,33,54,90,33,55,20,10,4,17,8,103,7
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Kantine Sportvereniging Reaal,0303::SB2,8253 BA,1660,1192,2,4,0,0,0,1059,140,0,0,1,0,0,1199,231,50,206,38,63,72,142,33,119,47,21,8,1,5,154,2
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Sportzaal De Beurs,0303::SB3,8253 EA,1420,905,2,1,0,0,2,806,100,0,0,0,0,0,908,190,55,109,37,51,58,88,29,72,27,23,2,12,1,148,3
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Het Perron Dronten,0303::SB4,8251 GR,1968,1020,2,7,0,1,0,918,112,0,0,1,0,0,1030,135,79,115,61,50,39,109,39,102,40,31,1,20,3,192,4
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Woonzorgcentrum De Regenboog,0303::SB5,8254 AB,1686,929,3,3,0,0,0,859,76,0,0,0,0,0,935,104,58,173,55,49,68,120,45,68,28,17,7,7,1,125,4
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Ontmoetingskerk,0303::SB6,8251 LD,1724,942,1,1,0,0,0,858,86,0,0,0,0,0,944,97,63,148,73,55,49,128,42,74,24,29,4,24,1,125,6
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Samenwerkingsschool De Brandaris,0303::SB7,8251 VX,1634,843,2,7,0,0,0,778,74,0,0,0,0,0,852,116,63,100,62,41,48,101,43,104,28,9,1,2,1,121,3
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Samenwerkingsschool Het Wilgerijs,0303::SB8,8251 TJ,1527,1209,3,4,0,0,0,1115,101,0,0,0,0,0,1216,164,71,161,84,54,85,139,51,118,27,14,2,3,4,223,9
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Clubhuis Golfresidentie,0303::SB9,8251 NS,1043,755,0,0,0,0,0,679,76,0,0,0,0,0,755,235,27,95,12,36,42,36,38,46,17,14,0,1,0,153,3
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Basisschool Flevosprong,0303::SB10,8252 GW,1586,1150,1,3,0,0,0,1043,111,0,0,0,0,0,1154,175,75,157,53,89,72,144,37,108,31,20,3,2,3,177,4
