contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,GROENLINKS,Partij voor de Dieren,50PLUS,DENK,NIDA,Code Oranje,Forum voor Democratie
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stadhuis,0599::SB1,3011 AD,304,655,7,3,0,0,1,597,67,0,0,0,0,0,665,98,30,127,20,69,31,5,13,110,51,10,15,6,0,70
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau BS De Vier Leeuwen,0599::SB2,3031 XH,2336,964,4,9,0,0,0,863,114,0,0,0,0,0,977,123,97,95,28,78,54,5,13,121,41,24,127,35,4,119
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gymnastieklokaal,0599::SB3,3032 AH,1399,386,3,1,0,1,0,352,40,1,0,2,0,0,392,40,30,48,7,30,26,3,5,61,25,12,58,12,0,29
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau De Brandaris,0599::SB4,3024 TA,1997,533,1,3,0,0,0,479,58,0,0,0,0,0,537,47,30,63,18,63,30,2,16,101,35,14,54,14,2,44
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Multifunctioneel Centrum De Kristal,0599::SB6,3059 XA,1887,1243,3,3,0,1,0,1083,165,0,1,0,0,0,1248,287,102,93,68,82,36,7,49,84,49,68,14,2,4,298
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Sophiahof,0599::SB7,3038 SX,1798,737,1,7,0,0,0,692,53,0,0,0,0,0,745,73,37,91,19,72,37,3,35,160,76,23,20,14,2,75
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Bergsingelkerk,0599::SB8,3037 GM,1114,1145,1,3,0,0,0,1053,96,0,0,0,0,0,1149,143,19,206,40,78,36,7,39,315,97,13,45,15,7,85
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Volkstuinvereniging De Tochten,0599::SB9,3069 ZD,1888,706,1,3,0,0,0,634,76,0,0,0,0,0,710,140,49,61,26,73,35,3,22,66,47,52,3,2,1,126
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Serviceflat Statenhove,0599::SB11,3039 LH,1252,805,0,0,0,7,0,744,68,0,0,7,0,0,812,128,26,156,37,71,33,2,17,185,59,28,1,2,2,58
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Humanitas Bergweg,0599::SB12,3037 SK,1575,883,2,2,0,1,1,799,88,0,0,1,0,0,888,82,46,110,22,96,58,5,18,150,74,25,65,22,2,108
