contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),ChristenUnie,Partij voor Zeeland (PVZ),GROENLINKS,50PLUS,DENK,Partij voor de Dieren,Forum voor Democratie
,Tholen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,"Stembureau Ver.gebouw ""de Wingerd""",0716::SB1,4691BP,1389,819,1,2,0,0,0,767,55,0,0,0,0,0,822,78,82,158,37,63,53,20,86,27,45,24,0,27,119
,Tholen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dalemhof,0716::SB2,4691ZC,1261,917,1,5,0,0,1,800,122,0,0,0,0,0,923,116,78,229,47,81,30,5,90,34,22,37,3,21,124
,Tholen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Gemeenschapscentrum Meulvliet,0716::SB3,4691HT,1432,978,0,2,0,2,0,848,134,0,0,2,0,0,982,114,75,254,39,86,32,15,135,28,32,39,11,21,97
,Tholen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Zalencentrum Ger. Gemeente,0716::SB4,4691DS,2020,1106,0,2,0,0,0,950,158,0,0,0,0,0,1108,131,111,338,36,67,42,17,121,33,48,33,0,22,107
,Tholen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis 't'Ouwe Raed'uus',0716::SB5,4693BV,1219,752,0,1,0,0,0,647,106,0,0,0,0,0,753,118,46,184,39,104,30,10,57,44,20,19,1,15,65
,Tholen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Sassegrave,0716::SB6,4694BP,1345,878,1,5,1,0,0,743,142,0,0,1,0,0,885,76,35,480,33,61,29,4,35,26,16,20,0,10,53
,Tholen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Gemeenschapscentrum Haestinge,0716::SB7,4695BA,1457,859,7,2,0,0,0,746,122,0,0,0,0,0,868,61,77,163,52,106,78,13,42,75,10,22,6,20,134
,Tholen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Zorgcentrum Maartenshof,0716::SB8,4695HV,1108,681,2,3,0,0,0,593,93,0,0,0,0,0,686,54,21,119,34,87,60,8,40,93,17,25,6,13,104
,Tholen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis 'de Stove',0716::SB9,4696BK,1243,853,2,0,0,2,0,688,169,0,0,2,0,0,857,67,33,437,18,69,31,2,35,41,5,19,0,5,91
,Tholen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Zorgcentrum 'de Schutse',0716::SB10,4697GM,1396,861,5,3,0,0,0,737,132,0,0,0,0,0,869,135,73,218,33,97,36,7,62,58,17,32,0,6,87
,Tholen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Gemeenschapscentrum Wellevaete,0716::SB11,4697BJ,1480,986,2,4,0,0,0,839,153,0,0,0,0,0,992,165,62,263,23,94,61,7,78,50,26,17,1,18,121
,Tholen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis de Vossenkuil,0716::SB12,4698AM,2013,1153,5,2,0,0,0,995,165,0,0,0,0,0,1160,172,129,166,57,171,69,11,69,38,33,30,0,32,176
,Tholen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis 'de Wimpel',0716::SB13,4675CS,1675,1063,1,2,0,0,0,893,173,0,0,0,0,0,1066,88,86,394,40,113,21,9,69,36,10,20,1,25,151
,Tholen,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Dorpshuis 'Ons Dorpshuis',0716::SB14,4675RJ,342,224,0,0,0,0,0,206,18,0,0,0,0,0,224,62,15,26,4,23,9,5,11,7,5,4,1,8,44
