contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),ChristenUnie,Partij voor Zeeland (PVZ),GROENLINKS,50PLUS,DENK,Partij voor de Dieren,Forum voor Democratie
,Middelburg,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Verpleeghuis Willibrord,0687::SB1,4331 AC ,1501,946,6,0,0,1,0,883,70,0,0,1,0,0,953,60,117,13,55,23,130,79,63,39,165,32,3,95,72
,Middelburg,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Acaciahof,0687::SB2,4331 RW,1584,941,6,2,0,0,1,850,98,0,0,0,0,0,949,80,134,17,43,26,137,92,58,37,163,23,0,78,53
,Middelburg,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Ver.gebouw Gasthuiskerk,0687::SB3,4331 HZ,1570,814,7,1,0,0,0,749,73,0,0,0,0,0,822,78,113,25,57,26,94,81,52,21,121,25,0,66,55
,Middelburg,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Wijkcentrum Van Cittershoff,0687::SB4,4333 KZ,875,634,2,0,0,0,0,580,56,0,0,0,0,0,636,128,50,115,21,11,64,25,59,27,51,25,0,26,32
,Middelburg,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Zorgcentrum Eben-Haëzer,0687::SB5,4334 GP,1140,768,0,4,0,1,0,704,67,0,1,0,0,0,771,116,99,120,30,19,65,48,84,15,65,17,1,40,49
,Middelburg,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau 't Gasthuis,0687::SB6,4331 RN,1616,1110,3,1,0,0,2,1022,90,0,0,0,0,0,1114,138,101,89,51,35,129,77,75,66,164,44,2,74,65
,Middelburg,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Hof van Buren,0687::SB7,4332 VA,1565,1136,3,2,2,0,1,1025,113,0,2,0,0,0,1139,139,147,65,56,41,147,70,90,33,137,51,2,61,97
,Middelburg,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Praktijkschool Het Bolwerk,0687::SB9,4336 LM,1195,793,2,0,0,0,0,740,55,0,0,0,0,0,795,111,90,59,28,21,104,64,69,47,93,27,2,18,60
,Middelburg,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Durps'uus op d'n oek,0687::SB10,4339 AK,1056,690,1,0,0,1,0,631,59,0,1,0,0,0,690,99,53,99,45,40,43,18,51,40,63,33,0,33,73
,Middelburg,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stembureau Kindcentrum De Aventurijn,0687::SB12,4334 BA,1345,883,1,1,0,1,0,794,90,0,1,0,0,0,884,109,73,68,53,22,127,58,73,40,123,20,3,56,58
