contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),VVD,ChristenUnie,PVV (Partij voor de Vrijheid),Groninger Belang,GROENLINKS,Partij voor de Dieren,Partij voor het Noorden,Forum voor Democratie,50PLUS,DENK
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gemeentehuis,0010::SB1,9934 EA,1512,1015,3,3,0,0,3,918,102,0,0,2,0,2,1023,84,102,77,27,112,81,72,113,56,23,71,136,61,0
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Burg. van Julsinghatehuis,0010::SB2,9934 EH,1513,701,7,1,0,0,0,654,54,0,1,0,1,0,708,58,97,65,22,38,76,57,73,34,13,48,84,36,0
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gebouw Werkorganisatie DEAL,0010::SB3,9934 LN,1192,635,1,2,0,0,0,587,51,0,0,0,0,0,638,54,68,41,40,62,77,59,58,21,9,36,83,26,1
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis Aeolus,0010::SB4,9936 CS,1325,560,2,1,0,0,0,506,57,0,0,0,0,0,563,57,44,22,20,33,41,86,50,35,6,30,98,33,5
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpsherberg Lanting,0010::SB5,9937 PB,475,264,3,0,0,0,0,240,27,0,0,0,0,0,267,35,22,11,3,33,9,18,69,18,9,10,19,8,0
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gebouw Chr. Geref. Kerk,0010::SB6,9931 CE,1440,588,3,3,0,0,0,521,73,0,0,0,0,0,594,37,65,39,11,26,69,62,43,26,6,30,75,27,72
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Brede School Tuikwerd,0010::SB7,9932 BR,2064,769,7,2,0,0,0,711,67,0,0,0,0,0,778,73,88,48,37,45,85,77,73,27,17,54,99,37,9
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Theda Mansholt College,0010::SB8,9932 BD,1232,579,0,1,0,0,0,528,52,0,0,0,0,0,580,44,74,49,24,55,56,23,47,34,7,51,87,27,1
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Brede School Noord,0010::SB9,9933 KH,1559,806,4,6,0,0,0,739,76,0,1,0,0,0,815,104,102,53,32,49,76,66,67,45,20,46,70,56,20
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dollard College,0010::SB10,9946 PM,773,383,2,5,0,0,0,338,52,0,0,0,0,0,390,48,42,23,9,20,13,46,47,15,6,21,79,14,0
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau o.b.s. De Munte,0010::SB11,9948 PA,714,365,1,0,0,0,0,326,40,0,0,0,0,0,366,49,37,10,8,30,7,62,44,17,17,23,54,7,0
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Ons Centrum,0010::SB12,9945 SG,1412,795,0,3,0,0,0,698,100,0,0,0,0,0,798,97,72,74,18,57,73,58,118,46,21,49,102,10,0
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Voormalige CBS Bierum,0010::SB13,9906 PE,520,316,0,0,0,0,0,288,28,0,0,0,0,0,316,35,12,50,9,19,22,24,58,18,8,15,39,7,0
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Verenigingsgebouw Pro Rege,0010::SB14,9909 AV,1050,596,1,1,0,0,0,538,60,0,0,0,0,0,598,52,45,64,11,25,82,43,129,22,9,29,75,10,0
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis De Heekt,0010::SB15,9905 PD,978,568,4,1,0,0,0,525,48,0,0,0,0,0,573,49,50,43,11,43,50,26,103,39,21,72,53,8,0
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis Vinkenhorst,0010::SB16,9908 PD,389,253,0,0,0,0,0,236,17,0,0,0,0,0,253,15,16,21,4,17,32,15,44,28,8,21,23,9,0
,Delfzijl,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Voormalige huisartsenpraktijk Uitwierderweg,0010::SB17,9933 GX,1585,422,1,1,0,0,0,380,44,0,0,0,0,0,424,46,30,38,9,36,50,35,58,14,11,20,36,21,18
