contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,50PLUS,Partij voor de Dieren,Forum voor Democratie,DENK
,Wierden,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Gemeentehuis,0189::SB1,7642 EC,1271,919,1,0,0,0,0,820,100,0,0,0,0,0,920,223,187,20,43,71,39,105,24,39,38,18,110,2
,Wierden,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Kluinveenschool,0189::SB2,7641 AL,1210,858,0,3,0,0,0,766,95,0,0,0,0,0,861,233,134,25,21,55,52,111,32,37,31,6,121,0
,Wierden,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Wijkcentrum Kandjoli,0189::SB3,7642 XX,1548,762,0,1,0,1,0,708,56,0,0,1,0,0,764,202,51,35,43,25,69,98,58,28,31,14,107,1
,Wierden,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau ZorgAccent,0189::SB4,7642 GW,1647,934,1,1,0,0,0,863,73,0,0,0,0,0,936,301,122,33,45,27,58,104,31,23,70,15,105,0
,Wierden,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Zorgcentrum 't Wedervoort,0189::SB5,7641 VA,1703,1147,0,3,0,0,0,1035,115,0,0,0,0,0,1150,271,166,43,94,51,64,140,30,62,74,16,136,0
,Wierden,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Tennishal De Stouwe,0189::SB6,7641 AC,1451,1001,0,0,0,0,0,915,86,0,0,0,0,0,1001,204,154,54,64,46,47,122,13,92,57,14,132,2
,Wierden,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Zorgcentrum Het Reggedal,0189::SB7,7468 BX,1382,868,4,2,0,0,4,789,81,0,0,0,0,0,874,255,74,17,30,21,75,150,23,23,31,10,158,1
,Wierden,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Hervormd Dienstgebouw,0189::SB8,7468 GC,1363,910,1,0,0,0,0,806,105,0,0,0,0,0,911,251,152,23,43,18,91,100,30,38,12,5,147,0
,Wierden,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Hervormd Dienstgebouw,0189::SB9,7468 GC,1331,925,2,4,0,0,0,817,114,0,0,0,0,0,931,226,157,18,28,17,74,80,45,35,45,6,194,0
,Wierden,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Kulturhus Hoge Hexel,0189::SB10,7645 AV,808,551,1,0,0,0,0,507,45,0,0,0,0,0,552,160,42,6,11,10,43,95,85,14,7,11,67,0
,Wierden,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,"Stembureau Kulturhus ""Irene""",0189::SB11,7467 PL,744,558,2,0,0,0,0,486,74,0,0,0,0,0,560,170,58,7,7,7,15,86,90,20,12,5,81,0
,Wierden,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Akkerhus,0189::SB12,7468 RE,424,315,0,3,0,0,0,275,43,0,0,0,0,0,318,96,46,6,7,8,11,30,60,6,3,3,39,0
,Wierden,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Gemeentehuis,0189::SB13,7642 EC,1242,898,3,1,0,1,1,832,70,0,0,1,0,0,903,237,154,29,49,47,43,98,30,43,37,13,117,1
,Wierden,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau De Luchtbode,0189::SB14,7468 EZ,1349,790,1,2,0,1,0,711,83,0,0,1,0,0,794,206,159,17,18,24,53,97,36,21,15,3,141,0
,Wierden,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Verenigingsgebouw VDH,0189::SB18,7641 AG,1401,733,2,1,0,0,0,671,65,0,0,0,0,0,736,149,161,37,57,33,47,46,12,40,24,21,105,1
