contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,GROENLINKS,Partij voor de Dieren,50PLUS/PARTIJ VAN DE OUDEREN,Ouderenpartij Noord-Holland,NIDA,Code Oranje,Forum voor Democratie,DENK,ChristenUnie
Den Helder,Zaanstad,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau De Kernschool,0479::SB101,1505 CB,2153,773,1,6,0,0,0,705,75,0,0,0,0,0,780,29,27,97,72,76,33,93,44,20,23,12,8,113,95,31
Den Helder,Zaanstad,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Handboog Schutters Czaar Peter,0479::SB102,1505 VH,2256,939,3,4,0,1,1,847,99,0,0,1,0,0,947,54,44,100,81,63,27,109,49,35,18,5,6,205,118,25
Den Helder,Zaanstad,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Wijkgebouw De Poelenburcht,0479::SB103,1504 NX,2498,919,1,6,0,2,0,805,119,0,2,0,0,0,924,37,33,75,63,67,24,63,33,19,16,10,5,74,381,19
Den Helder,Zaanstad,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Oogheelkundig Medisch Centrum,0479::SB104,1502 CK,0,118,1,0,0,0,1,108,10,0,0,0,0,0,119,10,10,8,12,5,1,27,11,1,2,0,1,23,4,3
Den Helder,Zaanstad,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Zaans Natuur en Milieu Centrum,0479::SB105,1504 LB,1699,607,0,8,0,0,1,547,67,0,0,0,0,0,615,35,21,62,47,35,25,50,34,19,8,2,7,57,187,18
Den Helder,Zaanstad,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau JerehSalem,0479::SB106,1503 RD,1756,697,3,9,0,4,0,638,75,0,0,4,0,0,713,34,20,66,42,61,44,58,34,34,10,4,5,84,167,34
Den Helder,Zaanstad,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Stembureau School De Windroos, INGANG PINASSTRAAT",0479::SB107,1503 TJ,1682,669,0,4,0,0,0,637,36,0,0,0,0,0,673,38,27,82,56,47,32,59,25,20,13,3,3,69,169,26
Den Helder,Zaanstad,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Stembureau Evean Oostergouw, HOOFDINGANG",0479::SB108,1502 DZ,1812,957,5,7,0,0,0,874,95,0,0,0,0,0,969,108,77,99,73,63,70,79,40,39,34,2,15,178,35,45
Den Helder,Zaanstad,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Stembureau Evean De Meerpaal, INGANG TJOTTERLAAN",0479::SB109,1503 LE,1587,880,5,7,0,0,0,827,65,0,0,0,0,0,892,126,76,97,65,50,55,89,45,30,18,1,3,118,68,39
Den Helder,Zaanstad,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Evean Het Erasmushuis,0479::SB110,1504 AL,2059,935,3,6,0,0,0,847,97,0,0,0,0,0,944,93,59,125,69,80,51,86,57,40,28,3,11,114,82,37
