contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,GROENLINKS,Partij voor de Dieren,50PLUS/PARTIJ VAN DE OUDEREN,Ouderenpartij Noord-Holland,NIDA,Code Oranje,Forum voor Democratie,DENK,ChristenUnie
Haarlem,Beverwijk,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Buurthuis Wijkaan Duin,0375::SB2,1944TD,2087,1034,7,4,0,0,0,971,74,0,0,0,0,0,1045,84,71,81,108,78,78,128,43,38,25,4,48,204,17,27
Haarlem,Beverwijk,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Studio O,0375::SB3,1944VC,2118,1104,6,2,0,0,0,1032,80,0,0,0,0,0,1112,111,93,109,87,64,76,129,46,37,24,6,46,235,12,29
Haarlem,Beverwijk,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Montessorischool,0375::SB4,1943MN,2123,1201,0,0,0,1,2,1100,98,0,1,0,0,0,1200,204,113,115,75,65,80,166,64,24,11,1,39,207,1,36
Haarlem,Beverwijk,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Museum Kennemerland,0375::SB5,1943DK,2020,1315,1,2,0,0,0,1204,114,0,0,0,0,0,1318,216,134,133,51,82,99,204,76,40,22,5,27,205,0,21
Haarlem,Beverwijk,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Nieuw Akerendam,0375::SB8,1942BJ,1857,907,4,4,0,0,0,828,87,0,0,0,0,0,915,184,80,87,64,36,74,115,32,20,18,1,13,154,5,24
Haarlem,Beverwijk,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Woonzorgcentrum Lommerlust,0375::SB9,1941GA,1953,822,3,6,0,0,0,774,57,0,0,0,0,0,831,83,40,58,80,61,55,105,39,43,21,0,22,188,12,15
Haarlem,Beverwijk,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Kennemer Theater,0375::SB10,1941HD,1468,696,4,4,0,0,0,648,56,0,0,0,0,0,704,39,44,51,74,44,38,92,25,23,14,4,22,211,6,9
Haarlem,Beverwijk,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Kennemer College,0375::SB11,1945SR,2004,977,5,1,0,0,0,899,84,0,0,0,0,0,983,80,51,100,74,62,73,98,39,48,29,0,33,245,18,27
Haarlem,Beverwijk,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Huis ter Wijck,0375::SB12,1945WK,1882,803,3,8,0,0,0,760,54,0,0,0,0,0,814,86,31,94,94,47,73,61,30,42,27,6,17,172,5,18
Haarlem,Beverwijk,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Immanuelkerk,0375::SB13,1945PG,1106,413,0,2,0,0,0,384,31,0,0,0,0,0,415,34,13,35,57,31,18,40,22,16,13,1,5,95,21,12
