contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,Partij voor de Dieren,50PLUS,Lokale Partijen Gelderland-Code Oranje,Forum voor Democratie,DENK
Nijmegen,Neder-Betuwe,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Gemeentehuis Opheusden,1740::SB1,4043 KM,1230,972,1,1,0,0,7,768,199,0,0,0,0,0,974,41,29,13,20,70,27,44,580,27,12,15,4,88,2
Nijmegen,Neder-Betuwe,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau De Snellenburg Opheusden,1740::SB2,4043 NS,1530,967,2,4,0,0,0,796,177,0,0,0,0,0,973,27,39,9,24,57,41,27,597,9,6,19,1,110,1
Nijmegen,Neder-Betuwe,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Gebouw Eltheto Opheusden,1740::SB3,4043 KV,1660,1094,2,0,0,0,0,882,214,0,0,0,0,0,1096,49,43,10,8,52,63,62,674,18,7,15,2,91,0
Nijmegen,Neder-Betuwe,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Zorgcentrum 't Anker Kesteren,1740::SB4,4041 CA,1620,1039,4,2,0,0,0,893,152,0,0,0,0,0,1045,79,72,19,26,50,56,70,498,22,16,22,6,96,7
Nijmegen,Neder-Betuwe,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Ons Dorpshuis Kesteren,1740::SB16,4041 XE,1238,1072,2,1,0,2,0,936,141,0,0,2,0,0,1077,103,98,22,27,65,65,72,404,32,24,24,12,121,3
Nijmegen,Neder-Betuwe,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Basisschool Rehoboth Ochten,1740::SB17,4051 GS,1915,1252,2,1,0,0,2,1075,178,0,0,0,0,0,1255,145,94,29,30,128,101,125,327,28,27,48,16,151,3
Nijmegen,Neder-Betuwe,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Zorgcentrum Elim Ochten,1740::SB18,4051 AK,1732,1068,2,0,0,0,0,904,166,0,0,0,0,0,1070,130,90,18,26,85,78,110,296,28,15,21,11,159,1
Nijmegen,Neder-Betuwe,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Dorpshuis Ons Tehuis IJzendoorn,1740::SB19,4053 JN,840,547,0,1,0,0,0,475,73,0,0,0,0,0,548,56,45,11,24,56,42,20,145,24,13,13,1,97,0
Nijmegen,Neder-Betuwe,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Dorpshuis De Hoge Hof Echteld,1740::SB20,4054 MX,826,515,2,3,0,0,0,449,71,0,0,0,0,0,520,99,78,19,17,54,40,14,51,27,10,6,2,98,0
Nijmegen,Neder-Betuwe,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Sporthal De Eng Dodewaard,1740::SB21,6669 CE,1680,867,0,2,0,0,0,749,120,0,0,0,0,0,869,71,87,26,29,85,80,47,187,31,22,25,12,165,0
Nijmegen,Neder-Betuwe,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau De Steegakker Dodewaard,1740::SB22,6669 CZ,1672,1199,4,3,0,0,0,1062,144,0,0,0,0,0,1206,137,137,40,47,124,107,75,187,41,36,34,12,220,2
Nijmegen,Neder-Betuwe,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Restaurant Castra Kesteren,1740::SB23,4041 AC,1468,685,1,5,0,0,0,568,123,0,0,0,0,0,691,64,35,16,14,45,25,53,318,6,6,12,6,83,2
